DTXSID,median_LD50
DTXSID5020281,138.12075383785958
DTXSID8020961,126.9695017453885
DTXSID0021834,69.5436510826617
DTXSID2044347,420.4737992940146
DTXSID9059204,518.5811769629116
DTXSID5021835,488.92302243490053
DTXSID7025635,488.92302243490053
DTXSID2026652,782.2768358958413
DTXSID7026653,338.9732519952704
DTXSID6026080,1222.3075560872524
DTXSID7057606,240.55012703797144
DTXSID5021837,320.235248966898
DTXSID3021437,1540.107520669938
DTXSID3020596,855.6152892610768
DTXSID2021284,1222.3075560872524
DTXSID0051499,44.83443883886527
DTXSID0020153,136.89844628177235
DTXSID5021839,192.81552048283916
DTXSID7021491,317.79996458268573
DTXSID1026661,583.0407042536193
DTXSID5020152,300.68765879746417
DTXSID8039241,317.79996458268573
DTXSID6026664,36.893931711980606
DTXSID1026665,268.90766233919544
DTXSID6023367,488.92302243490053
DTXSID9021841,182.9238695618533
DTXSID4021842,215.81551133298953
DTXSID4041608,904.5075915045668
DTXSID8059217,73.33845336523521
DTXSID1026667,99.59639187534863
DTXSID5025312,423.4197579236929
DTXSID9021845,1711.2305785221538
DTXSID1047601,315.37996898065194
DTXSID7059222,488.92302243490053
DTXSID6020692,756.9062920825326
DTXSID3032622,569.1807398007129
DTXSID901335180,73.33845336523521
DTXSID50893601,488.92302243490053
DTXSID80889259,134.45383116959772
DTXSID7030698,1728.6039232097066
DTXSID80883636,488.92302243490053
DTXSID1047520,488.92302243490053
DTXSID8049200,12.223075560872529
DTXSID10864190,6715.31160629019
DTXSID7044760,1238.9309388500399
DTXSID3042427,32.26891948070346
DTXSID20858722,985.4558564868324
DTXSID4029301,251.7953565539744
DTXSID8033566,486.84066513697275
DTXSID5029710,49.98027404395545
DTXSID0029711,58.1818396697532
DTXSID1044142,157.6281463941979
DTXSID9033896,146.67690673047036
DTXSID5064912,75.83196077965309
DTXSID5029712,86.29872226610672
DTXSID4061387,70.64937674184317
DTXSID40883637,356.9138063774774
DTXSID90143117,179.67921074482604
DTXSID7022251,513.3691735566453
