metric,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,explained_variance,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,max_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_absolute_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_root_mean_squared_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_median_absolute_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,neg_mean_absolute_percentage_error,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2
feature,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred,CERAPP_Ago_pred_discrete,CERAPP_Anta_pred_discrete,CERAPP_Bind_pred_discrete,CoMPARA_Ago_pred_discrete,CoMPARA_Anta_pred_discrete,CoMPARA_Bind_pred_discrete,CATMoS_LD50_pred,FUB_pred,Clint_pred,CACO2_pred,OH_pred,BCF_pred,BioDeg_HalfLife_pred,ReadyBiodeg_pred_discrete,HL_pred,KM_pred,KOA_pred,Koc_pred,P_pred,MP_pred,MolWeight,nbAtoms_discrete,nbHeavyAtoms_discrete,nbC_discrete,nbO_discrete,nbN_discrete,nbAromAtom_discrete,nbRing_discrete,nbHeteroRing_discrete,Sp3Sp2HybRatio,nbRotBd_discrete,nbHBdAcc_discrete,ndHBdDon_discrete,nbLipinskiFailures_discrete,TopoPolSurfAir,MolarRefract,CombDipolPolariz,VP_pred,WS_pred
0,-0.002620040181804506,0.000920060630376196,-0.001706843415484438,0.0018593100704743515,0.002679218283648588,0.005630370805341234,0.3991903553691857,-0.0028888404742871687,0.006103673571693613,0.0,0.0,0.04003879640922248,0.0,0.013235636057172706,0.0034656397016773477,0.011565370407201847,-0.0017581407593628695,0.0603490636791606,0.03962078374119604,0.00988114465515244,0.03400701368176606,2.6367019137286625,0.9391205610867891,7.395027873945866,0.1363181520016744,0.05440057018746414,0.19257744846327707,0.2748157767719863,0.004928749103949914,0.007073113448637813,0.018824199962929944,0.032264229971329494,0.07115736403199702,-0.006346676050491218,0.09667429312687337,0.3091912582567611,0.0010064005611744031,0.005386564087159096,0.001377814242949027,0.0,0.0,0.0,0.0,-0.06578035006340288,0.0,0.5491710426044749,0.01694375089952338,-0.08355850344722393,0.0,0.0,-0.14607050898096086,0.0,0.0,1.3003861549787388e-05,-0.012941468601572303,-0.01586595272581448,0.2262353349365429,0.07591592944484704,-0.0035400884226199913,-0.19030306921324813,3.563534623484693,0.621642444913324,8.33523701186543,-0.15641656782179947,-0.09726889914530723,0.08813482178534082,0.0,-0.08841871401150714,-0.05278670248326289,0.055417526938839945,-0.08042408842871662,0.0,0.0,0.22846086469177163,0.4577868011282651,0.003625463934268325,0.00013206579078994807,-0.000679368085305665,0.00012586143702653096,0.00010485031437779124,-0.0007588704812866442,0.001056512478301519,0.0012848233842837065,0.0038006625145936557,0.17118386884723447,-0.00020324887849976214,0.002874355320888866,0.0,0.0,0.025765909291908584,0.0,0.008892043552154671,0.0021774752811146714,0.005014590998435597,-0.0002852130477343229,0.02462706997727715,0.019559982992480407,0.0002044503975017209,0.013489090071047927,0.6532237854711095,0.32383178242290944,1.337194185403567,0.06298371622488452,0.025429818110935698,0.08805542587917814,0.12744580863810318,0.0037851085903500836,0.00737936846857612,0.006964123035804071,0.01869210364006124,0.03232877433042225,-0.0021356609355893674,0.04792708514905042,0.13503132161249365,0.000570046157247206,0.004578325028034236,-0.0010784419593987682,-0.0023140317991864334,0.0008126018717783401,-0.0015074921243928285,0.0016421513904648632,0.002366298176791015,0.004972769950342681,0.35256679751242104,-0.0025514374805019058,0.005390793177462605,0.0,0.0,0.03536245311637354,0.0,0.01168977595513676,0.00306086926830218,0.010214589485111447,-0.0015527981795336876,0.053300576599745075,0.034993262363883004,0.008727073387336914,0.030035154270329656,2.328747519108888,0.829435692137956,6.531323364816545,0.12039683235731724,0.0480468391980704,0.1700853073341858,0.24271858530444534,0.004353094367008481,0.006247007031825347,0.016625621855331563,0.028495919508565004,0.06284651825564425,-0.00560541410851767,0.08538318992701233,0.2730791720696888,0.0008888577043393298,0.004757438711285089,0.0012168920132205052,-0.0015224447697528287,0.0005339036353133597,-0.0009914608824124205,0.001078556414720433,0.0015536873742730828,0.0032614133523110045,0.20429615444700866,-0.0016788111145275009,0.0035349416004902823,0.0,0.0,0.022897732609285404,0.0,0.007644813833840636,0.002009134889645159,0.0066842785284481065,-0.0010212782011416177,0.03426085910214827,0.02266213312105303,0.0057144961524899784,0.019491217779700643,0.9443949049619822,0.42592192816150987,1.905732067301385,0.07539584550712763,0.03094970302517519,0.1045992419619155,0.14559647741027104,0.002855756136901255,0.0040948890008774,0.010849987855904075,0.018504188755410378,0.04024213759988626,-0.003693181190154826,0.05418897620691032,0.16219369808507655,0.000583986772058509,0.0031204758383338582,0.0007993948581661581,0.005546434092611741,0.0,0.013452161675381658,0.0,0.009346550120317876,0.011512821402024143,0.1652493182269722,0.019895270261893194,-0.008880891256464407,0.0,0.0,0.02038078378749497,0.0,0.03209958922644229,2.2229930256800756e-05,0.0035615547771807865,-0.0015644458232763059,0.0265644305244761,0.0515385664326522,0.0019206808080179383,0.003139289913871801,0.43082677951309256,0.21874900810955045,0.883238398358437,0.04575170381866578,0.01182496494633567,0.03997128555197771,0.11215114393358894,-0.006428659019609151,0.002100888177089033,0.021526972793221466,0.024196929219378105,0.02435026741310853,-0.006535605624891416,0.0374634455175461,0.13527301940281522,0.0023939835801806697,0.013283643819959279,0.003170795096420931,-0.0034655000574170813,0.0013217990275995462,-0.007915395112426005,0.04637327398558799,0.5912706799863274,0.01634942083476787,-3.6734259209477234,0.7180779640733412,0.19281160767028016,0.0,0.0,3.7563338671935975,0.0,1.111344998827417,0.0029866873334825073,1.6539693297744087,-0.42990142206468374,-2.9477263422099536,2.4814605794205447,-1.2318199597772654,-2.303043852996287,6.605570252434144,5.381909959723019,9.366734652685025,1.003918566290066,-0.672172176549112,5.047440956665915,6.8685978649910036,-0.7966579104724829,2.3807483465400656,-0.010742466859808175,0.12299605935595448,0.12512196541255705,-0.0018393285759126243,0.951860343727855,-0.6150252928280473,0.1241781040056873,0.977191270073904,-1.2481022217550866,-0.00262004018180495,0.0009200606303758629,-0.0017068434154847711,0.0018593100704741294,0.002679218283648477,0.005630370805341012,0.39919035536918546,-0.002888840474287502,0.006103673571693169,0.0,0.0,0.040038796409222366,0.0,0.013235636057172484,0.0034656397016770146,0.011565370407201625,-0.0017581407593629805,0.060349063679160375,0.03962078374119582,0.009881144655152219,0.03400701368176562,2.6367019137286625,0.9391205610867887,7.395027873945866,0.1363181520016743,0.054400570187463915,0.19257744846327662,0.2748157767719861,0.004928749103949581,0.007073113448637591,0.01882419996292961,0.03226422997132916,0.0711573640319968,-0.006346676050491551,0.09667429312687315,0.30919125825676075,0.00100640056117407,0.005386564087158874,0.001377814242948694
1,0.0010366705087895278,0.0007336409996449023,-0.0008303335382582322,0.00184633162125869,0.003095835448528761,0.007478798421770572,0.4209831880773943,-0.00018101039368034755,-0.0016962875782978726,0.0,0.0,0.04797686728741202,0.0,0.007063996893376556,0.005166567157986468,0.008267234634937726,-0.0002653186156916787,0.06074537440278516,0.03923222439327023,0.005787945626286928,0.046802183009548304,2.414175444850493,0.9115886193125181,7.247602628413658,0.172848071714647,0.07215373889856158,0.2178812515249483,0.2926465314880181,0.00206293429206561,0.03220915760245058,0.01467392116306021,0.060915200369781264,0.10178889139535197,0.0014024887029884248,0.09447781151180057,0.22373293330057287,0.00028537660495309147,0.0068424637513953,0.000673851387650859,0.0,0.0,0.0,0.0,-0.06578035006340288,0.19325720469637053,-0.1556851817364837,-0.006092838114422072,-0.1328308150863231,0.0,0.0,0.1278140162883692,0.0,0.0,-2.634841544946198e-08,-0.1361497285291584,0.009599776284224149,0.16241011693935636,0.0034710134050834895,0.06879378338292597,0.03948328832912873,3.4798114859301013,1.4041675969398915,7.4521029312833535,0.02533394663788524,0.2918066974359226,0.04406741089267019,0.0,0.0,-0.020790260648248182,0.02770876346941975,0.08042408842871662,0.12144784234069395,0.0,-0.16080875687197604,0.1578172866664107,-0.010656534815316032,-1.303898783611146e-06,8.028858449637966e-06,0.0025592322852242555,0.00010485031437779124,-0.0010979997369683359,0.0009664740447762332,0.0021635843114304887,9.920634782589755e-05,0.17524557595386192,0.003603358045106031,-0.0006969882881845413,0.0,0.0,0.019382014010922766,0.0,0.005871642036350044,0.0030746947652637857,0.006233255034633789,-0.0009882969644495754,0.034162996062154005,0.018151443767544295,-0.0039006899516600413,0.016228670614424123,0.5635149767531441,0.29216702013941487,1.3576784947000768,0.059828816091058945,0.022426911407212535,0.10426454457389511,0.12823205161901807,-0.0018509067653850186,0.02033924889825356,0.006208049386048797,0.017505604259764773,0.037438987629318965,0.002695449539279693,0.0483247069080206,0.10040961724120279,0.0006170782821512955,0.00493669221315296,-0.0008806273318734403,0.00091559226430038,0.0006479551779984272,-0.0007333544824251748,0.0016306887631366562,0.0027342564143455483,0.006605309906262291,0.371814329756909,-0.00015986923020072652,-0.0014981691593916047,0.0,0.0,0.042373394614099724,0.0,0.006238955247383271,0.004563136389754252,0.007301660474306804,-0.00023433064801492431,0.05365060009297018,0.03465008492209565,0.005111940772588586,0.041335907940476146,2.13221109622471,0.8051193518003348,6.401116695264866,0.1526602290886271,0.06372652121939737,0.19243374509162536,0.2584667916498786,0.0018219932597303146,0.028447279333606246,0.012960076118635366,0.053800591184971824,0.08990042714937041,0.0012386846122636186,0.08344324704411143,0.1976019779307825,0.00025204595837513555,0.006043296135481602,0.0005951487117556997,0.0006015446571013827,0.00042575610563977406,-0.00048215761990388906,0.001071033113508979,0.0017950006129628937,0.004329090558043203,0.21421766039673695,-0.00010508296370137504,-0.0009853252954448166,0.0,0.0,0.027358404378830414,0.0,0.004089625198101743,0.0029932797425531454,0.004784049107391386,-0.00015403183740225757,0.03448097073994949,0.02244307049638561,0.003352488904936113,0.026699902354359262,0.885755631672603,0.4156315649072173,1.8812036594801955,0.09447154976011296,0.04079128123530951,0.11741750678370111,0.15424312996652345,0.001196582852506678,0.018472978030830145,0.008470980776338233,0.03457527372015812,0.056955853701876946,0.0008137030994473937,0.052997843546553236,0.12035527148910097,0.00016564178104727656,0.003961703162277841,0.00039106713254966063,0.007731925571392406,0.0,0.007731925571392406,0.0,0.010653494579029033,0.006075535565589929,0.11607260567886513,0.013945978681431437,-0.002789128572730115,0.0,0.0,0.028350558332242204,0.0,0.031261351028145534,0.0025272232306325915,0.022275543100242934,0.000894049031237909,0.03413445181477315,0.02612251579438063,-0.017164657871917843,0.023544235022621707,0.2851367745778316,0.18193672158144625,0.885784311407083,0.025074303692608435,-0.0088959869585854,0.06637656199950381,0.07872446969039226,-0.012496269622472744,0.0361357373233977,0.014454964381174773,0.027476002289320123,0.0026486104407274502,0.01356570905102894,0.04070304367829247,0.07590034793057188,0.005733568999590655,0.013686521883042535,0.028277581260386486,0.0047813294480834045,0.00018149579845072594,-0.002230188908220576,0.0452758091934049,0.5925840755357656,0.01584820379873797,-3.71861053806308,1.6964647521486773,0.5371892799068485,0.0,0.0,3.9617936969063026,0.0,1.093164642083778,0.017811461733598044,1.282769494457332,-0.5489081859144171,-2.356924815359665,2.291359749889419,-0.8715208873860911,-3.3743102714161717,8.228151652265623,6.148132822538046,12.435068213541594,0.22995443458303377,0.04750720197118774,4.907446243262343,6.841327764580105,-0.8012969323407964,1.2682751793469276,-0.028728504403719768,0.03983845431558386,-0.973650522955209,0.016543227126122773,0.6716785532891416,1.2693868635697552,0.13391141744969381,0.9781558487169812,-1.2557722319699272,0.0010366705087891948,0.0007336409996446802,-0.0008303335382583432,0.001846331621258579,0.003095835448528428,0.0074787984217701275,0.4209831880773941,-0.0001810103936805696,-0.0016962875782980946,0.0,0.0,0.047976867287411795,0.0,0.007063996893376334,0.005166567157986357,0.008267234634937504,-0.00026531861569201176,0.06074537440278471,0.0392322243932699,0.005787945626286595,0.04680218300954808,2.4141754448504926,0.9115886193125181,7.247602628413658,0.17284807171464678,0.07215373889856136,0.21788125152494797,0.2926465314880178,0.002062934292065277,0.032209157602450356,0.014673921163059767,0.06091520036978104,0.10178889139535163,0.0014024887029880917,0.09447781151180035,0.22373293330057276,0.0002853766049527584,0.006842463751394856,0.0006738513876506369
