MoleculeID,LogWS_exp,LogWS_pred,WS_predRange,AD_WS,AD_index_WS,Conf_index_WS,LogWS_CAS_neighbor_1,LogWS_CAS_neighbor_2,LogWS_CAS_neighbor_3,LogWS_CAS_neighbor_4,LogWS_CAS_neighbor_5,LogWS_InChiKey_neighbor_1,LogWS_InChiKey_neighbor_2,LogWS_InChiKey_neighbor_3,LogWS_InChiKey_neighbor_4,LogWS_InChiKey_neighbor_5,LogWS_DTXSID_neighbor_1,LogWS_DTXSID_neighbor_2,LogWS_DTXSID_neighbor_3,LogWS_DTXSID_neighbor_4,LogWS_DTXSID_neighbor_5,LogWS_Exp_neighbor_1,LogWS_Exp_neighbor_2,LogWS_Exp_neighbor_3,LogWS_Exp_neighbor_4,LogWS_Exp_neighbor_5,LogWS_pred_neighbor_1,LogWS_pred_neighbor_2,LogWS_pred_neighbor_3,LogWS_pred_neighbor_4,LogWS_pred_neighbor_5,XLogP,naasC,minHBa,MLFER_A,nHBAcc,MAXDN,MLFER_E,mindNH,MDEO_11,apol,minHsOH
DTXSID4024359,-2.22,-2.22,[-2.29:-2.15],1,1,0.885,95-95-4,933-78-8,88-04-0,1570-65-6,2460-49-3,LHJGJYXLEPZJPM-UHFFFAOYSA-N,WWGQHTJIFOQAOC-UHFFFAOYSA-N,OSDLLIBGSJNGJE-UHFFFAOYSA-N,WJQZZLQMLJPKQH-UHFFFAOYSA-N,HAAFFTHBNFBVKY-UHFFFAOYSA-N,DTXSID4024359,DTXSID0026208,DTXSID0032316,DTXSID5061790,DTXSID5022192,-2.22,-3.35,-2.8,-2.04,-2.53,-2.67,-2.24,-2.4,-2.4,-2.4,2.121,4,0.792373113854595,0.731,0,1.13513717421125,1.134,0,0,19.902379,0.588588820301783
DTXSID7041253,NaN,-1.05,[-1.91:-0.19],1,0.742,0.651,624-48-6,617-54-9|617-53-8,869-29-4,73326-59-7,111-55-7,LDCRTTXIJACKKU-UHFFFAOYSA-N,WQEXBUQDXKPVHR-UHFFFAOYSA-N,TXECTBGVEUDNSL-UHFFFAOYSA-N,KBBZAZQSDNZZRC-UHFFFAOYSA-N,JTXMVXSTHSMVQF-UHFFFAOYSA-N,DTXSID4040765,DTXSID00883471|DTXSID201031523,DTXSID8041450,DTXSID801036426,DTXSID0026880,-0.26,-1.51,-1.24,-2.38,0.09,-0.73,-0.91,-1.16,-1.08,-0.53,0.458,0,4.59722222222222,0.003,4,2.1462037037037,0.522,0,0.2,19.102344,0
DTXSID90904725,NaN,-4.4,[-4.44:-4.36],1,0.998,0.82,69806-34-4,530-78-9,658066-35-4,4394-00-7,50594-66-6,GOCUAJYOYBLQRH-UHFFFAOYSA-N,LPEPZBJOKDYZAD-UHFFFAOYSA-N,KVDJTXBXMWJJEF-UHFFFAOYSA-N,JZFPYUNJRRFVQU-UHFFFAOYSA-N,NUFNQYOELLVIPL-UHFFFAOYSA-N,DTXSID7042019,DTXSID7023063,DTXSID9058151,DTXSID1023368,DTXSID0020022,-4.4,-4.82,-4.42,-4.27,-2.37,-3.31,-4.02,-4.82,-3.39,0.2,4.462,5,0.135055816595552,0.502,3,5.68601844036087,1.271,0,0.5,41.893723,0.716498719444807
DTXSID9037539,-6,-5.99,[-6:-5.8],1,1,0.709,115-29-7|959-98-8|33213-65-9,17757-70-9,2588-03-6,2703-37-9,2497-07-6,RDYMFSUJUZBWLH-UHFFFAOYSA-N,UZXIHLNNJNITMJ-UHFFFAOYSA-N,XRQHTUDGPWMPKX-UHFFFAOYSA-N,UILALIJMTSYZSE-UHFFFAOYSA-N,UPUGLJYNCXXUQV-UHFFFAOYSA-N,DTXSID1020560|DTXSID9037539|DTXSID8037540,DTXSID8041531,DTXSID1042283,DTXSID20871875,DTXSID4037536,-6,-2.63,-1.54,-0.91,-1.86,-2.26,-3.16,-2.03,-2.35,-2.21,0.839,0,1.0696513255508,0.003,3,3.80796275300243,1.914,0,0,38.226758,0
DTXSID2021816,-1.77,-1.77,[-1.81:-1.73],1,1,0.972,96-05-9,2210-28-8,1191-16-8,97-63-2,4655-34-9,FBCQUCJYYPMKRO-UHFFFAOYSA-N,NHARPDSAXCBDDR-UHFFFAOYSA-N,XXIKYCPRDXIMQM-UHFFFAOYSA-N,SUPCQIBBMFXVTL-UHFFFAOYSA-N,BOQSSGDQNWEFSX-UHFFFAOYSA-N,DTXSID2021816,DTXSID2025973,DTXSID9047128,DTXSID1025308,DTXSID6022218,-1.77,-2.11,-1.47,-1.32,-2.11,-1.71,-1.7,-1.83,-1,-1.71,1.329,0,4.59606481481481,0.003,2,2.0325,0.342,0,0,20.59193,0
DTXSID2021286,-1.6,-1.6,[-1.63:-1.6],1,1,0.913,96-09-3,538-86-3,122-60-1,3055-86-5,3558-60-9,AWMVMTVKBNGEAK-UHFFFAOYSA-N,GQKZBCPTCWJTAS-UHFFFAOYSA-N,FQYUMYWMJTYZTK-UHFFFAOYSA-N,IXAUFLAHUXISCH-UHFFFAOYSA-N,CQLYXIUHVFRXLT-UHFFFAOYSA-N,DTXSID2021286,DTXSID5060227,DTXSID8021145,DTXSID20184639,DTXSID1052032,-1.6,-1.61,-1.8,-1.91,-2.3,-1.93,-1.97,-1.87,-1.82,-2.16,2.755,1,5.09453703703704,0.003,1,0.924814814814815,0.87,0,0,20.216344,0
DTXSID1021320,-4.52,-4.51,[-4.52:-4.44],1,1,0.807,961-11-5|22248-79-9|22350-76-1,2274-67-1,470-90-6,112281-77-3,68694-11-1,UBCKGWBNUIFUST-UHFFFAOYSA-N,QSGNQELHULIMSJ-UHFFFAOYSA-N,FSAVDKDHPDSCTO-UHFFFAOYSA-N,LQDARGUHUSPFNL-UHFFFAOYSA-N,HSMVPDGQOIQYSR-UHFFFAOYSA-N,DTXSID1021320|DTXSID1032648|DTXSID2058334,DTXSID9058026,DTXSID7034250,DTXSID8034956,DTXSID2032500,-4.52,-3.41,-3.43,-3.38,-2.98,-3.3,-3.72,-3.47,-3.59,-3.69,3.46,4,0.656973733938019,0.022,4,5.12044157760841,1.432,0,0,39.159137,0
DTXSID9059129,NaN,-2.82,[-3.15:-2.49],1,0.776,0.768,78-74-0,821-06-7,110-52-1,542-69-8,1569-69-3,QUMDOMSJJIFTCA-UHFFFAOYSA-N,RMXLHIUHKIVPAB-UHFFFAOYSA-N,ULTHEAFYOOPTTB-UHFFFAOYSA-N,KMGBZBJJOKUPIA-UHFFFAOYSA-N,CMKBCTPCXZNQKX-UHFFFAOYSA-N,DTXSID4058817,DTXSID8024941,DTXSID5044364,DTXSID70862157,DTXSID2027416,-2.73,-2.33,-2.79,-2.96,-3.37,-1.96,-2.52,-2.65,-2.63,-2.77,3.393,0,0,0.022,0,0.165830761316872,0.949,0,0,17.763965,0
DTXSID3020413,-2.33,-2.34,[-2.43:-2.33],1,1,0.859,96-12-8,1888-71-7,598-20-9,13116-53-5,127-18-4,WBEJYOJJBDISQU-UHFFFAOYSA-N,VFDYKPARTDCDCU-UHFFFAOYSA-N,DVTKTUMRXCKEEG-UHFFFAOYSA-N,UDPHJTAYHSSOQB-UHFFFAOYSA-N,CYTYCFOTNPOANT-UHFFFAOYSA-N,DTXSID3020413,DTXSID7062039,DTXSID90875562,DTXSID5051656,DTXSID2021319,-2.33,-4.17,-2.55,-2.58,-2.78,-2.95,-3.31,-2.48,-2.03,-2.47,3.055,0,1.3276140260631,0.022,0,0.18139146090535,0.776,0,0,16.893965,0
DTXSID1032482,-4.76,-4.76,[-4.83:-4.69],1,1,0.838,96182-53-5,333-41-5,24353-61-5,2312-35-8,38260-54-7,AWYOMXWDGWUJHS-UHFFFAOYSA-N,FHIVAFMUCKRCQO-UHFFFAOYSA-N,YFVOXLJXJBQDEF-UHFFFAOYSA-N,ZYHMJXZULPZUED-UHFFFAOYSA-N,FGIWFCGDPUIBEZ-UHFFFAOYSA-N,DTXSID1032482,DTXSID9020407,DTXSID7042063,DTXSID4024276,DTXSID7041964,-4.76,-3.81,-3.62,-5.97,-3.86,-3.92,-4.12,-3.76,-4.14,-4.12,4.154,2,5.85449508429915,0.003,4,3.91200612472355,1.189,0,0,49.352239,0
