MoleculeID,LogWS_exp,LogWS_pred,WS_predRange,AD_WS,AD_index_WS,Conf_index_WS,LogWS_CAS_neighbor_1,LogWS_CAS_neighbor_2,LogWS_CAS_neighbor_3,LogWS_CAS_neighbor_4,LogWS_CAS_neighbor_5,LogWS_InChiKey_neighbor_1,LogWS_InChiKey_neighbor_2,LogWS_InChiKey_neighbor_3,LogWS_InChiKey_neighbor_4,LogWS_InChiKey_neighbor_5,LogWS_DTXSID_neighbor_1,LogWS_DTXSID_neighbor_2,LogWS_DTXSID_neighbor_3,LogWS_DTXSID_neighbor_4,LogWS_DTXSID_neighbor_5,LogWS_Exp_neighbor_1,LogWS_Exp_neighbor_2,LogWS_Exp_neighbor_3,LogWS_Exp_neighbor_4,LogWS_Exp_neighbor_5,LogWS_pred_neighbor_1,LogWS_pred_neighbor_2,LogWS_pred_neighbor_3,LogWS_pred_neighbor_4,LogWS_pred_neighbor_5,XLogP,naasC,minHBa,MLFER_A,nHBAcc,MAXDN,MLFER_E,mindNH,MDEO_11,apol,minHsOH
DTXSID5020281,-2.88,-2.88,[-2.92:-2.84],1,1,0.955,100-00-5,121-73-3,88-73-3,619-23-8,121-86-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,APGGSERFJKEWFG-UHFFFAOYSA-N,LLYXJBROWQDVMI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID4025743,DTXSID3026984,-2.88,-2.77,-2.72,-2.23,-3.32,-2.75,-2.8,-2.81,-2.92,-3.3,2.779,2,0.776433610481229,0.003,0,2.38515775034294,1.072,0,0.5,18.111172,0
DTXSID8020961,-2.32,-2.32,[-2.32:-2.28],1,1,0.959,100-01-6,99-09-2,119-32-4,603-83-8,99-52-5,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,GDIIPKWHAQGCJF-UHFFFAOYSA-N,HFCFJYRLBAANKN-UHFFFAOYSA-N,XTTIQGSLJBWVIV-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID7025633,DTXSID8025628,DTXSID3025629,-2.32,-2.1,-2.18,-2.18,-2.18,-2.21,-2.35,-2.5,-2.45,-2.45,1.653,2,5.30421768707483,0.334,1,2.45888888888889,1.212,0,0.5,18.364758,0
DTXSID0021834,-0.97,-1.01,[-1.07:-0.97],1,1,0.971,100-02-7,824-78-2,554-84-7,2581-34-2,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID3027320,DTXSID2025765,DTXSID2062535,DTXSID4063874,-0.97,-1.06,-1.01,-2.11,-2.18,-1.06,-1.06,-1.24,-1.43,-1.57,1.72,2,8.71585034013605,0.722,0,2.51444444444444,1.11,0,0.721124785153704,17.399965,0.718398526077098
DTXSID3032622,-0.1,-0.09,[-0.14:-0.03],1,1,0.838,10004-44-1,79-15-2,872-50-4,694-85-9,127-19-5,KGVPNLBXJKTABS-UHFFFAOYSA-N,VBTQNRFWXBXZQR-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,DVVGIUUJYPYENY-UHFFFAOYSA-N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,DTXSID3032622,DTXSID5024633,DTXSID6020856,DTXSID8061008,DTXSID5020499,-0.1,-0.14,1,0.96,1.08,0.75,0.82,1.02,-0.11,0.54,0.00799999999999995,0,2.13773148148148,0.003,1,1.84953703703704,0.605,0,0,13.077965,0
DTXSID2044347,-1.86,-1.85,[-1.88:-1.82],1,1,0.954,100-06-1,586-37-8,123-11-5,119-84-6,553-86-6,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,VMUXSMXIQBNMGZ-UHFFFAOYSA-N,ACZGCWSMSTYWDQ-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID2026997,DTXSID2020474,DTXSID70203829,-1.86,-1.72,-1.5,-1.93,-1.51,-1.72,-1.8,-1.89,-1.87,-1.95,1.854,2,4.93760959939531,0.003,1,1.59013605442177,0.825,0,0,24.11193,0
DTXSID9059204,NaN,-2.27,[-2.71:-1.85],1,0.766,0.741,34841-35-5,104-88-1,89-98-5,4039-86-5,623-03-0,PQWGFUFROKIJBO-UHFFFAOYSA-N,AVPYQKSLYISFPO-UHFFFAOYSA-N,FPYUJUBAXZAQNL-UHFFFAOYSA-N,VUJITVTVTWYDAK-UHFFFAOYSA-N,GJNGXPDXRVXSEH-UHFFFAOYSA-N,DTXSID1049277,DTXSID2021860,DTXSID5024764,DTXSID201036266,DTXSID8044703,-1.85,-2.18,-1.94,-3,-2.75,-2.58,-2.25,-2.33,-2.32,-2.27,2.25,2,0.404267290249433,0.003,1,1.42655580750819,0.952,0,0,22.531551,0
DTXSID4059205,-2.69,-2.68,[-2.69:-2.59],1,1,0.841,100-09-4,104-01-8,619-86-3,579-75-9,1878-49-5,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,NRPFNQUDKRYCNX-UHFFFAOYSA-N,SHSGDXCJYVZFTP-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,QJVXBRUGKLCUMY-UHFFFAOYSA-N,DTXSID4059205,DTXSID1059288,DTXSID2060709,DTXSID3060376,DTXSID9041441,-2.69,-1.44,-2.45,-1.48,-2.44,-1.91,-2.31,-1.99,-2.24,-2.02,1.589,2,4.85597694633409,0.591,2,2.59013605442177,0.798,0,0.5,21.820344,0.766736111111111
DTXSID80889259,NaN,-1.17,[-1.81:-0.31],1,0.68,0.62,60047-17-8,63500-71-0,1384257-92-4,57018-52-7,682-09-7,BRHDDEIRQPDPMG-UHFFFAOYSA-N,YVSNOTITPICPTB-UHFFFAOYSA-N,GWEWFXLOKRTOOW-UHFFFAOYSA-N,GQCZPFJGIXHZMB-UHFFFAOYSA-N,BDKDHWOPFRTWPP-UHFFFAOYSA-N,DTXSID60863673,DTXSID2052318,DTXSID601019608,DTXSID8025967,DTXSID7044976,-1.8,-0.79,-1.81,0.5,-1.72,-1.42,-1.73,-0.5,0.03,-0.93,1.499,0,5.6072515117158,0.281,2,1.62041666666667,0.393,0,0,28.651067,0.46375
DTXSID7030698,NaN,-3.02,[-5.24:-0.8],0,0.103,0.16,53784-84-2,56180-94-0,146-14-5,503155-49-5,22976-86-9,ONWAJCGYJSVQSX-UHFFFAOYSA-N,CEMXHAPUFJOOSV-UHFFFAOYSA-N,VWWQXMAJTJZDQX-UHFFFAOYSA-N,XMFZOOYRCKPYAK-UHFFFAOYSA-N,JPFWJDMDPLEUBD-UHFFFAOYSA-N,DTXSID201021110,DTXSID8046034,DTXSID4048307,DTXSID101036287,DTXSID30873865,-6.42,-0.64,-2.2,-3.75,-1.17,-2.81,-0.81,-0.57,-2.92,-0.06,-11.796,0,5.62936564540269,3.543,30,3.48136356784206,4.79,0,15.4972579019615,127.42758,0.205402727459014
DTXSID2026652,NaN,-3.94,[-4.14:-3.74],1,0.886,0.874,99-62-7,3748-13-8,535-77-3,99-87-6,527-84-4,UNEATYXSUBPPKP-UHFFFAOYSA-N,IBVPVTPPYGGAEL-UHFFFAOYSA-N,XCYJPXQACVEIOS-UHFFFAOYSA-N,HFPZCAJZSCWRBC-UHFFFAOYSA-N,WWRCMNKATXZARA-UHFFFAOYSA-N,DTXSID8026640,DTXSID7027546,DTXSID2060206,DTXSID3026645,DTXSID1052165,-3.97,-4.45,-3.5,-3.76,-3.76,-3.92,-5.15,-3.72,-3.62,-3.62,6.862,2,0,0.003,0,0.688692365835223,0.642,0,0,33.122274,0
DTXSID6026080,-4.04,-4.03,[-4.04:-3.82],1,1,0.74,100-21-0,121-91-5,89-51-0,88-99-3,877-24-7,KKEYFWRCBNTPAC-UHFFFAOYSA-N,QQVIHTHCMHWDBS-UHFFFAOYSA-N,ZHQLTKAVLJKSKR-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,DTXSID6026080,DTXSID3021485,DTXSID4058990,DTXSID8021484,DTXSID0042167,-4.04,-3.17,-1.05,-1.59,-0.39,-1.8,-1.86,-2.27,-0.4,-0.4,1.27,2,8.46688444822373,1.179,4,2.72968631897203,0.896,0,1.301395273661,21.288758,0.770961238662132
DTXSID0021836,-3.39,-3.38,[-3.39:-3.32],1,1,0.868,100-25-4,99-65-0,528-29-0,619-15-8,121-14-2,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,IZUKQUVSCNEFMJ-UHFFFAOYSA-N,KZBOXYKTSUUBTO-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,DTXSID0021836,DTXSID9024065,DTXSID4024066,DTXSID8027248,DTXSID0020529,-3.39,-2.5,-3.1,-2.92,-2.89,-2.8,-3.13,-2.93,-2.94,-2.97,2.57,2,10.1177815570673,0.003,0,2.60741496598639,1.218,0,1.301395273661,18.635172,0
DTXSID80883636,NaN,0.33,[-0.22:0.87],1,0.781,0.716,111-96-6,112-36-7,NOCAS_871138,112-49-2,629-14-1,SBZXBUIDTXKZTM-UHFFFAOYSA-N,RRQYJINTUHWNHW-UHFFFAOYSA-N,ANPYLYUCGAFKNQ-UHFFFAOYSA-N,YFNKIDBQEZZDLK-UHFFFAOYSA-N,LZDKZFUFMNSQCJ-UHFFFAOYSA-N,DTXSID1024621,DTXSID3025047,DTXSID20871138,DTXSID8026224,DTXSID5025285,0.87,0.79,-0.13,-0.25,-0.46,0.46,-0.04,0.57,0.52,-0.07,0.063,0,4.7825462962963,0.003,3,0.843676303854875,0.082,0,0,25.394688,0
DTXSID30893604,NaN,-6.37,[-7.8:-4.94],1,0.459,0.458,284461-73-0,69409-94-5|102851-06-9,58011-68-0,104459-82-7,316-81-4,MLDQJTXFUGDVEO-UHFFFAOYSA-N,INISTDXBRIBGOC-UHFFFAOYSA-N,ASRAWSBMDXVNLX-UHFFFAOYSA-N,GAIFAPDHLCPUMF-UHFFFAOYSA-N,VZYCZNZBPPHOFY-UHFFFAOYSA-N,DTXSID7041128,DTXSID7024110|DTXSID7037555,DTXSID1058133,DTXSID9057923,DTXSID1023655,-6.67,-8.32,-6.9,-5.68,-3.89,-6.28,-7.24,-5.85,-6.16,-5.08,5.41,7,-1.5275240965315,0.003,5,5.8022963882385,2.031,0,0,69.698446,0
DTXSID90143117,NaN,-0.47,[-1.23:0.29],1,0.665,0.653,1917-64-2,13493-97-5,98-01-1,1899-24-7,617-89-0,ASHVULSQMDWKFO-UHFFFAOYSA-N,FPRQARNPKWVCNI-UHFFFAOYSA-N,HYBBIBNJHNGZAN-UHFFFAOYSA-N,WJTFHWXMITZNHS-UHFFFAOYSA-N,DDRPCXLAQZKBJP-UHFFFAOYSA-N,DTXSID30172704,DTXSID30878890,DTXSID1020647,DTXSID40344910,DTXSID6052295,-0.5,-0.98,-0.1,-1.54,1.01,-1.5,-0.64,-0.52,-1.71,0.84,0.32,2,4.6412037037037,0.003,2,1.37037037037037,0.585,0,0,14.469172,0
DTXSID7057606,NaN,0.48,[-0.22:1],1,0.785,0.714,100-74-3,10315-98-7,109-02-4,1456-28-6,617-84-5,HVCNXQOWACZAFN-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,SJRJJKPEHAURKC-UHFFFAOYSA-N,DPYMAXOKJUBANR-UHFFFAOYSA-N,SUAKHGWARZSWIH-UHFFFAOYSA-N,DTXSID5025312,DTXSID30145675,DTXSID9029146,DTXSID4021470,DTXSID3020463,0.94,-0.71,1,-0.07,0.99,0.6,0.26,0.94,0.05,0.43,0.133,0,2.30555555555556,0.025,2,0.720555555555556,0.345,0,0,23.428688,0
DTXSID5021837,0.93,0.93,[0.86:1],1,1,0.88,100-37-8,7005-47-2,111-75-1,108-01-0,96-80-0,BFSVOASYOCHEOV-UHFFFAOYSA-N,XRIBIDPMFSLGFS-UHFFFAOYSA-N,LJDSTRZHPWMDPG-UHFFFAOYSA-N,UEEJHVSXFDXPFK-UHFFFAOYSA-N,ZYWUVGFIXPNBDL-UHFFFAOYSA-N,DTXSID5021837,DTXSID6044721,DTXSID9059410,DTXSID2020505,DTXSID6021822,0.93,0.93,0.93,1.05,-1.08,0.44,0.5,0.43,0.53,0.31,0.2,0,2.18055555555556,0.259,2,1.22055555555556,0.35,0,0,22.463895,0.672083333333333
DTXSID10143255,NaN,-0.59,[-1.76:0.25],0,0.293,0.497,69-79-4,526-99-8|80876-58-0,79-57-2,1703-58-8,526-95-4,DKXNBNKWCZZMJT-UHFFFAOYSA-N,DSLZVSRJTYRBFB-UHFFFAOYSA-N,TUEWQXNXQFRUTK-UHFFFAOYSA-N,GGAUUQHSCNMCAU-UHFFFAOYSA-N,RGHNJXZEOKUKBD-UHFFFAOYSA-N,DTXSID1023233,DTXSID7048740|DTXSID10425886,DTXSID1034260,DTXSID6024670,DTXSID8027169,0.25,-0.64,-3.14,-0.33,0.21,0.32,0.08,-2.6,-0.15,0.43,-5.632,0,4.76249622071051,0.849,11,3.38499246766608,1.49,0,7.3493599310067,44.611446,0.456514865205341
DTXSID3021437,-3.33,-3.33,[-3.36:-3.3],1,1,0.954,100-40-3,111-78-4,3048-64-4,695-12-5,3070-53-9,BBDKZWKEPDTENS-UHFFFAOYSA-N,VYXHVRARDIDEHS-UHFFFAOYSA-N,INYHZQLKOKTDAI-UHFFFAOYSA-N,LDLDYFCCDKENPD-UHFFFAOYSA-N,GEAWFZNTIFJMHR-UHFFFAOYSA-N,DTXSID3021437,DTXSID0026888,DTXSID6029250,DTXSID90219725,DTXSID2062828,-3.33,-3.1,-3.08,-3.87,-3.34,-3.47,-3.27,-3.65,-4.12,-3.37,3.605,0,0,0.003,0,0.569444444444444,0.496,0,0,22.081516,0
DTXSID3020596,-2.78,-2.79,[-2.83:-2.75],1,1,0.963,100-41-4,100-42-5,98-83-9,108-88-3,103-65-1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID3020596,DTXSID2021284,DTXSID9025661,DTXSID7021360,DTXSID3042219,-2.78,-2.67,-3.01,-2.23,-3.34,-2.88,-2.88,-3.11,-2.7,-3.45,4.954,1,0,0.003,0,0.360277777777778,0.664,0,0,20.74793,0
DTXSID20143261,-2.75,-2.74,[-2.75:-2.69],1,1,0.863,100418-33-5,4926-55-0,614-80-2,87-28-5,119-36-8,SCZQUWZLEIYDBD-UHFFFAOYSA-N,LFOUYKNCQNVIGI-UHFFFAOYSA-N,ADVGKWPZRIDURE-UHFFFAOYSA-N,LVYLCBNXHHHPSB-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,DTXSID20143261,DTXSID0063650,DTXSID8022082,DTXSID4048987,DTXSID5025659,-2.75,-1.99,-2.23,-1.16,-1.83,-2.11,-2.21,-1.6,-1.7,-2.86,2.515,3,2.77981481481481,0.205,2,2.43779006046863,1.339,0,0.650697636830499,28.447516,0.678903966679264
DTXSID2021284,-2.67,-2.68,[-2.73:-2.63],1,1,0.934,100-42-5,98-83-9,100-41-4,108-88-3,103-63-9,PPBRXRYQALVLMV-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,WMPPDTMATNBGJN-UHFFFAOYSA-N,DTXSID2021284,DTXSID9025661,DTXSID3020596,DTXSID7021360,DTXSID1033876,-2.67,-3.01,-2.78,-2.23,-3.68,-2.88,-3.11,-2.88,-2.7,-2.93,4.954,1,0,0.003,0,0.493055555555555,0.791,0,0,19.414344,0
DTXSID9029302,-3.36,-3.36,[-3.39:-3.32],1,1,0.898,10042-59-8,1913285-57-0,5502-75-0,106-21-8,628-99-9,YLQLIQIAXYRMDL-UHFFFAOYSA-N,UHELJNANGXRBDI-UHFFFAOYSA-N,KHWTYGFHPHRQMP-UHFFFAOYSA-N,PRNCMAKCNVRZFX-UHFFFAOYSA-N,NGDNVOAEIVQRFH-UHFFFAOYSA-N,DTXSID9029302,DTXSID401036129,DTXSID80860124,DTXSID5044360,DTXSID60862323,-3.36,-3.23,-2.86,-3.39,-2.74,-2.95,-3.01,-2.99,-3.19,-2.36,3.993,0,8.95646636432351,0.348,1,1.11353741496599,0.19,0,0,33.071446,0.542300170068027
DTXSID0051499,-0.56,-0.55,[-0.64:-0.46],1,1,0.863,100-43-6,100-69-6,536-75-4,109-06-8,109-04-6,KFDVPJUYSDEJTH-UHFFFAOYSA-N,KGIGUEBEKRSTEW-UHFFFAOYSA-N,VJXRKZJMGVSXPX-UHFFFAOYSA-N,BSKHPKMHTQYZBB-UHFFFAOYSA-N,IMRWILPUOVGIMU-UHFFFAOYSA-N,DTXSID0051499,DTXSID1026667,DTXSID60873555,DTXSID9021899,DTXSID6051564,-0.56,-0.58,0,1.03,-0.88,0.04,-0.61,0.35,0.28,-0.57,2.292,1,0,0.003,1,0.555555555555555,0.769,0,0,18.087551,0
DTXSID0020153,-2.31,-2.31,[-2.33:-2.29],1,1,0.887,100-44-7,98-87-3,108-90-7,108-88-3,100-39-0,KCXMKQUNVWSEMD-UHFFFAOYSA-N,CAHQGWAXKLQREW-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,AGEZXYOZHKGVCM-UHFFFAOYSA-N,DTXSID0020153,DTXSID6025014,DTXSID4020298,DTXSID7021360,DTXSID8024658,-2.31,-2.81,-2.37,-2.23,-2.65,-2.8,-2.58,-2.67,-2.7,-2.84,3.883,1,1.11912208504801,0.003,0,0.226556927297668,0.791,0,0,19.167551,0
DTXSID5021839,-0.28,-0.28,[-0.35:-0.28],1,1,0.858,100-46-9,62-53-3,618-36-0,155-09-9,106-49-0,WGQKYBSKWIADBV-UHFFFAOYSA-N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,RQEUFEKYXDPUSK-UHFFFAOYSA-N,AELCINSCMGFISI-UHFFFAOYSA-N,RZXMPPFPUUCRFN-UHFFFAOYSA-N,DTXSID5021839,DTXSID8020090,DTXSID40862301,DTXSID2023694,DTXSID6021872,-0.28,-0.41,-0.46,-1.95,-1.21,-0.94,-0.72,-1.37,-1.06,-0.87,2.342,1,5.34981481481482,0.18,1,0.860277777777778,0.853,0,0,19.421137,0
DTXSID7021491,-1.36,-1.36,[-1.46:-1.26],1,1,0.951,100-47-0,369-58-4,140-29-4,100-69-6,100-43-6,JFDZBHWFFUWGJE-UHFFFAOYSA-N,YLVKIBKAGUPACT-UHFFFAOYSA-N,SUSQOBVLVYHIEX-UHFFFAOYSA-N,KGIGUEBEKRSTEW-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,DTXSID7021491,DTXSID8059899,DTXSID2021492,DTXSID1026667,DTXSID0051499,-1.36,-1.44,-3.07,-0.58,-0.56,-1.42,-1.32,-1.23,-0.61,0.04,2.777,1,0,0.003,1,0.951388888888889,0.808,0,0,16.753965,0
DTXSID9041528,-0.42,-0.41,[-0.42:-0.34],1,1,0.902,100-48-1,100-54-9,109-08-0,50406-54-7,823-09-6,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,PJBPUBIFRFCYHE-UHFFFAOYSA-N,FOEMIZSFFWGXHX-UHFFFAOYSA-N,DTXSID9041528,DTXSID1026665,DTXSID4047620,DTXSID80198459,DTXSID80878784,-0.42,-0.21,1.03,0.1,-0.4,-0.06,-0.19,0.35,-0.26,-0.7,0.748,1,0,0.003,2,1.01388888888889,0.786,0,0,15.427172,0
DTXSID1026661,NaN,-1.3,[-1.75:-0.85],1,0.787,0.754,5910-85-0,591-24-2,6728-26-3,583-60-8,108-94-1,SATICYYAWWYRAM-UHFFFAOYSA-N,UJBOOUHRTQVGRU-UHFFFAOYSA-N,MBDOYVRWFFCFHM-UHFFFAOYSA-N,LFSAPCRASZRSKS-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,DTXSID9064057,DTXSID50862256,DTXSID1041425,DTXSID6052245,DTXSID6020359,-1.59,-1.87,-1.27,-0.94,-0.6,-1.49,-1.05,-1.21,-1.37,-1.25,1.731,0,10.1260185185185,0.003,1,1.01388888888889,0.5,0,0,19.78993,0
DTXSID5020152,-0.41,-0.41,[-0.46:-0.39],1,1,0.869,100-51-6,60-12-8,589-18-4,587-03-1,104-54-1,WVDDGKGOMKODPV-UHFFFAOYSA-N,WRMNZCZEMHIOCP-UHFFFAOYSA-N,KMTDMTZBNYGUNX-UHFFFAOYSA-N,JJCKHVUTVOPLBV-UHFFFAOYSA-N,OOCCDEMITAIZTP-UHFFFAOYSA-N,DTXSID5020152,DTXSID9026342,DTXSID5025574,DTXSID4039497,DTXSID9041491,-0.41,-0.74,-1.2,-0.39,-1.72,-1,-1.07,-0.82,-1.29,-0.89,2.409,1,8.53759259259259,0.348,1,1.36027777777778,0.829,0,0,18.456344,0.692083333333333
DTXSID8039241,-1.2,-1.2,[-1.24:-1.2],1,1,0.889,100-52-7,122-78-1,98-86-2,93-53-8,104-55-2,HUMNYLRZRPPJDN-UHFFFAOYSA-N,DTUQWGWMVIHBKE-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,IQVAERDLDAZARL-UHFFFAOYSA-N,KJPRLNWUNMBNBZ-UHFFFAOYSA-N,DTXSID8039241,DTXSID3021483,DTXSID6021828,DTXSID0052629,DTXSID1024835,-1.2,-1.67,-1.29,-1.71,-1.97,-1.66,-1.69,-1.75,-1.99,-1.95,3.08,1,10.0064814814815,0.003,1,1.16666666666667,0.795,0,0,17.122758,0
DTXSID6026664,NaN,-2.68,[-3.09:-2.27],1,0.778,0.791,591-50-4,108-98-5,100-39-0,108-86-1,583-53-9,SNHMUERNLJLMHN-UHFFFAOYSA-N,RMVRSNDYEFQCLF-UHFFFAOYSA-N,AGEZXYOZHKGVCM-UHFFFAOYSA-N,QARVLSVVCXYDNA-UHFFFAOYSA-N,WQONPSCCEXUXTQ-UHFFFAOYSA-N,DTXSID8060452,DTXSID7026811,DTXSID8024658,DTXSID5024637,DTXSID0022064,-2.78,-2.12,-2.65,-2.55,-3.5,-2.89,-2.7,-2.84,-2.38,-3.62,3.79,1,0,0.003,0,0.285212620027435,1.233,0,0,20.554344,0
DTXSID1026665,-0.21,-0.21,[-0.27:-0.15],1,1,0.973,100-54-9,100-48-1,109-08-0,50406-54-7,823-09-6,GZPHSAQLYPIAIN-UHFFFAOYSA-N,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,PJBPUBIFRFCYHE-UHFFFAOYSA-N,FOEMIZSFFWGXHX-UHFFFAOYSA-N,DTXSID1026665,DTXSID9041528,DTXSID4047620,DTXSID80198459,DTXSID80878784,-0.21,-0.42,1.03,0.1,-0.4,-0.19,-0.06,0.35,-0.26,-0.7,0.748,1,0,0.003,2,1.0625,0.786,0,0,15.427172,0
DTXSID9021841,-1.28,-1.28,[-1.39:-1.17],1,1,0.942,100-61-8,103-69-5,103-67-3,696-44-6,768-52-5,AFBPFSWMIHJQDM-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,RIWRFSMVIUAEBX-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,FRCFWPVMFJMNDP-UHFFFAOYSA-N,DTXSID9021841,DTXSID1025271,DTXSID9048439,DTXSID2061014,DTXSID7025479,-1.28,-1.7,0.92,-2.05,-3.13,-1.33,-1.41,-1.79,-1.23,-1.11,2.367,1,3.02694444444444,0.197,1,0.506944444444444,0.856,0,0,19.421137,0
DTXSID4021842,-0.8,-0.8,[-0.87:-0.73],1,1,0.882,100-64-1,2229-00-7|3349-62-0,96-29-7,4437-52-9,110-69-0,VEZUQRBDRNJBJY-UHFFFAOYSA-N,WNPVAXLJVUXYFU-UHFFFAOYSA-N,WHIVNJATOVLWBW-UHFFFAOYSA-N,DFTMMVSDKIXUIX-UHFFFAOYSA-N,KGGVGTQEGGOZRN-UHFFFAOYSA-N,DTXSID4021842,DTXSID80878941|DTXSID20878940,DTXSID1021821,DTXSID50878837,DTXSID2024664,-0.8,-0.84,0.06,-2.55,-1.94,-1.27,-1.32,-1.3,-1.51,-0.56,1.163,0,8.27898148148148,0.003,0,0.684027777777778,0.606,0,0,19.796723,0.821388888888889
DTXSID0034857,-5.99,-5.99,[-5.99:-5.91],1,1,0.807,76578-14-8|100646-51-3,66441-23-4|71283-80-2,175013-18-0,3134-12-1,133220-30-1,OSUHJPCHFDQAIT-UHFFFAOYSA-N,PQKBPHSEKWERTG-UHFFFAOYSA-N,HZRSNVGNWUDEFX-UHFFFAOYSA-N,QQXXYTVEGCOZRF-UHFFFAOYSA-N,PMAAYIYCDXGUAP-UHFFFAOYSA-N,DTXSID9023889|DTXSID0034857,DTXSID2032392|DTXSID2034598,DTXSID7032638,DTXSID2042270,DTXSID1057957,-5.99,-5.61,-5.31,-4.32,-4.36,-4.8,-5.15,-4.5,-5.16,-5.19,4.498,4,0.795548609248021,0.003,4,2.05773883401401,2.176,0,0,52.363481,0
DTXSID4041608,-1.93,-1.94,[-1.98:-1.9],1,1,0.937,100-66-3,103-73-1,538-86-3,578-58-5,104-93-8,RDOXTESZEPMUJZ-UHFFFAOYSA-N,DLRJIFUOBPOJNS-UHFFFAOYSA-N,GQKZBCPTCWJTAS-UHFFFAOYSA-N,DTFKRVXLBCAIOZ-UHFFFAOYSA-N,CHLICZRVGGXEOD-UHFFFAOYSA-N,DTXSID4041608,DTXSID7059278,DTXSID5060227,DTXSID9060368,DTXSID9026710,-1.93,-2.33,-1.61,-2.69,-2.34,-2.14,-2.36,-1.97,-2.25,-2.43,2.563,1,4.91416666666667,0.003,0,0.756944444444444,0.678,0,0,18.456344,0
DTXSID1026667,-0.58,-0.58,[-0.67:-0.49],1,1,0.967,100-69-6,100-43-6,109-06-8,109-04-6,100-47-0,KGIGUEBEKRSTEW-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,BSKHPKMHTQYZBB-UHFFFAOYSA-N,IMRWILPUOVGIMU-UHFFFAOYSA-N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,DTXSID1026667,DTXSID0051499,DTXSID9021899,DTXSID6051564,DTXSID7021491,-0.58,-0.56,1.03,-0.88,-1.36,-0.61,0.04,0.28,-0.57,-1.42,2.258,1,0,0.003,1,0.743055555555555,0.769,0,0,18.087551,0
