MoleculeID,LogP_exp,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP,LogP_CAS_neighbor_1,LogP_CAS_neighbor_2,LogP_CAS_neighbor_3,LogP_CAS_neighbor_4,LogP_CAS_neighbor_5,LogP_InChiKey_neighbor_1,LogP_InChiKey_neighbor_2,LogP_InChiKey_neighbor_3,LogP_InChiKey_neighbor_4,LogP_InChiKey_neighbor_5,LogP_DTXSID_neighbor_1,LogP_DTXSID_neighbor_2,LogP_DTXSID_neighbor_3,LogP_DTXSID_neighbor_4,LogP_DTXSID_neighbor_5,LogP_Exp_neighbor_1,LogP_Exp_neighbor_2,LogP_Exp_neighbor_3,LogP_Exp_neighbor_4,LogP_Exp_neighbor_5,LogP_pred_neighbor_1,LogP_pred_neighbor_2,LogP_pred_neighbor_3,LogP_pred_neighbor_4,LogP_pred_neighbor_5,CrippenLogP,GATS2c,LipoaffinityIndex,AATS1p,ATSC1i,ETA_EtaP,MLFER_S,nN,ETA_Beta,SaltIndex
DTXSID6067830,NaN,7.49,[6.97:8.01],1,0.721,0.702,112-39-0,110-27-0,112-62-9,112-61-8,13402-02-3,FLIACVVOZYBSBS-UHFFFAOYSA-N,AXISYYRBXTVTFY-UHFFFAOYSA-N,QYDYPVFESGNLHU-UHFFFAOYSA-N,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,PZDUWXKXFAIFOR-UHFFFAOYSA-N,DTXSID4029149,DTXSID0026838,DTXSID5025811,DTXSID2047640,DTXSID0065434,7.38,7.71,7.45,8.35,6.5,7.24,6.98,7.36,7.34,7.09,6.26469000000001,0.984503303371934,10.3717515890817,1.61323663927273,-6.26196284863007,1.21757,0.558,0,11.75,0
DTXSID4029357,NaN,-1.57,[-2.23:-0.94],1,0.605,0.588,111-42-2,107-97-1,109-83-1,5725-96-2,141-43-5,ZBCBWPMODOFKDW-UHFFFAOYSA-N,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,OPKOKAMJFNKNAS-UHFFFAOYSA-N,VMESOKCXSYNAKD-UHFFFAOYSA-N,HZAXFHJVJLSVMW-UHFFFAOYSA-N,DTXSID3021932,DTXSID1047025,DTXSID5025603,DTXSID5063990,DTXSID6022000,-1.43,-2.78,-0.94,-1.15,-1.31,-1.04,-0.75,-0.9,-0.34,-2.18,-0.8916,1.02473000908616,0.797699444444444,1.25348472442857,-6.80166281131363,0.57543,0.629,1,3.5,0
DTXSID0063024,2.6,2.6,[2.56:2.6],1,1,0.866,3437-84-1,94-60-0,107-71-1,7452-79-1,1864727-96-7,RPBWMJBZQXCSFW-UHFFFAOYSA-N,LNGAGQAGYITKCW-UHFFFAOYSA-N,SWAXTRYEYUTSAP-UHFFFAOYSA-N,HCRBXQFHJMCTLF-UHFFFAOYSA-N,LMYLXOYWTNLODW-UHFFFAOYSA-N,DTXSID0063024,DTXSID3026566,DTXSID9029142,DTXSID3052488,DTXSID301021068,2.6,2.29,1.6,2,2.3,1.98,2.12,2.07,2.4,2.23,1.53369,0.992648036286961,2.77319803287982,1.5329433736,-4.71829767990546,0.86195,0.911,0,9.5,0
DTXSID9042380,NaN,4.23,[3.1:5.39],1,0.547,0.499,3069-40-7,10217-34-2,2943-75-1,2550-02-9,5089-70-3,NMEPHPOFYLLFTK-UHFFFAOYSA-N,UDUKMRHNZZLJRB-UHFFFAOYSA-N,MSRJTTSHWYDFIU-UHFFFAOYSA-N,NBXZNTLFQLUFES-UHFFFAOYSA-N,KSCAZPYHLGGNPZ-UHFFFAOYSA-N,DTXSID80863094,DTXSID7044762,DTXSID2029246,DTXSID60862984,DTXSID5029267,3.9,4.55,6.41,3.1,3.1,3.94,3.77,4.37,3.28,3.36,3.39889,1.26445438402317,7.5029555223468,1.8758188015,-20.9247994944163,1.32661,0.414,0,8.75,0
DTXSID4047678,NaN,1.33,[1.08:1.57],1,0.632,0.775,95-89-6,15707-23-0,15986-80-8,15707-24-1,14667-55-1,NNBALVIZMGWZHS-UHFFFAOYSA-N,LNIMMWYNSBZESE-UHFFFAOYSA-N,XAWKNALRUSOTOY-UHFFFAOYSA-N,GZXXANJCCWGCSV-UHFFFAOYSA-N,IAEGWXHKWJGQAZ-UHFFFAOYSA-N,DTXSID60241715,DTXSID4047464,DTXSID8051758,DTXSID6047101,DTXSID1047075,1.5,1.07,1.57,1.51,0.95,1.05,1.06,1.65,1.68,1.01,2.16578,1.27295990572647,3.87690657407407,1.80979729047619,-7.5587987495477,0.59542,0.923,2,12.5,0
DTXSID60865718,NaN,3.89,[2.57:5.21],1,0.48,0.471,NOCAS_875386,6358-36-7,83-89-6,18109-55-2,437-38-7,QPOSPHNNBYIFHO-UHFFFAOYSA-N,HPKYMNAXAKNZCR-UHFFFAOYSA-N,GPKJTRJOBQGKQK-UHFFFAOYSA-N,STOJUOWCDNPDIQ-UHFFFAOYSA-N,PJMPHNIQZUBGLI-UHFFFAOYSA-N,DTXSID50875386,DTXSID40884265,DTXSID7022627,DTXSID10171073,DTXSID9023049,3.3,1.76,5.5,4.94,4.05,4.38,2.51,5.26,4.2,3.34,5.75888000000001,1.57128913401425,11.1419724109136,1.70292260355932,-13.7532202637745,0.91297,1.592,3,31.25,0
DTXSID80880024,NaN,2.87,[2.51:3.11],1,0.44,0.678,SRC007-86-9,55692-91-6,SRC007-87-2,51008-91-4,SRC002-66-2,KXGSLNYYLAFUAR-UHFFFAOYSA-N,UGVQFIBOEVBLFO-UHFFFAOYSA-N,IORNUGMWXORCGK-UHFFFAOYSA-N,LVBKNIDTHCKOMF-UHFFFAOYSA-N,BXTXZQKFCBHXSP-UHFFFAOYSA-N,,DTXSID30971057,,,,3.11,3.11,2.14,2.95,2.95,2.78,2.78,2.44,3.23,3.23,4.99306000000001,1.01489776984296,9.2520059155603,1.68934321229197,-4.70137938924304,1.88016,3.656,1,44.25,0
DTXSID2044921,NaN,5.2,[4.68:5.72],1,0.694,0.699,70833-40-8,20780-48-7,58430-94-7,53767-93-4,67707-75-9,HTCRKQHJUYBQTK-UHFFFAOYSA-N,RBKRCARRXLFUGJ-UHFFFAOYSA-N,DGKXDLCVQSQVBC-UHFFFAOYSA-N,BEARMGATPGLSKG-UHFFFAOYSA-N,NMZMQQBBZRGLPJ-UHFFFAOYSA-N,DTXSID40867952,DTXSID5041487,DTXSID0041270,DTXSID4052182,DTXSID7052367,5.8,5.6,4.6,4.9,4.59,4.99,5.06,4.79,4.53,4.75,3.68409,0.782043863552331,6.65202682808358,1.52812038238095,-8.65921517943033,1.18192,0.395,0,10.75,0
DTXSID7044922,-1.03,-1.03,[-1.06:-1],1,1,0.906,3445-11-2,869082-12-2,NOCAS_872043,87010-29-5,3760-54-1,WDQFELCEOPFLCZ-UHFFFAOYSA-N,FQGVVDYNRHNTCK-UHFFFAOYSA-N,JFZRRXGXEHUJCI-UHFFFAOYSA-N,WYNTXFYGOPFHTF-UHFFFAOYSA-N,AGRIQBHIKABLPJ-UHFFFAOYSA-N,DTXSID7044922,DTXSID60426222,DTXSID60872043,DTXSID70450351,DTXSID40191042,-1.03,-0.57,-0.74,-1.22,-0.32,-0.66,-0.46,-0.72,-0.78,-0.05,-0.16501,0.919498512608092,1.44812958333333,1.5507745543,-9.49670895027748,0.67564,1.151,1,7.25,0
DTXSID30885589,NaN,0.36,[-1.9:2.62],1,0.504,0.22,13419-67-5,68-11-1,2495-39-8,79-08-3,1561-92-8,PMNLUUOXGOOLSP-UHFFFAOYSA-N,CWERGRDVMFNCDR-UHFFFAOYSA-N,UIIIBRHUICCMAI-UHFFFAOYSA-N,KDPAWGWELVVRCH-UHFFFAOYSA-N,XEEYSDHEOQHCDA-UHFFFAOYSA-N,DTXSID50928508,DTXSID8026141,DTXSID3041451,DTXSID7021495,DTXSID2044840,1.15,0.09,-3.5,0.41,3.74,0.4,0.34,0.4,0.52,-2.28,0.23469,0.697933611990252,0.439590277777778,1.87576703825,-0.865263964738565,0.55483,1.226,0,4,190
DTXSID0067848,NaN,3.02,[1.99:4.06],1,0.49,0.527,34455-00-0,105412-23-5,67584-55-8,123441-03-2,67584-59-2,XYQNMGJZDSSVRP-UHFFFAOYSA-N,VCBWYBOKEVUWDU-UHFFFAOYSA-N,KEMCLRGAIUJRAN-UHFFFAOYSA-N,XSVMFMHYUFZWBK-UHFFFAOYSA-N,BEIWUHUHJDEMQO-UHFFFAOYSA-N,DTXSID50188029,DTXSID30878895,DTXSID7070507,DTXSID7023564,DTXSID6070510,2.69,1.99,4.19,2.3,4.89,2.21,2.65,4.6,3.21,3.83,1.618,1.39321455925284,7.55910699934912,1.62695814842857,-27.8821913313104,1.04465,0.702,1,15.75,0
DTXSID50188029,2.69,2.69,[2.66:2.72],1,1,0.887,34455-00-0,105412-23-5,63469-23-8,922165-31-9,4203-89-8,XYQNMGJZDSSVRP-UHFFFAOYSA-N,VCBWYBOKEVUWDU-UHFFFAOYSA-N,FFCUXTGIVGMUKC-UHFFFAOYSA-N,JNFDQAYPZCYWLD-UHFFFAOYSA-N,DCEYPVNNJBGUHA-UHFFFAOYSA-N,DTXSID50188029,DTXSID30878895,DTXSID00867014,DTXSID20238929,DTXSID1063352,2.69,1.99,1.24,2.5,3.2,2.21,2.65,0.74,1.95,2.82,0.9805,1.32310520871725,6.2600899877698,1.604105639125,-27.2325379738277,1.08968,0.957,1,17,0
