MoleculeID,LogP_exp,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP,LogP_CAS_neighbor_1,LogP_CAS_neighbor_2,LogP_CAS_neighbor_3,LogP_CAS_neighbor_4,LogP_CAS_neighbor_5,LogP_InChiKey_neighbor_1,LogP_InChiKey_neighbor_2,LogP_InChiKey_neighbor_3,LogP_InChiKey_neighbor_4,LogP_InChiKey_neighbor_5,LogP_DTXSID_neighbor_1,LogP_DTXSID_neighbor_2,LogP_DTXSID_neighbor_3,LogP_DTXSID_neighbor_4,LogP_DTXSID_neighbor_5,LogP_Exp_neighbor_1,LogP_Exp_neighbor_2,LogP_Exp_neighbor_3,LogP_Exp_neighbor_4,LogP_Exp_neighbor_5,LogP_pred_neighbor_1,LogP_pred_neighbor_2,LogP_pred_neighbor_3,LogP_pred_neighbor_4,LogP_pred_neighbor_5,CrippenLogP,GATS2c,LipoaffinityIndex,AATS1p,ATSC1i,ETA_EtaP,MLFER_S,nN,ETA_Beta,SaltIndex
DTXSID5020281,2.39,2.39,[2.39:2.41],1,1,0.934,100-00-5,121-73-3,585-79-5,586-78-7,89-59-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,SQFLFRQWPBEDHM-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID3060409,DTXSID7060415,DTXSID4058994,2.39,2.47,2.64,2.55,3.05,2.62,2.59,2.74,2.79,2.88,2.66909,1.02201286937948,2.50266734749867,2.03068408857143,6.52856425605715,0.36761,0.9,1,15.5,0
DTXSID8020961,1.39,1.39,[1.34:1.39],1,1,0.913,100-01-6,99-09-2,75773-74-9,99-57-0,610-81-1,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,LVRPDWZNGAHIDM-UHFFFAOYSA-N,VLZVIIYRNMWPSN-UHFFFAOYSA-N,IQXUIDYRTHQTET-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID80878880,DTXSID6020062,DTXSID50209864,1.39,1.37,0.03,1.26,1.01,1.08,1.1,1.3,1.32,1.36,1.59789,0.741501486691372,1.83478148148148,1.755807615,10.0466259817,0.34261,1.201,2,15.5,0
DTXSID0021834,1.91,1.91,[1.91:1.94],1,1,0.973,100-02-7,554-84-7,2581-34-2,2042-14-0,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BQEXDUKMTVYBRK-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID2062535,DTXSID90879085,DTXSID4063874,1.91,2,2.48,2.18,2.47,1.98,1.94,2.22,2.37,2.24,1.72129,0.703866849523543,1.51114259259259,1.77753901506667,7.86675985540002,0.33613,1.065,1,15.5,0
DTXSID3032622,0.46,0.45,[0.33:0.46],1,1,0.772,10004-44-1,78-97-7,NOCAS_859699,306-44-5,822-89-9,KGVPNLBXJKTABS-UHFFFAOYSA-N,WOFDVDFSGLBFAC-UHFFFAOYSA-N,IADUEWIQBXOCDZ-UHFFFAOYSA-N,OVGLVOLWBBGQHS-UHFFFAOYSA-N,SNUSZUYTMHKCPM-UHFFFAOYSA-N,DTXSID3032622,DTXSID6025432,DTXSID80859699,DTXSID0073162,DTXSID70231622,0.46,-0.94,-2.84,0.34,-1.53,-1.21,-0.64,-1.42,-0.04,0.34,-0.30052,0.923708836790592,1.06495416666667,1.57935246166667,0.768629371712499,0.44871,0.909,1,7.5,0
DTXSID2044347,1.74,1.75,[1.74:1.79],1,1,0.936,100-06-1,586-37-8,32723-67-4,10031-82-0,579-74-8,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,MYLBIQHZWFWSMH-UHFFFAOYSA-N,JRHHJNMASOIRDS-UHFFFAOYSA-N,DWPLEOPKBWNPQV-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID60186399,DTXSID7022251,DTXSID8060375,1.74,1.84,2.23,2.09,1.82,1.95,1.91,1.74,1.89,1.81,1.86619,1.24064237451573,3.7529091175359,1.78403157619048,-3.15454936702377,0.50145,1.185,0,14.25,0
DTXSID9059204,NaN,2.33,[1.8:2.86],1,0.686,0.689,610-96-8,16766-30-6,1126-46-1,491-38-3,2905-65-9,JAVRNIFMYIJXIE-UHFFFAOYSA-N,FVZQMMMRFNURSH-UHFFFAOYSA-N,LXNFVVDCCWUUKC-UHFFFAOYSA-N,OTAFHZMPRISVEM-UHFFFAOYSA-N,XRDRKVPNHIWTBX-UHFFFAOYSA-N,DTXSID8044701,DTXSID0074974,DTXSID5022148,DTXSID40197680,DTXSID6027507,2.38,2.15,2.87,1.38,2.85,2.65,1.98,2.56,2.58,2.63,2.04259,1.15818963977372,3.24987770521892,1.94309612055556,-2.98515133556939,0.49461,1.342,0,14.5,0
DTXSID4059205,1.96,1.96,[1.93:1.99],1,1,0.977,100-09-4,586-38-9,579-75-9,119-36-8,99-76-3,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,XHQZJYCNDZAGLW-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,DTXSID4059205,DTXSID2060410,DTXSID3060376,DTXSID5025659,DTXSID4022529,1.96,2.02,1.59,2.55,1.96,2,1.98,2.07,1.88,1.95,1.36179,0.884901319806653,2.84384249622071,1.74785463978947,-0.885033705276267,0.45263,1.095,0,14.5,0
DTXSID80889259,1.3,1.3,[1.21:1.39],1,1,0.927,1001354-72-8,15673-00-4,108-09-8,123-82-0,57224-50-7,AHZILZSKKSPIKM-UHFFFAOYSA-N,GPWHFPWZAPOYNO-UHFFFAOYSA-N,UNBMPKNTYKDYCG-UHFFFAOYSA-N,VSRBKQFNFZQRBM-UHFFFAOYSA-N,LPBSHGLDBQBSPI-UHFFFAOYSA-N,DTXSID80889259,DTXSID8075091,DTXSID4025113,DTXSID6048468,DTXSID50205846,1.3,1.72,1.2,2.4,-1.42,1.09,1.62,1.23,2.2,0.44,1.2748,0.80096006055592,3.54041462396069,1.51846648378572,2.47130565506123,1.02609,0.452,1,5,0
DTXSID7030698,NaN,-0.97,[-4.41:2.47],0,0.112,0.1,53784-84-2,585-88-6,547-25-1,99-20-7,57-50-1,ONWAJCGYJSVQSX-UHFFFAOYSA-N,VQHSOMBJVWLPSR-UHFFFAOYSA-N,RULSWEULPANCDV-UHFFFAOYSA-N,HDTRYLNUVZCQOY-UHFFFAOYSA-N,CZMRCDWAGMRECN-UHFFFAOYSA-N,DTXSID201021110,DTXSID0044444,DTXSID90876998,DTXSID3048102,DTXSID2021288,3.5,-3.87,-4.8,0.3,-3.7,0.21,-2.42,-2.15,-3.86,-1.87,-13.0548,1.13066947943293,-27.7424089777807,1.48722700581818,-2.40194597112171,1.85322,6.325,0,46.5,0
DTXSID2026652,5.23,5.23,[5.17:5.29],1,1,0.902,100-18-5,99-62-7,2049-95-8,2855-27-8,92368-90-6,SPPWGCYEYAMHDT-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,QHTJSSMHBLGUHV-UHFFFAOYSA-N,KTRQRAQRHBLCSQ-UHFFFAOYSA-N,CGMOOAUESLSUKM-UHFFFAOYSA-N,DTXSID2026652,DTXSID8026640,DTXSID7051848,DTXSID80869516,DTXSID20869095,5.23,4.82,4.95,6,4,4.87,5.13,4.76,4.86,4.04,3.9334,0.928189253580452,7.64184391534392,1.783686586,-3.42836870004248e-13,0.85097,0.451,0,12,0
DTXSID6026080,2,1.99,[1.88:2],1,1,0.849,100-21-0,121-91-5,88-99-3,99-06-9,501-89-3,KKEYFWRCBNTPAC-UHFFFAOYSA-N,QQVIHTHCMHWDBS-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,IJFXRHURBJZNAO-UHFFFAOYSA-N,DMEDOWYXHVUPMO-UHFFFAOYSA-N,DTXSID6026080,DTXSID3021485,DTXSID8021484,DTXSID6021610,DTXSID50277381,2,1.66,0.73,1.5,1.24,1.33,1.28,1.54,1.46,1.21,1.05139,0.50785205443828,1.83497080120937,1.84401517844444,4.87968218322227,0.44873,1.291,0,16,0
DTXSID0021836,1.47,1.47,[1.47:1.5],1,1,0.918,100-25-4,99-65-0,606-20-2,70-34-8,610-39-9,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,XTRDKALNCIHHNI-UHFFFAOYSA-N,LOTKRQAVGJMPNV-UHFFFAOYSA-N,INYDMNPNDHRJQJ-UHFFFAOYSA-N,DTXSID0021836,DTXSID9024065,DTXSID5020528,DTXSID8025331,DTXSID8027240,1.47,1.49,2.1,1.5,2.08,1.77,1.75,1.74,1.69,1.78,1.78289,1.24280266199891,1.24917407407407,1.7743985775,10.1429100766,0.33121,0.957,2,19.5,0
DTXSID80883636,0.37,0.36,[0.32:0.39],1,1,0.908,1002-67-1,112-36-7,111-96-6,112-49-2,7778-85-0,CNJRPYFBORAQAU-UHFFFAOYSA-N,RRQYJINTUHWNHW-UHFFFAOYSA-N,SBZXBUIDTXKZTM-UHFFFAOYSA-N,YFNKIDBQEZZDLK-UHFFFAOYSA-N,LEEANUDEDHYDTG-UHFFFAOYSA-N,DTXSID80883636,DTXSID3025047,DTXSID1024621,DTXSID8026224,DTXSID60871197,0.37,0.39,-0.36,-0.48,-0.09,0.02,0.37,-0.18,-0.33,0.35,0.6859,1.8977514243738,3.2136456026392,1.3687779584,-15.0288579395245,0.74014,0.682,0,6,0
DTXSID30893604,NaN,4.72,[3.68:5.76],1,0.433,0.423,55290-62-5,15301-48-1,NOCAS_875517,68385-96-6,119126-15-7,CYBSOZQIUIYJCP-UHFFFAOYSA-N,FLKWNFFCSSJANB-UHFFFAOYSA-N,IHKXLAGGBFNSGG-UHFFFAOYSA-N,NSLHLMXJNOITEZ-UHFFFAOYSA-N,AOQMRUTZEYVDIL-UHFFFAOYSA-N,DTXSID90886133,DTXSID90165197,DTXSID40875517,DTXSID6071459,DTXSID7057943,5.7,4.8,5.9,3.7,3.27,2.23,6.41,4.3,4.5,3.83,5.8132,1.02602183317964,10.273105793933,1.8842175368254,-11.8241227733487,0.96307,2.792,5,44.75,0
DTXSID90143117,NaN,-0.09,[-0.29:0.11],1,0.629,0.762,98-97-5,2036-41-1,289-95-2,114-33-0,22047-25-2,NIPZZXUFJPQHNH-UHFFFAOYSA-N,TWGNOYAGHYUFFR-UHFFFAOYSA-N,CZPWVGJYEJSRLH-UHFFFAOYSA-N,ZYVXHFWBYUDDBM-UHFFFAOYSA-N,DBZAKQWXICEWNW-UHFFFAOYSA-N,DTXSID30243367,DTXSID2062115,DTXSID1051228,DTXSID00870467,DTXSID5047085,-0.18,0.01,-0.4,0,0.2,-0.4,-0.05,0.01,0.38,0.69,0.69522,1.11070550162152,1.54015342592593,1.75087977,-8.56836671992499,0.33623,1.188,2,13.25,0
DTXSID7057606,0.21,0.21,[0.17:0.25],1,1,0.918,100-36-7,111-74-0,104-78-9,109-55-7,123-00-2,UDGSVBYJWHOHNN-UHFFFAOYSA-N,CJKRXEBLWJVYJD-UHFFFAOYSA-N,QOHMWDJIBGVPIF-UHFFFAOYSA-N,IUNMPGNGSSIWFP-UHFFFAOYSA-N,UIKUBYKUYUSRSM-UHFFFAOYSA-N,DTXSID7057606,DTXSID0059409,DTXSID7059303,DTXSID5025102,DTXSID4041521,0.21,0.21,0.36,-0.35,-1.08,-0.08,-0.16,0.38,-0.4,0.17,0.2869,1.52272748151329,3.81218333333333,1.42483760608696,-12.0303442611218,0.82682,0.523,2,4.5,0
DTXSID5021837,0.21,0.21,[0.19:0.23],1,1,0.955,100-37-8,NOCAS_878853,7005-47-2,15521-18-3,108-16-7,BFSVOASYOCHEOV-UHFFFAOYSA-N,GVFZJCJJUNBFNM-UHFFFAOYSA-N,XRIBIDPMFSLGFS-UHFFFAOYSA-N,PBKGYWLWIJLDGZ-UHFFFAOYSA-N,NCXUNZWLEYGQAH-UHFFFAOYSA-N,DTXSID5021837,DTXSID10878853,DTXSID6044721,DTXSID20871239,DTXSID5031210,0.21,0.65,0.29,0.16,0.2,0.35,0.11,0.64,0.16,0.13,0.3205,1.38326670437154,3.33895222222222,1.42461037845455,-13.379201267691,0.81246,0.63,1,4.5,0
DTXSID10143255,NaN,-1.55,[-2.71:-0.39],0,0.166,0.348,94134-01-7,857035-95-1,155601-30-2,70643-20-8,54381-16-7,MGFYIUFZLHCRTH-UHFFFAOYSA-N,BNAQKCLPJYBAHJ-UHFFFAOYSA-N,KDBUTNSQYYLYOY-UHFFFAOYSA-N,WCPGNFONICRLCL-UHFFFAOYSA-N,ISCYHXYLVTWDJT-UHFFFAOYSA-N,DTXSID30240694,DTXSID90235006,DTXSID20165928,DTXSID70892454,DTXSID5020075,0,-2.8,-1.75,-0.54,-2.8,-1.96,-1.39,-1.55,-0.79,-1.27,-5.47811,1.07131305189909,-7.48279138864032,1.45065555063636,4.65971379201933,1.03898,3.342,0,17,2122
DTXSID3021437,3.93,3.93,[3.91:3.95],1,1,0.973,100-40-3,NOCAS_876054,3048-65-5,16219-75-3,111-78-4,BBDKZWKEPDTENS-UHFFFAOYSA-N,LCFNGHBHWMMCBD-PGNVZPTMSA-N,UFERIGCCDYCZLN-UHFFFAOYSA-N,OJOWICOBYCXEKR-UHFFFAOYSA-N,VYXHVRARDIDEHS-QGTKBVGQSA-N,DTXSID3021437,DTXSID90876054,DTXSID0027515,DTXSID1025306,DTXSID0026888,3.93,4.17,3.83,3.82,3.16,4,4.42,3.81,3.51,3.8,2.38108,1.16489110924002,5.16695777777778,1.783686586,7.061018436616e-14,0.70606,0.378,0,6,0
DTXSID3020596,3.15,3.15,[3.14:3.16],1,1,0.951,100-41-4,300-57-2,98-83-9,2038-62-2,496-11-7,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,HJWLCRVIBGQPNF-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,RIIGIRHGFWXGPN-UHFFFAOYSA-N,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,DTXSID3020596,DTXSID00861855,DTXSID9025661,DTXSID30473006,DTXSID4052132,3.15,3.23,3.48,2.95,3.18,3.31,3.58,3.55,3.88,3.38,2.249,1.10033119399248,4.89139092592593,1.85814683888889,4.39648317751562e-14,0.48751,0.553,0,10,0
DTXSID20143261,2.1,2.1,[2.07:2.13],1,1,0.891,100418-33-5,4926-55-0,616-86-4,96-96-8,7413-36-7,SCZQUWZLEIYDBD-UHFFFAOYSA-N,LFOUYKNCQNVIGI-UHFFFAOYSA-N,ISFYBUAVOZFROB-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,UAORFCGRZIGNCI-UHFFFAOYSA-N,DTXSID20143261,DTXSID0063650,DTXSID8022084,DTXSID3044750,DTXSID9048693,2.1,1.5,2.38,1.94,1.28,1.65,1.96,1.47,1.52,1.26,1.44791,1.17986067659891,2.63666268093348,1.66652397638462,3.83355786281528,0.56896,1,2,18,0
DTXSID2021284,2.95,2.95,[2.92:2.98],1,1,0.986,100-42-5,367-23-7,367-11-3,98-83-9,4265-25-2,PPBRXRYQALVLMV-UHFFFAOYSA-N,PEBWOGPSYUIOBP-UHFFFAOYSA-N,GOYDNIKZWGIXJT-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,GBGPVUAOTCNZPT-UHFFFAOYSA-N,DTXSID2021284,DTXSID30190140,DTXSID2075390,DTXSID9025661,DTXSID40863353,2.95,2.52,2.37,3.48,3.22,2.93,2.36,2.71,3.55,2.77,2.14689,1.04002749813297,4.90130009259259,1.951222155,3.19744231092045e-14,0.34269,0.593,0,11.5,0
DTXSID9029302,4.17,4.16,[4:4.32],1,1,0.833,10042-59-8,106-21-8,112-30-1,81782-77-6,2430-22-0,YLQLIQIAXYRMDL-UHFFFAOYSA-N,PRNCMAKCNVRZFX-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,WSTQLNQRVZNEDV-UHFFFAOYSA-N,QDTDKYHPHANITQ-UHFFFAOYSA-N,DTXSID9029302,DTXSID5044360,DTXSID7021946,DTXSID8052560,DTXSID2058675,4.17,3.99,4.57,3.9,0.1,3.44,3.96,3.43,3.99,3.62,2.9753,0.851876308616489,5.95389278533636,1.573707453,-0.988449824933877,1.10087,0.41,0,5.25,0
DTXSID0051499,1.36,1.36,[1.34:1.38],1,1,0.972,100-43-6,100-69-6,108-99-6,108-89-4,372-47-4,KFDVPJUYSDEJTH-UHFFFAOYSA-N,KGIGUEBEKRSTEW-UHFFFAOYSA-N,ITQTTZVARXURQS-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,CELKOWQJPVJKIL-UHFFFAOYSA-N,DTXSID0051499,DTXSID1026667,DTXSID9021897,DTXSID4021892,DTXSID10190688,1.36,1.54,1.2,1.22,0.77,1.28,1.39,1.28,1.29,1,1.54189,1.24708019100932,4.0568987037037,1.88014734466667,-4.28667028758665,0.32279,0.766,1,12,0
DTXSID0020153,2.3,2.3,[2.3:2.35],1,1,0.876,100-44-7,95-13-6,2039-87-4,2687-12-9,622-24-2,KCXMKQUNVWSEMD-UHFFFAOYSA-N,YBYIRNPNPLQARY-UHFFFAOYSA-N,ISRGONDNXBCDBM-UHFFFAOYSA-N,IWTYTFSSTWXZFU-UHFFFAOYSA-N,MNNZINNZIQVULG-UHFFFAOYSA-N,DTXSID0020153,DTXSID8042052,DTXSID3024811,DTXSID6062591,DTXSID3060748,2.3,2.92,3.58,2.75,2.95,2.83,2.83,2.95,3.59,3.14,2.0859,1.1273790126403,4.43988865569273,2.06384734466667,1.33226762955019e-15,0.4632,0.71,0,10.25,0
DTXSID5021839,1.09,1.09,[1.09:1.12],1,1,0.889,100-46-9,348-54-9,64-04-0,104-84-7,622-42-4,WGQKYBSKWIADBV-UHFFFAOYSA-N,FTZQXOJYPFINKJ-UHFFFAOYSA-N,BHHGXPLMPWCGHP-UHFFFAOYSA-N,HMTSWYPNXFHGEP-UHFFFAOYSA-N,VLZLOWPYUQHHCG-UHFFFAOYSA-N,DTXSID5021839,DTXSID8059843,DTXSID5058773,DTXSID2059306,DTXSID7074294,1.09,1.26,1.41,1.46,1.75,1.56,1.67,1.26,1.24,1.47,0.8058,0.894882898458913,3.53274537037037,1.80123851588235,5.9434275279059,0.42085,0.803,1,10.25,0
DTXSID7021491,1.56,1.56,[1.54:1.58],1,1,0.984,100-47-0,403-54-3,529-19-1,24964-64-5,611-20-1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,JZTPKAROPNTQQV-UHFFFAOYSA-N,NWPNXBQSRGKSJB-UHFFFAOYSA-N,HGZJJKZPPMFIBU-UHFFFAOYSA-N,CHZCERSEMVWNHL-UHFFFAOYSA-N,DTXSID7021491,DTXSID0059954,DTXSID6022050,DTXSID30179677,DTXSID3041661,1.56,1.47,2.21,1.18,1.61,1.54,1.9,1.34,1.3,1.44,1.62449,0.714724481609897,3.12834231481482,2.07130935,7.99360577730113e-15,0.29744,1.052,1,13.25,0
DTXSID9041528,0.46,0.46,[0.42:0.5],1,1,0.909,100-48-1,100-54-9,1620-75-3,100-70-9,271-63-6,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,CMADFEQMYFNYCF-UHFFFAOYSA-N,FFNVQNRYTPFDDP-UHFFFAOYSA-N,MVXVYAKCVDQRLW-UHFFFAOYSA-N,DTXSID9041528,DTXSID1026665,DTXSID60167284,DTXSID9021843,DTXSID3075046,0.46,0.36,0.84,0.45,1.82,0.8,0.55,1.05,0.52,1.06,1.01949,0.903594289651391,2.32987092592593,1.99247310333333,-4.33783192446665,0.27839,1.225,2,13.75,0
DTXSID1026661,NaN,1.19,[0.7:1.68],1,0.642,0.717,113-18-8,930-68-7,108-94-1,141-79-7,109-49-9,ZEHYJZXQEQOSON-UHFFFAOYSA-N,FWFSEYBSWVRWGL-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,SHOJXDKTYKFBRD-UHFFFAOYSA-N,RNDVGJZUHCKENF-UHFFFAOYSA-N,DTXSID2023010,DTXSID1024881,DTXSID6020359,DTXSID1029170,DTXSID0059372,1.8,0.61,0.81,1.7,1.02,1.42,0.57,1.1,1.12,1.22,1.70168,0.853366414325132,3.11139055555556,1.77761572777778,1.50990331349021e-14,0.64588,0.833,0,6.75,0
DTXSID5020152,1.1,1.1,[1.1:1.13],1,1,0.925,100-51-6,446-51-5,459-56-3,367-12-4,19064-18-7,WVDDGKGOMKODPV-UHFFFAOYSA-N,QEHXDOJPVIHUDO-UHFFFAOYSA-N,GEZMEIHVFSWOCA-UHFFFAOYSA-N,HFHFGHLXUCOHLN-UHFFFAOYSA-N,LVICICZQETYOGS-UHFFFAOYSA-N,DTXSID5020152,DTXSID10196241,DTXSID4075409,DTXSID0047745,DTXSID40172558,1.1,1.31,1.36,1.71,1.12,1.37,1.32,1.31,1.41,1.43,0.8394,0.888896306431823,3.10809981481481,1.82445113475,2.40894176271876,0.40988,0.875,0,10.25,0
DTXSID8039241,1.48,1.47,[1.41:1.53],1,1,0.958,100-52-7,539-80-0,459-57-4,122-78-1,529-20-4,HUMNYLRZRPPJDN-UHFFFAOYSA-N,QVWDCTQRORVHHT-UHFFFAOYSA-N,UOQXIWFBQSVDPP-UHFFFAOYSA-N,DTUQWGWMVIHBKE-UHFFFAOYSA-N,BTFQKIATRPGRBS-UHFFFAOYSA-N,DTXSID8039241,DTXSID60202169,DTXSID0038756,DTXSID3021483,DTXSID1022051,1.48,0.26,1.54,1.78,2.26,1.39,1.77,1.79,1.77,1.7,1.46749,0.896249998341357,3.09937453703704,1.96735041857143,1.11022302462516e-14,0.32149,1.048,0,11.75,0
DTXSID6026664,NaN,2.3,[1.95:2.65],1,0.614,0.718,70-11-1,345-35-7,1805-32-9,532-27-4,15258-73-8,LIGACIXOYTUXAW-UHFFFAOYSA-N,MOBRMRJUKNQBMY-UHFFFAOYSA-N,FVJIUQSKXOYFKG-UHFFFAOYSA-N,IMACFCSSMIZSPP-UHFFFAOYSA-N,WKKHCCZLKYKUDN-UHFFFAOYSA-N,DTXSID2049426,DTXSID9059838,DTXSID70170966,DTXSID9020293,DTXSID30165075,2.19,2.67,2.74,1.84,2.02,2.42,2.98,2.2,2.12,2.6,1.7769,0.956388891737825,4.41445392318244,2.130863116875,-1.10316101099123,0.5404,1.271,0,10,0
DTXSID1026665,0.36,0.36,[0.36:0.39],1,1,0.942,100-54-9,100-70-9,100-48-1,4513-94-4,1620-75-3,GZPHSAQLYPIAIN-UHFFFAOYSA-N,FFNVQNRYTPFDDP-UHFFFAOYSA-N,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,BQMPGKPTOHKYHS-UHFFFAOYSA-N,CMADFEQMYFNYCF-UHFFFAOYSA-N,DTXSID1026665,DTXSID9021843,DTXSID9041528,DTXSID30196400,DTXSID60167284,0.36,0.45,0.46,1.13,0.84,0.55,0.52,0.8,0.33,1.05,1.01949,1.03218062540827,2.3450075462963,1.99247310333333,-4.33783192446665,0.27798,1.225,2,13.75,0
DTXSID9021841,1.66,1.66,[1.66:1.69],1,1,0.909,100-61-8,623-08-5,696-44-6,611-21-2,103-69-5,AFBPFSWMIHJQDM-UHFFFAOYSA-N,QCIFLGSATTWUQJ-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,DTXSID9021841,DTXSID6060763,DTXSID2061014,DTXSID4060600,DTXSID1025271,1.66,2.15,2.19,2.16,2.16,2.01,2.16,2.14,2.21,2.24,1.7283,1.43522111614727,4.06826537037037,1.76760157529412,-1.71118502549409,0.38638,0.864,1,11,0
DTXSID4021842,0.84,0.84,[0.7:0.98],1,1,0.795,100-64-1,1002-57-9,929-17-9,105-44-2,542-54-1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,UQXNEWQGGVUVQA-UHFFFAOYSA-N,XDOLZJYETYVRKV-UHFFFAOYSA-N,ZKALVNREMFLWAN-UHFFFAOYSA-N,DUJMVKJJUANUMQ-UHFFFAOYSA-N,DTXSID4021842,DTXSID00143007,DTXSID10239182,DTXSID6044771,DTXSID2060256,0.84,-2.55,-3.03,1.54,1.54,-0.36,-0.25,-1.69,-0.44,1.24,2.15129,0.581375483833243,2.62855189814815,1.63804268873684,3.93916825400531,0.7393,0.75,1,6,0
DTXSID0034857,4.28,4.28,[4.24:4.32],1,1,0.883,76578-14-8|100646-51-3,NOCAS_878385,NOCAS_875128,NOCAS_875218,119738-06-6,OSUHJPCHFDQAIT-UHFFFAOYSA-N,JQSUKFONXCOFOY-UHFFFAOYSA-N,QJYILTQZWOXFNJ-UHFFFAOYSA-N,JHJVXOWCJVJTIX-UHFFFAOYSA-N,BBKDWPHJZANJGB-UHFFFAOYSA-N,DTXSID9023889|DTXSID0034857,DTXSID80878385,DTXSID90875128,DTXSID80875218,DTXSID3058290,4.28,3.65,3.47,4.11,4.32,3.78,3.92,3.84,3.66,4.06,6.04656,1.21287215526818,7.15722538006533,1.86481407266667,-14.6250380974574,0.70598,2.436,2,36,0
DTXSID4041608,2.11,2.11,[2.11:2.14],1,1,0.896,100-66-3,321-28-8,578-58-5,100-84-5,104-93-8,RDOXTESZEPMUJZ-UHFFFAOYSA-N,JIXDOBAQOWOUPA-UHFFFAOYSA-N,DTFKRVXLBCAIOZ-UHFFFAOYSA-N,OSIGJGFTADMDOB-UHFFFAOYSA-N,CHLICZRVGGXEOD-UHFFFAOYSA-N,DTXSID4041608,DTXSID50185891,DTXSID9060368,DTXSID2051500,DTXSID9026710,2.11,2.14,2.74,2.66,2.66,2.53,2.45,2.74,2.72,2.72,2.19599,1.60959475981711,3.79448592592593,1.770027155,-3.10381489553123,0.37682,0.738,0,11,0
DTXSID1026667,1.54,1.54,[1.52:1.56],1,1,0.954,100-69-6,100-43-6,273-53-0,109-06-8,108-89-4,KGIGUEBEKRSTEW-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,BCMCBBGGLRIHSE-UHFFFAOYSA-N,BSKHPKMHTQYZBB-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,DTXSID1026667,DTXSID0051499,DTXSID8059768,DTXSID9021899,DTXSID4021892,1.54,1.36,1.59,1.11,1.22,1.39,1.28,0.98,1.31,1.29,1.94708,1.13261901761965,4.03620287037037,1.88014734466667,-4.28667028758665,0.32132,0.766,1,12,0
DTXSID0037495,1.15,1.15,[1.09:1.21],1,1,0.916,1007-28-9,37019-16-2,6190-65-4,60010-81-3,66753-06-8,IVENSCMCQBJAKW-UHFFFAOYSA-N,NNHOMQSKHVOGSK-UHFFFAOYSA-N,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,ZSHJCTQANTWDDG-UHFFFAOYSA-N,NUISVCFZNCYUIM-UHFFFAOYSA-N,DTXSID0037495,DTXSID50878978,DTXSID5037494,DTXSID50878938,DTXSID60216887,1.15,1.86,1.51,-1.02,2.07,1.43,1.63,1.81,0.95,1.69,1.34938,0.289715965391377,1.76667441784944,1.61740202368421,-21.3996532381368,0.50713,2.222,5,15.5,0
