MoleculeID,LogBCF_exp,LogBCF_pred,BCF_predRange,AD_BCF,AD_index_BCF,Conf_index_BCF,LogBCF_CAS_neighbor_1,LogBCF_CAS_neighbor_2,LogBCF_CAS_neighbor_3,LogBCF_CAS_neighbor_4,LogBCF_CAS_neighbor_5,LogBCF_InChiKey_neighbor_1,LogBCF_InChiKey_neighbor_2,LogBCF_InChiKey_neighbor_3,LogBCF_InChiKey_neighbor_4,LogBCF_InChiKey_neighbor_5,LogBCF_DTXSID_neighbor_1,LogBCF_DTXSID_neighbor_2,LogBCF_DTXSID_neighbor_3,LogBCF_DTXSID_neighbor_4,LogBCF_DTXSID_neighbor_5,LogBCF_Exp_neighbor_1,LogBCF_Exp_neighbor_2,LogBCF_Exp_neighbor_3,LogBCF_Exp_neighbor_4,LogBCF_Exp_neighbor_5,LogBCF_pred_neighbor_1,LogBCF_pred_neighbor_2,LogBCF_pred_neighbor_3,LogBCF_pred_neighbor_4,LogBCF_pred_neighbor_5,XLogP,CrippenLogP,nHBAcc,minsCl,LipinskiFailures,ALogP,naasC,nAcid,ATSC0v,ATSC1s
DTXSID5020281,1.3,1.3,[1.24:1.36],1,1,0.848,100-00-5,121-73-3,88-73-3,106-46-7,541-73-1,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,OCJBOOLMMGQPQU-UHFFFAOYSA-N,ZPQOPVIELGIULI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID1020431,DTXSID6022056,1.3,1.89,1.17,2.62,2.33,2.01,1.55,1.86,2.24,2.39,2.779,2.66909,0,0.776433610481229,0,1.4044,2,0,597.353429021191,0.663727219282774
DTXSID8020961,0.6,0.54,[0.48:0.6],1,1,0.95,99-09-2,100-01-6,767-00-0,88-74-4,96-96-8,XJCVRTZCHMZPBD-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,CVNOWLNNPYYEOH-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,DTXSID6025725,DTXSID8020961,DTXSID9052509,DTXSID1025726,DTXSID3044750,0.48,0.6,0.91,1,0.85,0.6,0.48,0.61,0.78,0.71,1.653,1.59789,1,0,0,-0.0897999999999999,2,0,689.112812762409,-5.55555555555556
DTXSID0021834,0.71,1.06,[0.72:1.4],1,1,0.783,100-02-7,554-84-7,88-75-5,95-48-7,106-41-2,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,IQUPABOKLQSFBK-UHFFFAOYSA-N,QWVGKYWNOKOFNN-UHFFFAOYSA-N,GZFGOTFRPZRKDS-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID1021790,DTXSID8021808,DTXSID3051543,0.71,1.4,1.34,1.03,1.17,1.4,0.71,1.09,1.2,1.19,1.72,1.72129,0,0,0,0.1998,2,0,618.610961057661,-6.81481481481481
DTXSID3032622,NaN,0.16,[-0.17:0.49],1,0.57,0.685,68-12-2,123-91-1,110-91-8,96-45-7,110-85-0,ZMXDDKWLCZADIW-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,YNAVUWVOSKDBBP-UHFFFAOYSA-N,PDQAZBWRQCGBEV-UHFFFAOYSA-N,GLUUGHFHXGJENI-UHFFFAOYSA-N,DTXSID6020515,DTXSID4020533,DTXSID2025688,DTXSID5020601,DTXSID1021164,-0.1,-0.3,0.45,0.26,0.59,0.26,0.35,0.2,0.34,0.24,0.00799999999999995,-0.30052,1,0,0,-0.4351,0,0,517.979793784504,-2.21296296296296
DTXSID2044347,NaN,0.88,[0.71:1],1,0.686,0.788,156-43-4,120-71-8,696-44-6,611-21-2,100-61-8,IMPPGHMHELILKG-UHFFFAOYSA-N,WXWCDTXEKCVRRO-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID0025864,DTXSID1020350,DTXSID2061014,DTXSID4060600,DTXSID9021841,1,0.55,0.86,0.95,1,0.6,0.79,0.93,0.81,1.1,1.854,1.86619,1,0,0,-0.3057,2,0,1073.83278831114,-2.16269841269841
DTXSID9059204,NaN,1.11,[0.86:1.47],1,0.508,0.641,89-63-4,611-21-2,696-44-6,121-69-7,100-43-6,PBGKNXWGYQPUJK-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,DTXSID4030384,DTXSID4060600,DTXSID2061014,DTXSID2020507,DTXSID0051499,1.04,0.95,0.86,0.9,1.86,0.82,0.81,0.93,1.16,0.79,2.25,2.04259,1,0.404267290249433,0,0.3103,2,0,914.858760683379,-1.89729080932785
DTXSID4059205,NaN,0.61,[0.4:0.82],1,0.53,0.729,121-92-6,10541-83-0,1779-48-2,75-98-9,92-70-6,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,ZVIDMSBTYRSMAR-UHFFFAOYSA-N,MLCHBQKMVKNBOV-UHFFFAOYSA-N,IUGYQRQAERSCNH-UHFFFAOYSA-N,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,DTXSID0025737,DTXSID8065117,DTXSID0027436,DTXSID8026432,DTXSID3026560,0.85,0.38,0.78,0.36,0.6,0.6,0.64,0.59,0.67,0.55,1.589,1.36179,2,0,0,-0.2916,2,1,907.245099634937,-7.66520467836257
DTXSID80889259,NaN,0.68,[0.54:0.81],1,0.454,0.699,479-27-6,504-03-0,1477-55-0,2243-62-1,108-45-2,YFOOEYJGMMJJLS-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,FDLQZKYLHJJBHD-UHFFFAOYSA-N,KQSABULTKYLFEV-UHFFFAOYSA-N,WZCQRUWWHSTZEM-UHFFFAOYSA-N,DTXSID6044432,DTXSID8048527,DTXSID9029649,DTXSID3020916,DTXSID4021137,0.8,0.7,0.43,0.65,0.81,0.38,0.91,0.73,1.09,1.15,1.499,1.2748,2,0,0,-2.3604,0,0,1316.84729507361,-6.49920729290527
DTXSID7030698,NaN,0.35,[0.22:0.48],0,0.048,0.612,5460-09-3,134-47-4,839-90-7,3089-11-0,135-51-3,APRRQJCCBSJQOQ-UHFFFAOYSA-N,PCGISRHGYLRXSR-UHFFFAOYSA-N,BPXVHIRIPLPOPT-UHFFFAOYSA-N,BNCADMBVWNPPIZ-UHFFFAOYSA-N,USWINTIHFQKJTR-UHFFFAOYSA-N,DTXSID4027600,DTXSID7059642,DTXSID4026266,DTXSID9027520,DTXSID8044543,0.46,0.26,0.2,0.54,0.3,0.42,0.48,0.17,0.65,0.48,-11.796,-13.0548,30,0,2,-10.4814,0,0,5346.70515726639,-102.481481481482
DTXSID2026652,3.24,3.24,[3.1:3.38],1,1,0.924,99-62-7,100-18-5,577-55-9,2531-84-2,101-81-5,UNEATYXSUBPPKP-UHFFFAOYSA-N,SPPWGCYEYAMHDT-UHFFFAOYSA-N,OKIRBHVFJGXOIS-UHFFFAOYSA-N,KANLOADZXMMCQA-UHFFFAOYSA-N,CZZYITDELCSZES-UHFFFAOYSA-N,DTXSID8026640,DTXSID2026652,DTXSID30860336,DTXSID1025649,DTXSID1041891,3.28,3.24,2.14,3.48,2.94,3.21,3.24,3.24,3.27,2.85,6.862,3.9334,0,0,1,1.1458,2,0,1620.9173767624,-1.77777777777778
DTXSID6026080,NaN,0.7,[0.54:0.81],0,0.509,0.744,603-11-2,100-26-5,1141-38-4,526-78-3,88-98-2,KFIRODWJCYBBHY-UHFFFAOYSA-N,LVPMIMZXDYBCDF-UHFFFAOYSA-N,RXOHFPCZGPKIRD-UHFFFAOYSA-N,FJWGRXKOBIVTFA-UHFFFAOYSA-N,ILUAAIDVFMVTAU-UHFFFAOYSA-N,DTXSID9060528,DTXSID3059210,DTXSID5029211,DTXSID00862120,DTXSID80861676,0.72,0.76,0.81,0.81,0.3,0.66,0.62,0.6,0.47,0.53,1.27,1.05139,4,0,0,-0.4796,2,2,772.844870807366,-16.9382716049383
DTXSID0021836,NaN,0.77,[0.75:0.79],1,0.998,0.922,99-65-0,88-72-2,99-08-1,99-99-0,98-95-3,WDCYWAQPCXBPJA-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,DTXSID9024065,DTXSID4025791,DTXSID5021831,DTXSID5023792,DTXSID3020964,0.77,1.26,1.08,0.9,0.67,1.05,0.95,0.9,1.08,0.98,2.57,1.78289,0,0,0,1.3202,2,0,542.046452753429,1.27777777777778
DTXSID80883636,NaN,0.47,[0.25:0.74],1,0.553,0.673,2814-20-2,10315-98-7,2122-19-2,314-40-9,123-63-7,JSAKSKHTLVSNQJ-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,NGZJXCFNBVJLQN-UHFFFAOYSA-N,OSOBMCTWSONQHC-UHFFFAOYSA-N,SQYNKIJPMDEDEG-UHFFFAOYSA-N,DTXSID1027502,DTXSID30145675,DTXSID3052694,DTXSID4022020,DTXSID9023419,0.26,0.25,1,0.51,0.48,0.61,0.98,0.16,0.41,0.44,0.063,0.6859,3,0,0,0.0390999999999999,0,0,1151.66003684326,-0.155325443786981
DTXSID30893604,NaN,1.32,[0.58:2.06],1,0.303,0.433,119168-77-3,91-96-3,5124-25-4,52918-63-5,85-68-7,ZZYSLNWGKKDOML-UHFFFAOYSA-N,CRRLDLPBQWRVGN-UHFFFAOYSA-N,BBFRYSKTTHYWQZ-UHFFFAOYSA-N,OWZREIFADZCYQD-UHFFFAOYSA-N,IRIAEXORFWYRCZ-UHFFFAOYSA-N,DTXSID0034223,DTXSID5059034,DTXSID8052148,DTXSID8020381,DTXSID3020205,1.15,0.2,1.61,2.51,1.21,2.62,1.36,1.54,2.63,1.98,5.41,5.8132,5,0,1,1.13,7,0,2723.31874838893,-6.80582541655682
DTXSID90143117,NaN,0.49,[0.3:0.68],1,0.536,0.719,623-26-7,626-17-5,91-15-6,94-52-0,462-08-8,BHXFKXOIODIUJO-UHFFFAOYSA-N,LAQPNDIUHRHNCV-UHFFFAOYSA-N,XQZYPMVTSDWCCE-UHFFFAOYSA-N,XPAZGLFMMUODDK-UHFFFAOYSA-N,CUYKNJBYIJFRCU-UHFFFAOYSA-N,DTXSID1060768,DTXSID7027259,DTXSID8029604,DTXSID8020965,DTXSID9047461,0.3,0.75,0.7,0.4,0.32,0.7,0.51,0.58,0.79,0.66,0.32,0.69522,2,0,0,0.3201,2,0,505.165543388109,0.787037037037037
DTXSID7057606,NaN,0.53,[0.07:0.99],1,0.604,0.63,2122-19-2,10315-98-7,479-27-6,3296-90-0,123-91-1,NGZJXCFNBVJLQN-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,CHUGKEQJSLOLHL-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,DTXSID3052694,DTXSID30145675,DTXSID6044432,DTXSID9020164,DTXSID4020533,1,0.25,0.8,0.68,-0.3,0.16,0.98,0.38,0.39,0.35,0.133,0.2869,2,0,0,-0.00809999999999965,0,0,1046.86890057883,-2.52777777777778
DTXSID5021837,NaN,0.63,[0.33:0.93],1,0.606,0.675,2122-19-2,10315-98-7,3296-90-0,479-27-6,96-45-7,NGZJXCFNBVJLQN-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,CHUGKEQJSLOLHL-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,PDQAZBWRQCGBEV-UHFFFAOYSA-N,DTXSID3052694,DTXSID30145675,DTXSID9020164,DTXSID6044432,DTXSID5020601,1,0.25,0.68,0.8,0.26,0.16,0.98,0.39,0.38,0.34,0.2,0.3205,2,0,0,0.2815,0,0,1016.36967988618,-3.19990548204159
DTXSID10143255,NaN,0.33,[0.06:0.6],0,0.106,0.538,839-90-7,1634-78-2,3089-11-0,78-51-3,115-77-5,BPXVHIRIPLPOPT-UHFFFAOYSA-N,WSORODGWGUUOBO-UHFFFAOYSA-N,BNCADMBVWNPPIZ-UHFFFAOYSA-N,WTLBZVNBAKMVDP-UHFFFAOYSA-N,WXZMFSXDPGVJKK-UHFFFAOYSA-N,DTXSID4026266,DTXSID9020790,DTXSID9027520,DTXSID5021758,DTXSID2026943,0.2,0.05,0.54,0.76,0.1,0.17,0.91,0.65,1.16,0.16,-5.632,-5.47811,11,0,3,-4.8147,0,0,1870.55775877951,-48.3339643347051
DTXSID3021437,2.22,2.22,[2.18:2.26],1,1,0.944,100-40-3,16219-75-3,90-12-0,79-92-5,108-86-1,BBDKZWKEPDTENS-UHFFFAOYSA-N,OJOWICOBYCXEKR-UHFFFAOYSA-N,QPUYECUOLPXSFR-UHFFFAOYSA-N,CRPUJAZIXJMDBK-UHFFFAOYSA-N,QARVLSVVCXYDNA-UHFFFAOYSA-N,DTXSID3021437,DTXSID1025306,DTXSID9020877,DTXSID8026488,DTXSID5024637,2.22,2.04,1.73,2.98,1.36,2.06,2.14,2.41,2.17,0.99,3.605,2.38108,0,0,0,1.4428,0,0,1080.61158450827,-0.379166666666666
DTXSID3020596,NaN,1.27,[0.92:1.71],1,0.657,0.733,100-42-5,108-88-3,108-87-2,95-47-6,106-42-3,PPBRXRYQALVLMV-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,UAEPNZWRGJTJPN-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,DTXSID2021284,DTXSID7021360,DTXSID0047749,DTXSID3021807,DTXSID2021868,1.13,0.92,2.27,1.15,1.17,1.12,1.19,1.98,1.15,1.17,4.954,2.249,0,0,0,0.3069,1,0,1000.5662819521,-0.137345679012346
DTXSID20143261,NaN,0.73,[0.4:1.06],1,0.574,0.673,2655-14-3,95-64-7,95-78-3,3811-49-2,120-71-8,CVQODEWAPZVVBU-UHFFFAOYSA-N,DOLQYFPDPKPQSS-UHFFFAOYSA-N,VOWZNBNDMFLQGM-UHFFFAOYSA-N,OUNSASXJZHBGAI-UHFFFAOYSA-N,WXWCDTXEKCVRRO-UHFFFAOYSA-N,DTXSID7058042,DTXSID3026308,DTXSID3026306,DTXSID7041885,DTXSID1020350,0.4,0.95,0.58,1.31,0.55,1.23,0.66,0.85,1.42,0.79,2.515,1.44791,2,0,0,0.4446,3,0,1196.55653818388,-4.55555555555556
DTXSID2021284,1.13,1.13,[1.12:1.14],1,1,0.993,100-42-5,108-88-3,106-42-3,108-38-3,95-47-6,PPBRXRYQALVLMV-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,DTXSID2021284,DTXSID7021360,DTXSID2021868,DTXSID6026298,DTXSID3021807,1.13,0.92,1.17,1.17,1.15,1.12,1.19,1.17,1.17,1.15,4.954,2.14689,0,0,0,0.7075,1,0,900.50965375689,-1.38888888888889
DTXSID9029302,NaN,1.89,[1.16:2.62],1,0.595,0.555,103-44-6,102-82-9,142-96-1,86-74-8,1502-22-3,DSSAWHFZNWVJEC-UHFFFAOYSA-N,IMFACGCPASFAPR-UHFFFAOYSA-N,DURPTKYDGMDSBL-UHFFFAOYSA-N,UJOBWOGCFQCDNV-UHFFFAOYSA-N,GVNVAWHJIKLAGL-UHFFFAOYSA-N,DTXSID20870444,DTXSID4026183,DTXSID1022007,DTXSID4020248,DTXSID30870879,2.78,1.4,1.86,2.23,0.7,1.93,1.44,1.47,2.34,1.99,3.993,2.9753,1,0,0,-1.293,0,0,1566.91992198258,-2.49413325170901
DTXSID0051499,1.86,1.86,[1.8:1.86],1,1,0.814,100-43-6,121-69-7,149-30-4,95-16-9,100-61-8,KFDVPJUYSDEJTH-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,IOJUPLGTWVMSFF-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID0051499,DTXSID2020507,DTXSID1020807,DTXSID7024586,DTXSID9021841,1.86,0.9,0.9,0.88,1,0.79,1.16,1.1,0.87,1.1,2.292,1.54189,1,0,0,0.7075,1,0,793.878294828653,-1.17037037037037
DTXSID0020153,NaN,1.83,[1.4:2.26],1,0.593,0.652,108-90-7,106-43-4,95-49-8,95-50-1,541-73-1,MVPPADPHJFYWMZ-UHFFFAOYSA-N,NPDACUSDTOMAMK-UHFFFAOYSA-N,IBSQPLPBRSHTTG-UHFFFAOYSA-N,RFFLAFLAYFXFSW-UHFFFAOYSA-N,ZPQOPVIELGIULI-UHFFFAOYSA-N,DTXSID4020298,DTXSID8024814,DTXSID8023977,DTXSID6020430,DTXSID6022056,1.25,1.76,1.82,2.43,2.33,2.18,2.01,1.99,2.3,2.39,3.883,2.0859,0,1.11912208504801,0,0.7559,1,0,869.922859516152,0.267832647462277
DTXSID5021839,NaN,0.71,[0.46:0.96],1,0.624,0.738,618-36-0,100-61-8,89-93-0,504-03-0,62-53-3,RQEUFEKYXDPUSK-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,CJAAPVQEZPAQNI-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,DTXSID40862301,DTXSID9021841,DTXSID3059000,DTXSID8048527,DTXSID8020090,0.82,1,0.66,0.7,0.21,0.93,1.1,0.94,0.91,0.87,2.342,0.8058,1,0,0,-0.7383,1,0,897.699373310685,-2.98856209150327
DTXSID7021491,NaN,1.16,[0.88:1.53],1,0.607,0.67,100-61-8,100-43-6,121-69-7,95-16-9,103-69-5,AFBPFSWMIHJQDM-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,IOJUPLGTWVMSFF-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,DTXSID9021841,DTXSID0051499,DTXSID2020507,DTXSID7024586,DTXSID1025271,1,1.86,0.9,0.88,1.11,1.1,0.79,1.16,0.87,0.97,2.777,1.62449,1,0,0,0.0347,1,0,658.11226912138,1.82264957264957
DTXSID9041528,NaN,0.39,[0.03:0.75],1,0.587,0.685,623-26-7,94-52-0,626-17-5,91-15-6,123-91-1,BHXFKXOIODIUJO-UHFFFAOYSA-N,XPAZGLFMMUODDK-UHFFFAOYSA-N,LAQPNDIUHRHNCV-UHFFFAOYSA-N,XQZYPMVTSDWCCE-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,DTXSID1060768,DTXSID8020965,DTXSID7027259,DTXSID8029604,DTXSID4020533,0.3,0.4,0.75,0.7,-0.3,0.7,0.79,0.51,0.58,0.35,0.748,1.01949,2,0,0,0.0347,1,0,542.042184819593,1.75231481481482
DTXSID1026661,NaN,1.04,[0.43:1.65],1,0.633,0.594,95-16-9,121-44-8,1631-58-9,1634-04-4,100-43-6,IOJUPLGTWVMSFF-UHFFFAOYSA-N,ZMANZCXQSJIPKH-UHFFFAOYSA-N,DSOOGBGKEWZRIH-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,DTXSID7024586,DTXSID3024366,DTXSID0075104,DTXSID3020833,DTXSID0051499,0.88,0.69,1.72,0.18,1.86,0.87,1.09,0.86,1.08,0.79,1.731,1.70168,1,0,0,0.7043,0,0,935.251792451302,1.99537037037037
DTXSID5020152,NaN,0.8,[0.61:0.99],1,0.625,0.779,618-36-0,89-93-0,88-74-4,100-61-8,99-09-2,RQEUFEKYXDPUSK-UHFFFAOYSA-N,CJAAPVQEZPAQNI-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DTXSID40862301,DTXSID3059000,DTXSID1025726,DTXSID9021841,DTXSID6025725,0.82,0.66,1,1,0.48,0.93,0.94,0.78,1.1,0.6,2.409,0.8394,1,0,0,-0.4487,1,0,844.74087223035,-4.27951388888889
DTXSID8039241,NaN,1.1,[0.7:1.5],1,0.635,0.665,100-61-8,121-69-7,103-69-5,100-43-6,91-22-5,AFBPFSWMIHJQDM-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,SMWDFEZZVXVKRB-UHFFFAOYSA-N,DTXSID9021841,DTXSID2020507,DTXSID1025271,DTXSID0051499,DTXSID1021798,1,0.9,1.11,1.86,0.58,1.1,1.16,0.97,0.79,1.2,3.08,1.46749,1,0,0,-0.1924,1,0,728.369689089127,-0.0634920634920633
DTXSID6026664,NaN,1.32,[0.92:1.8],1,0.657,0.707,108-88-3,108-86-1,612-22-6,100-42-5,77-73-6,YXFVVABEGXRONW-UHFFFAOYSA-N,QARVLSVVCXYDNA-UHFFFAOYSA-N,PXWYZLWEKCMTEZ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,HECLRDQVFMWTQS-UHFFFAOYSA-N,DTXSID7021360,DTXSID5024637,DTXSID4073209,DTXSID2021284,DTXSID5025023,0.92,1.36,1.11,1.13,2.34,1.19,0.99,1.32,1.12,2.48,3.79,1.7769,0,0,0,0.5226,1,0,972.160945280425,0.54692262993446
DTXSID1026665,NaN,0.39,[0.03:0.75],1,0.587,0.685,623-26-7,94-52-0,626-17-5,91-15-6,123-91-1,BHXFKXOIODIUJO-UHFFFAOYSA-N,XPAZGLFMMUODDK-UHFFFAOYSA-N,LAQPNDIUHRHNCV-UHFFFAOYSA-N,XQZYPMVTSDWCCE-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,DTXSID1060768,DTXSID8020965,DTXSID7027259,DTXSID8029604,DTXSID4020533,0.3,0.4,0.75,0.7,-0.3,0.7,0.79,0.51,0.58,0.35,0.748,1.01949,2,0,0,0.0347,1,0,542.042184819593,1.75231481481482
DTXSID9021841,1,1,[0.97:1.03],1,1,0.962,100-61-8,103-69-5,121-69-7,100-43-6,696-44-6,AFBPFSWMIHJQDM-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,DTXSID9021841,DTXSID1025271,DTXSID2020507,DTXSID0051499,DTXSID2061014,1,1.11,0.9,1.86,0.86,1.1,0.97,1.16,0.79,0.93,2.367,1.7283,1,0,0,-0.3181,1,0,897.699373310685,-0.493464052287582
DTXSID4021842,NaN,0.74,[0.65:0.86],1,0.499,0.768,96-29-7,626-67-5,110-00-9,504-03-0,100-61-8,WHIVNJATOVLWBW-UHFFFAOYSA-N,PAMIQIKDUOTOBW-UHFFFAOYSA-N,YLQBMQCUIZJEEH-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID1021821,DTXSID8060822,DTXSID6020646,DTXSID8048527,DTXSID9021841,0.7,0.65,0.7,0.7,1,0.78,0.76,0.8,0.91,1.1,1.163,2.15129,0,0,0,-1.0163,0,0,907.252284360943,4.52777777777777
DTXSID0034857,NaN,2.28,[1.59:2.97],1,0.393,0.512,19666-30-9,15972-60-8,510-15-6,35367-38-5,101-14-4,CHNUNORXWHYHNE-UHFFFAOYSA-N,XCSGPAVHZFQHGE-UHFFFAOYSA-N,RAPBNVDSDCTNRC-UHFFFAOYSA-N,QQQYTWIFVNKMRW-UHFFFAOYSA-N,IBOFVQJTBBUKMU-UHFFFAOYSA-N,DTXSID3024239,DTXSID1022265,DTXSID9020299,DTXSID1024049,DTXSID5020865,3.08,1.12,2.68,2.2,2.24,2.73,2.16,2.04,2.4,2.22,4.498,6.04656,4,0.795548609248021,0,0.5919,4,0,2107.30039833766,-4.47194051266934
DTXSID4041608,NaN,0.9,[0.67:1.16],1,0.637,0.741,98-95-3,91-23-6,100-17-4,555-03-3,108-86-1,LQNUZADURLCDLV-UHFFFAOYSA-N,CFBYEGUGFPZCNF-UHFFFAOYSA-N,BNUHAJGCKIQFGE-UHFFFAOYSA-N,WGYFINWERLNPHR-UHFFFAOYSA-N,QARVLSVVCXYDNA-UHFFFAOYSA-N,DTXSID3020964,DTXSID3020962,DTXSID9059208,DTXSID3060295,DTXSID5024637,0.67,0.7,1.08,0.78,1.36,0.98,0.94,0.78,1.07,0.99,2.563,2.19599,0,0,0,-0.0518000000000002,1,0,844.74087223035,-0.144097222222223
DTXSID1026667,NaN,1.25,[0.88:1.7],1,0.724,0.67,100-43-6,149-30-4,95-16-9,121-69-7,100-61-8,KFDVPJUYSDEJTH-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,IOJUPLGTWVMSFF-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID0051499,DTXSID1020807,DTXSID7024586,DTXSID2020507,DTXSID9021841,1.86,0.9,0.88,0.9,1,0.79,1.1,0.87,1.16,1.1,2.258,1.94708,1,0,0,0.7075,1,0,793.878294828653,-1.5037037037037
DTXSID0037495,NaN,1.01,[0.4:1.71],1,0.41,0.492,122-34-9,1912-24-9,10605-21-7,36734-19-7,330-54-1,ODCWYMIRDDJXKW-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,TWFZGCMQGLPBSX-UHFFFAOYSA-N,ONUFESLQCSAYKA-UHFFFAOYSA-N,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,DTXSID4021268,DTXSID9020112,DTXSID4024729,DTXSID3024154,DTXSID0020446,0.56,0.9,0.4,2.53,1.15,1.31,0.99,0.34,0.94,1.75,0.262,1.34938,5,0.621523053665911,0,-0.518,3,0,851.262215227433,-5.26288715616201
DTXSID5025312,NaN,0.4,[-0.05:0.85],1,0.634,0.643,2122-19-2,10315-98-7,123-91-1,96-45-7,110-91-8,NGZJXCFNBVJLQN-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,PDQAZBWRQCGBEV-UHFFFAOYSA-N,YNAVUWVOSKDBBP-UHFFFAOYSA-N,DTXSID3052694,DTXSID30145675,DTXSID4020533,DTXSID5020601,DTXSID2025688,1,0.25,-0.3,0.26,0.45,0.16,0.98,0.35,0.34,0.2,0.086,0.3385,2,0,0,0.258200000000001,0,0,967.007048577145,4.85722573273506e-16
