MoleculeID,LogBCF_exp,LogBCF_pred,BCF_predRange,AD_BCF,AD_index_BCF,Conf_index_BCF,LogBCF_CAS_neighbor_1,LogBCF_CAS_neighbor_2,LogBCF_CAS_neighbor_3,LogBCF_CAS_neighbor_4,LogBCF_CAS_neighbor_5,LogBCF_InChiKey_neighbor_1,LogBCF_InChiKey_neighbor_2,LogBCF_InChiKey_neighbor_3,LogBCF_InChiKey_neighbor_4,LogBCF_InChiKey_neighbor_5,LogBCF_DTXSID_neighbor_1,LogBCF_DTXSID_neighbor_2,LogBCF_DTXSID_neighbor_3,LogBCF_DTXSID_neighbor_4,LogBCF_DTXSID_neighbor_5,LogBCF_Exp_neighbor_1,LogBCF_Exp_neighbor_2,LogBCF_Exp_neighbor_3,LogBCF_Exp_neighbor_4,LogBCF_Exp_neighbor_5,LogBCF_pred_neighbor_1,LogBCF_pred_neighbor_2,LogBCF_pred_neighbor_3,LogBCF_pred_neighbor_4,LogBCF_pred_neighbor_5,XLogP,CrippenLogP,nHBAcc,minsCl,LipinskiFailures,ALogP,naasC,nAcid,ATSC0v,ATSC1s
DTXSID6044725,NaN,0.6,[0.3:0.9],1,0.539,0.682,2814-20-2,479-27-6,462-08-8,504-24-5,504-29-0,JSAKSKHTLVSNQJ-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,CUYKNJBYIJFRCU-UHFFFAOYSA-N,NUKYPUAOHBNCPY-UHFFFAOYSA-N,ICSNLGPSRYBMBD-UHFFFAOYSA-N,DTXSID1027502,DTXSID6044432,DTXSID9047461,DTXSID0023870,DTXSID0024505,0.26,0.8,0.32,0.66,1.06,0.61,0.38,0.66,0.32,0.57,0.554,0.55589,3,0,0,-1.2663,0,0,944.445298806551,-4.49628369866465
DTXSID4027650,NaN,0.79,[0.28:1.3],1,0.517,0.596,121-44-8,1631-58-9,626-67-5,1634-04-4,504-03-0,ZMANZCXQSJIPKH-UHFFFAOYSA-N,DSOOGBGKEWZRIH-UHFFFAOYSA-N,PAMIQIKDUOTOBW-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,DTXSID3024366,DTXSID0075104,DTXSID8060822,DTXSID3020833,DTXSID8048527,0.69,1.72,0.65,0.18,0.7,1.09,0.86,0.76,1.08,0.91,1.102,1.28718,0,0,0,0.198899999999999,0,0,1224.8896202999,-2.1944
DTXSID9024304,NaN,1.28,[0.68:1.88],1,0.383,0.515,120-54-7,102-82-9,135-88-6,1502-22-3,1212-29-9,VNDRMZTXEFFQDR-UHFFFAOYSA-N,IMFACGCPASFAPR-UHFFFAOYSA-N,KEQFTVQCIQJIQW-UHFFFAOYSA-N,GVNVAWHJIKLAGL-UHFFFAOYSA-N,KAJICSGLHKRDLN-UHFFFAOYSA-N,DTXSID0044789,DTXSID4026183,DTXSID4021131,DTXSID30870879,DTXSID9020451,1.23,1.4,2.37,0.7,0.64,1.91,1.44,2.16,1.99,1.18,3.069,4.10899,2,0,0,0.182100000000002,0,0,2632.62665499007,2.12520508889427
DTXSID7058175,NaN,2.28,[1.62:2.94],1,0.429,0.52,92-84-2,88-85-7,90-41-5,97-23-4,1582-09-8,WJFKNYWRSNBZNX-UHFFFAOYSA-N,OWZPCEFYPSAJFR-UHFFFAOYSA-N,TWBPWBPGNQWFSJ-UHFFFAOYSA-N,MDNWOSOZYLHTCG-UHFFFAOYSA-N,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,DTXSID5021126,DTXSID3020207,DTXSID3030189,DTXSID6021824,DTXSID4021395,2.55,1.79,1.41,2.28,3.36,1.9,1.6,2.08,2.42,2.16,4.706,4.54438,1,0.380008555891492,0,0.5004,5,0,1225.69043098512,-5.28357219124774
DTXSID9024772,NaN,0.6,[0.26:0.94],1,0.576,0.68,118-91-2,51-44-5,50-30-6,127-20-8,76-03-9,IKCLCGXPQILATA-UHFFFAOYSA-N,VPHHJAOJUJHJKD-UHFFFAOYSA-N,MRUDNSFOFOQZDA-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,YNJBWRMUSHSURL-UHFFFAOYSA-N,DTXSID4024771,DTXSID9024980,DTXSID0024979,DTXSID5024001,DTXSID1021378,1,0.36,0.26,0.86,0.23,0.42,0.51,0.56,0.42,0.65,2.129,2.00659,2,0.806101033005795,0,0.5045,2,1,717.60897509805,-6.98353909465021
DTXSID9023881,NaN,2.94,[1.87:3.79],1,0.324,0.388,782-74-1,119168-77-3,115-32-2,21609-90-5,35367-38-5,IWKMQNKKYZERHI-UHFFFAOYSA-N,ZZYSLNWGKKDOML-UHFFFAOYSA-N,UOAMTSKGCBMZTC-UHFFFAOYSA-N,CVRALZAYCYJELZ-UHFFFAOYSA-N,QQQYTWIFVNKMRW-UHFFFAOYSA-N,DTXSID3061138,DTXSID0034223,DTXSID4020450,DTXSID3040279,DTXSID1024049,3.66,1.15,3.79,3.78,2.2,3.63,2.62,3.87,3.74,2.4,5.384,4.81458,4,0.762686300765171,1,1.4886,6,0,1244.55781528846,1.68359104043996
DTXSID10225080,NaN,0.47,[0.28:0.65],1,0.375,0.694,111-40-0,111-41-1,102-71-6,61-82-5,111-94-4,RPNUMPOLZDHAAY-UHFFFAOYSA-N,LHIJANUOQQMGNT-UHFFFAOYSA-N,GSEJCLTVZPLZKY-UHFFFAOYSA-N,KLSJWNVTNUYHDU-UHFFFAOYSA-N,SBAJRGRUGUQKAF-UHFFFAOYSA-N,DTXSID2025050,DTXSID7025423,DTXSID9021392,DTXSID0020076,DTXSID2041464,0.65,0.46,0.59,0.49,0.08,0.52,0.62,0.24,0.52,0.17,-2.168,-1.95881,5,0,0,-0.917700000000001,0,0,966.060335680752,0.206607495069031
DTXSID9032329,NaN,0.69,[0.01:1.37],1,0.332,0.496,2497-06-5,26087-47-8,962-58-3,3761-42-0,333-41-5,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,FCOAHACKGGIURQ-UHFFFAOYSA-N,VBLJFQYCTRKKKF-UHFFFAOYSA-N,ZDHYERRNXRANLI-UHFFFAOYSA-N,FHIVAFMUCKRCQO-UHFFFAOYSA-N,DTXSID8041901,DTXSID7058040,DTXSID5037523,DTXSID6041975,DTXSID9020407,0.7,0.94,-0.35,0.51,1.85,0.22,0.84,0.69,0.17,1.43,4.964,3.95709,5,0,0,0.549699999999999,1,0,2662.17227039229,-23.0995753436652
DTXSID0034936,NaN,0.54,[-0.35:1.53],0,0.232,0.339,962-58-3,3761-42-0,91-96-3,36734-19-7,1634-78-2,VBLJFQYCTRKKKF-UHFFFAOYSA-N,ZDHYERRNXRANLI-UHFFFAOYSA-N,CRRLDLPBQWRVGN-UHFFFAOYSA-N,ONUFESLQCSAYKA-UHFFFAOYSA-N,WSORODGWGUUOBO-UHFFFAOYSA-N,DTXSID5037523,DTXSID6041975,DTXSID5059034,DTXSID3024154,DTXSID9020790,-0.35,0.51,0.2,2.53,0.05,0.69,0.17,1.36,0.94,0.91,2.917,2.26992,9,0,0,-0.1627,5,0,1900.44125799821,-23.0116092142554
DTXSID6023864,NaN,0.19,[-0.15:0.53],0,0.209,0.527,962-58-3,839-90-7,108-78-1,3761-42-0,1634-78-2,VBLJFQYCTRKKKF-UHFFFAOYSA-N,BPXVHIRIPLPOPT-UHFFFAOYSA-N,JDSHMPZPIAZGSV-UHFFFAOYSA-N,ZDHYERRNXRANLI-UHFFFAOYSA-N,WSORODGWGUUOBO-UHFFFAOYSA-N,DTXSID5037523,DTXSID4026266,DTXSID6020802,DTXSID6041975,DTXSID9020790,-0.35,0.2,0.58,0.51,0.05,0.69,0.17,0.36,0.17,0.91,2.04,1.59079,10,0,0,-1.0422,5,0,1792.00110672636,-24.2814662217685
