MoleculeID,CACO2_exp,CACO2_pred,CACO2_predRange,AD_CACO2,AD_index_CACO2,Conf_index_CACO2,CACO2_CAS_neighbor_1,CACO2_CAS_neighbor_2,CACO2_CAS_neighbor_3,CACO2_CAS_neighbor_4,CACO2_CAS_neighbor_5,CACO2_InChiKey_neighbor_1,CACO2_InChiKey_neighbor_2,CACO2_InChiKey_neighbor_3,CACO2_InChiKey_neighbor_4,CACO2_InChiKey_neighbor_5,CACO2_DTXSID_neighbor_1,CACO2_DTXSID_neighbor_2,CACO2_DTXSID_neighbor_3,CACO2_DTXSID_neighbor_4,CACO2_DTXSID_neighbor_5,CACO2_Exp_neighbor_1,CACO2_Exp_neighbor_2,CACO2_Exp_neighbor_3,CACO2_Exp_neighbor_4,CACO2_Exp_neighbor_5,CACO2_pred_neighbor_1,CACO2_pred_neighbor_2,CACO2_pred_neighbor_3,CACO2_pred_neighbor_4,CACO2_pred_neighbor_5,SHBd,MLFER_A,ATSC1i,nBondsD2,khs_ssSe,SsOH,MLFER_BO,nFRing,SP_6,nssO,nHBDon_Lipinski,ATSC1s,nN,minHsOH,MATS4c,nHBint3,ndO,StsC,SHaaCH,nHBint2,SpMAD_Dzm,nHCsatu,nHBint4,AATS5v,AATS1i,ALogp2,SHBint3,nHBa,MATS6e,GATS3c,khs_ddssSe,nHsNH2,khs_ssPbH2,WNSA_2,CrippenLogP,GATS4c
DTXSID8034792,NaN,-5.08,[-5.17:-4.99],1,0.204,0.656,CHEMBL3145259,CHEMBL3145257,1354790-56-9,CHEMBL3145258,CHEMBL3145278,AGQPMSMSRKQLCA-UHFFFAOYSA-N,YMZFJZULVIWNHO-UHFFFAOYSA-N,RQUDOPGTBUDTCG-UHFFFAOYSA-N,ZGNLSZIBQDDXHC-UHFFFAOYSA-N,WQIUELSOHQUHPQ-UHFFFAOYSA-N,?,?,?,?,?,-5.21,-5,-4.98,-5.05,-5.18,-5.01,-5.08,-5.08,-5.09,-5.06,0.489837962962963,-0.088,-3.18373362558628,4,80.85,0,1.605,0,0,1,1,-16.6428795736037,1,0,0.577655923237737,0,3,0,2.60673140012178,1,5.3663600098043,1,3,159.010426143195,143.933806597909,0.39576681,0,5,-0.104007769562079,1.65833453804097,267.056528896,0,0.989,1983.04557023464,3.14257,0.82873899436823
DTXSID9057761,NaN,-4.98,[-5.51:-4.45],1,0.253,0.406,2818-64-6,14537-47-4,398473-34-2,99614-02-5,CHEMBL2391166,ZLJHHGSEAITOGJ-UHFFFAOYSA-N,PXHZAFCSTGGQSG-UHFFFAOYSA-N,PTKHFRNHJULJKT-UHFFFAOYSA-N,FELGMEQIXOGIFQ-UHFFFAOYSA-N,PWLRRJAFPMHNQH-UHFFFAOYSA-N,DTXSID10357037,DTXSID60311265,DTXSID70377579,DTXSID8023393,?,-5.1,-5.11,-5.63,-3.96,-5.03,-4.76,-4.75,-4.9,-4.55,-5.03,0,0.003,-17.2625020931665,0,6.48,0,1.072,0,0,0,0,1.05824690735919,2,0,0.127868477859658,0,0,0,1.60339127875158,0,6.84439666333514,0,0,136.2030936004,147.17050514695,9.72504225,0,4,-0.126056525690945,1.39605387424661,272.084703936,0,3.739,1560.46254970987,3.0909,0.612825959890289
DTXSID4063745,NaN,-5.03,[-5.32:-4.74],1,0.189,0.524,CHEMBL213979,CHEMBL2147095,CHEMBL461453,CHEMBL446752,CHEMBL3264794,CTNVRGOKCPAVEY-UHFFFAOYSA-N,CRDZCUVZVGGYLQ-UHFFFAOYSA-N,HWBSEYIBGSCHEJ-UHFFFAOYSA-N,ILIVYKWOPIHRMC-UHFFFAOYSA-N,XFJILYFHZUBJKE-UHFFFAOYSA-N,?,?,?,?,?,-5.51,-5.02,-4.77,-5.14,-4.69,-5.26,-4.88,-5.32,-5.2,-4.77,0,0.003,-3.97306373407385,3,121.19,0,0.952,0,0,1,0,4.37594455183927,5,0,-0.0770990137396519,0,2,2.12109267359678,3.4706380940038,0,10.0399209958696,2,0,183.890291847505,148.678382279423,40.38475401,0,6,0.117059717621709,1.19667620714822,449.065759384,0,5.167,2783.32451778567,5.95017,0.916929433419055
DTXSID40967042,NaN,-5.17,[-5.83:-4.51],0,0.179,0.332,CHEMBL388427,70-16-6,51-52-5,134678-17-4,69-72-7,LKUNERXRNOWWFG-UHFFFAOYSA-N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,PEMYLVZMVSILDL-UHFFFAOYSA-N,JTEGQNOMFQHVDC-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,?,DTXSID50220251,DTXSID5021209,DTXSID7023194,DTXSID7026368,-6.12,-5.27,-4.17,-5.42,-4.82,-6.34,-5.33,-5.04,-5.69,-4.76,1.24639101473923,0.348,-11.3637149563196,2,70.15,9.06972222222222,0.609,0,0,0,2,-8.6456,2,0.558472222222222,0.298886120256626,0,0,0,0,0,5.33067962936097,2,2,113.762807406882,153.699723573635,10.76824225,0,2,-0.0862185528292816,1.10372629975986,158.105527688,0,-0.0679999999999999,384.743887020508,-1.33303,0.486199211495633
DTXSID6068777,NaN,-5.4,[-6.27:-4.53],0,0.183,0.184,60-56-0,62-49-7,CHEMBL3287842,CHEMBL3287843,167414-93-9,IVAWMVACECMAGC-UHFFFAOYSA-N,OEYIOHPDSNJKLS-UHFFFAOYSA-N,RFORRJWTWBSVQH-UHFFFAOYSA-N,WCIADTUSAHGEJH-UHFFFAOYSA-N,DMLOJVRBRSVOBO-UHFFFAOYSA-N,DTXSID4020820,DTXSID8043789,?,?,?,-4.32,-4.95,-6,-6.4,-6.3,-5.66,-4.76,-5.75,-5.42,-5.98,0.370138888888889,0.014,-8.18197142512994,0,21.26,0,0.937,0,0,1,1,-0.0999999999999996,1,0,0.0463340692806812,1,0,0,0,0,2.59722700527992,0,0,31.0837444309303,154.014235571967,0.27888961,1.85326485339506,2,0,0.973693668473137,87.068413908,0,-0.576,100.2162975,-0.3938,0.320964520217584
DTXSID8022292,NaN,-4.81,[-5.16:-4.46],1,0.227,0.477,CHEMBL3261701,CHEMBL2326053,CHEMBL3261706,10540-29-1,CHEMBL2017658,BUYDDOSUPDRQLT-UHFFFAOYSA-N,KRDUMXYLMIWMMP-UHFFFAOYSA-N,FDLYZRZFIQWFJX-UHFFFAOYSA-N,NKANXQFJJICGDU-UHFFFAOYSA-N,QVXXUZFSNZSAAQ-UHFFFAOYSA-N,?,?,?,DTXSID1034187,?,-4.95,-4.68,-4.7,-4.32,-5.4,-5.24,-4.88,-5.46,-4.92,-5.04,0,0.003,-2.77085772297991,2,35.53,0,0.839,0,0,2,0,-2.10786755759315,0,0,0.056344401895393,0,1,0,4.65026070154448,0,9.24829941750521,2,0,195.719648036808,141.330997550021,28.82830864,0,5,0.110787711903506,1.26571361006043,390.078949860001,0,6.13,2218.34396747607,6.43467,1.28736776268245
DTXSID30200637,NaN,-5.24,[-5.76:-4.72],0,0.192,0.446,334-48-5,26171-23-3,66-81-9,160388-51-2,CHEMBL388427,GHVNFZFCNZKVNT-UHFFFAOYSA-N,UPSPUYADGBWSHF-UHFFFAOYSA-N,YPHMISFOHDHNIV-UHFFFAOYSA-N,FGOUWZMAKYNJBA-UHFFFAOYSA-N,LKUNERXRNOWWFG-UHFFFAOYSA-N,DTXSID9021554,DTXSID2043951,DTXSID6024882,DTXSID50437529,?,-4.68,-5.08,-4.84,-5.54,-6.12,-4.48,-5.25,-4.64,-5.59,-6.34,1.36513141660713,1.179,-10.2604180838805,2,77.84,17.3309702463688,1.395,0,0,0,2,-4.01752520478891,1,0.682565708303564,0.175008841735103,0,2,0,0,2,9.7768512812158,2,2,121.569176258854,148.833743456773,4.15629769000001,0,5,-0.142050221850751,0.950652748777996,273.194008344001,0,2.769,954.484106474796,2.83219,0.498120310996732
DTXSID0021389,NaN,-4.81,[-5.43:-4.19],0,0.2,0.34,6673-35-4,51384-51-1,6452-71-7,13655-52-2,3930-20-9,DURULFYMVIFBIR-UHFFFAOYSA-N,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CEMAWMOMDPGJMB-UHFFFAOYSA-N,PAZJSJFMUHDSTF-UHFFFAOYSA-N,ZBMZVLHSJCTVON-UHFFFAOYSA-N,DTXSID0021179,DTXSID2023309,DTXSID1043835,DTXSID0045127,DTXSID0023589,-5.62,-4.61,-4.25,-4.09,-5.46,-4.71,-4.65,-4.69,-4.56,-5.38,0.42874914266118,0.501,-10.3162961004204,1,65.57,9.7691598079561,2.374,0,0,2,1,-16.5348869265356,0,0.42874914266118,-0.0435440536769638,6,1,0,0,0,2.78032362389892,0,0,158.027260208798,148.864881366261,1.53313924,10.1422660811228,7,-0.195088286933106,1.31719978385673,255.922578406,0,0.527,659.521080664063,1.5145,1.0347586874451
DTXSID4035960,NaN,-6.08,[-6.51:-5.65],0,0.181,0.438,69-65-8,4618-18-2,57-50-1,CHEMBL3321763,CHEMBL3322332,FBPFZTCFMRRESA-UHFFFAOYSA-N,JCQLYHFGKNRPGE-UHFFFAOYSA-N,CZMRCDWAGMRECN-UHFFFAOYSA-N,DMDGTCCKJRVPDG-UHFFFAOYSA-N,LEKGGMONDQYPIH-UHFFFAOYSA-N,DTXSID1023235,DTXSID5045833,DTXSID2021288,?,?,-6.38,-6.55,-5.92,-5.41,-5.5,-5.95,-6.1,-6.47,-5.33,-5.39,3.89426622732426,1.109,4.68347576668365,1,138.45,51.8141926492819,1.875,0,0,0,6,-41.8727111111111,0,0.579722222222222,-0.0783846504421592,11,1,0,0,1,5.5789294655932,1,9,110.762532396027,155.717334408721,8.054244,61.4426188428105,7,-0.00284523385335746,0.739747252325041,196.058302724,0,-3.739,604.331768706909,-3.25921,1.07620834972233
DTXSID4068795,NaN,-5.75,[-6.52:-4.93],0,0.198,0.275,710654-74-3,23031-25-6,18559-94-9,586-06-1,70-16-6,WYEGTIGJSHGEID-UHFFFAOYSA-N,XWTYSIMOBUGWOL-UHFFFAOYSA-N,NDAUXUAQIAJITI-UHFFFAOYSA-N,LMOINURANNBYCM-UHFFFAOYSA-N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,DTXSID90430791,DTXSID7021310,DTXSID5021255,DTXSID8048529,DTXSID50220251,-4.42,-6.43,-6.52,-6.17,-5.27,-4.64,-5.98,-5.88,-6.07,-5.33,0.91515589569161,0.604,-7.77673718528161,0,43.7,18.8219359410431,1.455,0,0,0,2,-8.66441441441441,1,0.374591836734694,0.0945307477493183,1,0,0,0,0,5.2801630222567,0,1,97.7746838332827,149.317645829546,0.584919039999998,1.24239639550265,3,-0.0567257612606743,1.29491244701845,201.172878976,0,0.942,1530.21250342725,0.992600000000001,0.402058145379568
