MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID5061166,258.183109312,44,18,14,4,0,0,0,0,0.857142857142857,13,4,2,1,74.6,52.653,0.889
DTXSID2022125,142.135765196,28,10,9,1,0,0,0,0,0.888888888888889,6,1,0,0,17.07,35.7763,0.598
DTXSID9058862,418.168127944001,54,32,28,2,2,24,5,0,0.0714285714285714,4,4,2,1,58.2,28.2962,3.743
DTXSID90868651,367.128054024,44,27,18,4,5,12,3,1,0.166666666666667,7,8,3,0,121.25,38.7931,2.87
DTXSID90888596,434.195892468001,59,30,21,3,5,12,2,0,0.428571428571429,10,4,1,1,91.33,59.7853,1.608
DTXSID4024143,168.089877624,24,12,8,2,2,0,0,0,1,7,4,0,0,58.86,35.5802,1.267
DTXSID70231622,111.0320284,13,8,5,2,1,0,1,1,0,0,1,1,0,40.54,29.8099,1.095
DTXSID4027319,122.08439832,19,9,7,0,2,6,1,0,0.142857142857143,0,2,2,0,52.04,13.9463,1.383
DTXSID5035616,139.02694302,15,10,6,3,1,6,1,0,0,1,0,1,0,63.37,6.4546,0.746
DTXSID3027320,139.02694302,15,10,6,3,1,6,1,0,0,1,0,1,0,63.37,6.4546,1.065
DTXSID8024159,332.173607248001,48,24,18,4,2,11,2,1,0.444444444444444,8,2,1,0,73.59,52.5158,2.237
DTXSID2041622,412.203193124001,60,28,20,5,2,0,2,1,0.7,11,7,0,1,93.61,112.338,1.08
DTXSID6032433,155.040484908,19,10,7,1,1,0,2,1,0.571428571428571,0,2,0,0,45.61,41.5867,0.964
DTXSID4041527,155.131014164,28,11,9,1,1,0,1,1,0.888888888888889,0,2,1,0,29.1,45.2804,0.855
DTXSID1034181,473.166079344001,61,34,28,4,1,21,5,2,0.25,7,2,2,1,98.24,50.3694,3.289
DTXSID9020160,422.126042284001,51,29,23,2,0,12,3,0,0.347826086956522,7,2,0,1,26.3,59.0014,1.498
DTXSID0047456,164.047344116,20,12,9,3,0,0,3,1,0.555555555555556,0,3,0,0,43.37,39.266,2.368
DTXSID4032378,340.109944372,42,26,23,3,0,18,4,0,0.0869565217391304,4,3,0,1,51.21,23.2812,2.866
DTXSID2021105,292.83716664,14,14,6,2,1,6,1,0,0,1,0,0,0,43.14,31.968,0.946
DTXSID7034460,278.045819892,30,19,13,3,2,6,2,1,0.153846153846154,3,5,1,0,69.97,45.8532,1.969
DTXSID3061188,160.125200512,28,12,12,0,0,6,2,0,0.5,1,0,0,1,0,20.4412,0.664
DTXSID2072883,268.092186132,35,19,17,1,0,12,3,1,0.235294117647059,2,1,0,1,42.37,33.8405,1.693
DTXSID6020480,174.089208928,26,12,8,4,0,0,1,1,0.875,2,4,0,0,44.76,38.7958,0.961
DTXSID50880096,395.085931504,43,26,10,8,7,0,3,3,0.7,5,13,9,2,240.01,73.5384,3.407
DTXSID2047723,222.057063576,30,12,9,0,0,0,1,1,1,0,0,0,0,75.9,65.6745,0.607
DTXSID6033825,341.168990772001,52,21,12,6,1,0,0,0,1,14,7,1,1,67.41,68.2912,1.202
DTXSID7024164,410.089619916001,46,28,16,7,4,12,2,1,0.25,10,9,2,0,154.19,49.9164,3.565
DTXSID6042440,379.974245672,30,24,14,2,2,12,2,0,0,5,4,2,0,58.2,29.6053,2.067
DTXSID2061193,199.02292026,19,14,6,5,3,6,1,0,0,2,1,2,0,132.53,14.5667,0.976
DTXSID4041494,394.074068692,39,28,19,2,2,18,3,1,0.0526315789473684,6,3,1,1,51.22,17.2402,2.563
DTXSID2022127,186.06807956,24,14,12,2,0,12,2,0,0,2,0,1,0,29.46,4.1837,1.462
DTXSID20892242,164.060407336,23,10,7,2,0,0,0,0,0.857142857142857,4,2,0,0,26.3,40.1088,0.637
DTXSID3021774,154.07825032,22,12,12,0,0,10,3,0,0.166666666666667,0,0,0,1,0,9.7308,1.021
DTXSID60868724,290.237466990001,54,19,16,2,0,0,0,0,1,8,2,1,1,47.11,77.4833,1.211
DTXSID1023869,227.120466544,32,15,9,0,5,6,1,1,0.666666666666667,5,5,2,0,88.03,45.276,2.068
DTXSID5022481,414.386166220001,80,30,29,1,0,0,4,0,0.931034482758621,6,1,1,1,20.23,123.8761,0.655
DTXSID30867825,656.300403794001,98,41,30,7,0,0,0,0,0.9,30,7,0,2,181.68,160.3967,2.868
DTXSID2052574,160.052429496,20,12,10,2,0,10,2,0,0,0,0,2,0,40.46,5.1292,1.515
DTXSID2072887,873.026560256001,84,56,30,14,7,28,5,1,0.166666666666667,15,19,5,2,348.12,84.2354,10.311
DTXSID2034750,310.059897936,33,20,11,3,2,6,1,0,0.363636363636364,5,5,2,0,83.65,41.8194,2.395
DTXSID3035002,291.113839876,38,20,15,1,3,11,2,1,0.333333333333333,4,4,1,0,50.94,43.2492,1.531
DTXSID2034548,325.074867524,38,21,15,1,3,11,2,1,0.333333333333333,4,4,1,0,50.94,48.8648,1.626
DTXSID2040363,325.074867524,38,21,15,1,3,11,2,1,0.333333333333333,4,4,1,0,50.94,48.8648,1.626
DTXSID9026132,180.064725496,21,13,7,2,4,5,2,2,0.285714285714286,0,6,1,0,67.23,29.1755,1.013
DTXSID80879796,153.090211972,22,11,7,1,3,6,1,1,0.285714285714286,2,3,2,0,60.17,20.5346,1.687
DTXSID30232599,303.971144596,27,19,10,7,0,10,2,0,0,2,6,3,0,145.73,24.4034,4.503
DTXSID6023155,396.84605978,18,13,9,1,1,10,2,1,0,0,1,1,0,33.12,30.457,1.687
DTXSID30892455,182.105527688,27,13,9,2,2,6,1,0,0.333333333333333,4,3,3,0,67.51,26.8269,1.531
DTXSID6021248,394.141638424001,51,29,23,6,0,12,5,3,0.347826086956522,3,1,0,0,63.22,59.2591,2.841
DTXSID6072893,470.259623024001,68,36,33,0,3,22,5,0,0.121212121212121,5,2,1,1,18.28,60.6929,2.894
DTXSID9047205,290.188194692001,47,21,18,3,0,6,1,0,0.5,10,2,0,1,35.53,56.35,1.206
DTXSID4075039,186.055990652,23,12,8,1,2,5,1,1,0.5,4,3,1,0,45.75,30.3296,1.36
DTXSID70897449,359.212338484001,54,27,24,1,2,18,3,1,0.208333333333333,8,2,1,1,27.35,39.9083,2.163
