MoleculeID,LogKoc_exp,LogKoc_pred,Koc_predRange,AD_Koc,AD_index_Koc,Conf_index_Koc,Koc_CAS_neighbor_1,Koc_CAS_neighbor_2,Koc_CAS_neighbor_3,Koc_CAS_neighbor_4,Koc_CAS_neighbor_5,Koc_InChiKey_neighbor_1,Koc_InChiKey_neighbor_2,Koc_InChiKey_neighbor_3,Koc_InChiKey_neighbor_4,Koc_InChiKey_neighbor_5,Koc_DTXSID_neighbor_1,Koc_DTXSID_neighbor_2,Koc_DTXSID_neighbor_3,Koc_DTXSID_neighbor_4,Koc_DTXSID_neighbor_5,LogKoc_Exp_neighbor_1,LogKoc_Exp_neighbor_2,LogKoc_Exp_neighbor_3,LogKoc_Exp_neighbor_4,LogKoc_Exp_neighbor_5,LogKoc_pred_neighbor_1,LogKoc_pred_neighbor_2,LogKoc_pred_neighbor_3,LogKoc_pred_neighbor_4,LogKoc_pred_neighbor_5,CrippenLogP,nHBAcc,SpDiam_Dzi,VP_1,MPC3,TPC,VABC,SsssN,topoDiameter,AATS1m,MPC6,ATS1v
DTXSID5020281,NaN,2.71,[2.45:2.97],1,0.644,0.742,120-83-2,95-77-2,106-46-7,106-41-2,586-78-7,HFZWRUODUSTPEG-UHFFFAOYSA-N,WDNBURPWRNALGP-UHFFFAOYSA-N,OCJBOOLMMGQPQU-UHFFFAOYSA-N,GZFGOTFRPZRKDS-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,DTXSID1020439|,DTXSID7025005|,DTXSID1020431|,DTXSID3051543|,DTXSID7060415|,2.81,3.09,2.65,2.41,2.42,2.95,2.77,2.7,2.72,2.78,2.66909,0,25.3572383517657,3.03054243974785,14,93,122.318354331722,0,6,139.731220785714,12,4241.97003085283
DTXSID8020961,1.88,1.88,[1.86:1.9],1,1,0.955,100-01-6,99-09-2,104-94-9,98-16-8,100-02-7,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,VIUDTWATMPPKEL-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,DTXSID8020961|,DTXSID6025725|,DTXSID7024532|,DTXSID9024512|,DTXSID0021834|,1.88,1.73,1.93,2.36,2.37,2.01,1.87,1.8,1.78,1.73,1.59789,1,25.0920779645179,2.75227086482882,14,93,118.104046769456,0,6,107.932708125,12,4274.91685392682
DTXSID0021834,2.37,2.37,[2.33:2.37],1,1,0.859,100-02-7,98-95-3,100-01-6,90-05-1,150-19-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,ASHGTJPOSUFTGB-UHFFFAOYSA-N,DTXSID0021834|,DTXSID3020964|,DTXSID8020961|,DTXSID0023113|,DTXSID0022012|,2.37,1.94,1.88,1.56,1.5,1.73,1.93,2.01,2,2.05,1.72129,0,25.2388476258818,2.68720252798398,14,93,115.89751326185,0,6,115.9158748,12,4164.71725569481
DTXSID3032622,NaN,1,[0.6:1.4],1,0.55,0.639,1464-53-5,123-91-1,106-89-8,110-86-1,556-61-6,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,BRLQWZUYTZBJKN-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,LGDSHSYDSCRFAB-UHFFFAOYSA-N,DTXSID0041307|,DTXSID4020533|,DTXSID1020566|,DTXSID9021924|,DTXSID2027204|,0.4,1.23,1,1.6,0.97,1.18,0.95,1.03,1.18,0.87,-0.30052,1,13.1767638644966,1.93972270488542,9,47,88.6882347111557,0,4,106.00031825,0,2972.39066385609
DTXSID2044347,NaN,1.99,[1.7:2.28],1,0.603,0.704,93-89-0,5345-54-0,120-47-8,122-28-1,33222-69-4,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,XQVCBOLNTSUFGD-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,KFTYNYHJHKCRKU-UHFFFAOYSA-N,VTONZKDPQTYHLV-UHFFFAOYSA-N,DTXSID3038696|,DTXSID00201616|,DTXSID9022528|,DTXSID5059539|,DTXSID10186869|,2.3,1.93,2.21,1.94,1.48,1.68,2.09,2.12,1.78,1.76,1.86619,1,34.9341397557989,3.38786378597364,16,112,147.998480230722,0,7,88.1750388095238,16,5443.68988392729
DTXSID9059204,NaN,2.04,[1.68:2.4],1,0.609,0.687,5345-54-0,122-28-1,618-87-1,351-83-7,93-89-0,XQVCBOLNTSUFGD-UHFFFAOYSA-N,KFTYNYHJHKCRKU-UHFFFAOYSA-N,MPBZUKLDHPOCLS-UHFFFAOYSA-N,JHEFOJNPLXSWNZ-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,DTXSID00201616|,DTXSID5059539|,DTXSID0044151|,DTXSID40188598|,DTXSID3038696|,1.93,1.94,2.55,1.48,2.3,2.09,1.78,2.11,1.57,1.68,2.04259,1,34.5833431126621,3.45481049548749,16,112,145.913563375289,0,7,116.493354444444,16,5137.95904092572
DTXSID4059205,NaN,1.81,[1.48:2.14],1,0.693,0.711,33222-69-4,99-94-5,93-89-0,93-58-3,103-82-2,VTONZKDPQTYHLV-UHFFFAOYSA-N,LPNBBFKOUUSUDB-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,WLJVXDMOQOGPHL-UHFFFAOYSA-N,DTXSID10186869|,DTXSID6021618|,DTXSID3038696|,DTXSID5025572|,DTXSID2021656|,1.48,1.77,2.3,2.1,1.45,1.76,1.7,1.68,1.59,1.76,1.36179,2,34.4750757510217,3.11147058372362,16,112,139.492722305417,0,7,98.9148111052631,16,5060.70626576769
DTXSID80889259,NaN,1.95,[1.69:2.21],1,0.555,0.691,539-82-2,123-66-0,93-89-0,103-45-7,116-06-3,ICMAFTSLXCXHRK-UHFFFAOYSA-N,SHZIWNPUGXLXDT-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,MDHYEMXUFSJLGV-UHFFFAOYSA-N,QGLZXHRNAYXIBU-UHFFFAOYSA-N,DTXSID6040161|,DTXSID3021980|,DTXSID3038696|,DTXSID7044506|,DTXSID0039223|,1.97,2.06,2.3,1.89,1.5,1.51,1.98,1.68,1.98,1.79,1.2748,2,42.2055993876808,4.15557569971465,10,55,166.711322616461,0,7,57.4403366071428,3,5680.0900378082
DTXSID7030698,NaN,1.64,[1.32:1.93],0,0.042,0.49,126535-15-7,120162-55-2,144740-54-5,97780-06-8,86209-51-0,IMEVJVISCHQJRM-UHFFFAOYSA-N,MAHPNPYYQAIOJN-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,ZINJLDJMHCUBIP-UHFFFAOYSA-N,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,DTXSID2032502|,DTXSID8041614|,DTXSID9058311|,DTXSID9034573|,DTXSID8032463|,1.84,1.89,1.46,1.93,1.08,1.53,1.68,1.83,1.84,1.93,-13.0548,30,695.668613075779,21.1020972653425,156,3240,808.423495343231,0,19,99.9817781818183,330,31715.3293784846
DTXSID2026652,NaN,3.32,[3:3.64],1,0.563,0.69,101-84-8,939-27-5,92-52-4,122-39-4,2051-60-7,USIUVYZYUHIAEV-UHFFFAOYSA-N,RJTJVVYSTUQWNI-UHFFFAOYSA-N,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,DMBHHRLKUKUOEG-UHFFFAOYSA-N,LAXBNTIAOJWAOP-UHFFFAOYSA-N,DTXSID9021847|,DTXSID9061330|,DTXSID4020161|,DTXSID4021975|,DTXSID6040298|,3.29,3.76,3.27,2.78,3.47,3.33,3.39,3.5,3.31,3.59,3.9334,0,44.4853962222436,4.70811855099405,18,132,184.942439408,0,7,64.9699012,20,7147.46191566129
DTXSID6026080,NaN,1.49,[1.22:1.76],1,0.579,0.697,78508-45-9,88-99-3,659-30-3,770-19-4,656-31-5,FPZGSLWNDUCKEA-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,IQZBVVPYTDHTIP-UHFFFAOYSA-N,OLVWURSZQFCLCZ-UHFFFAOYSA-N,PAWVOCWEWJXILY-UHFFFAOYSA-N,DTXSID90879404|,DTXSID8021484|,DTXSID20216106|,DTXSID40227815|,DTXSID00215854|,1.75,1.07,1.52,1.77,1.32,1.58,1.73,1.5,1.55,1.73,1.05139,4,40.7084773464172,3.17682909100974,18,132,145.646490305178,0,7,111.302847777778,20,5222.02694903093
DTXSID0021836,NaN,2.28,[2.05:2.51],1,0.57,0.691,100-02-7,618-87-1,88-30-2,534-52-1,100-01-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,MPBZUKLDHPOCLS-UHFFFAOYSA-N,ZEFMBAFMCSYJOO-UHFFFAOYSA-N,ZXVONLUNISGICL-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,DTXSID0021834|,DTXSID0044151|,DTXSID7021788|,DTXSID1022053|,DTXSID8020961|,2.37,2.55,2.11,2.41,1.88,1.73,2.11,2.64,2.53,2.01,1.78289,0,35.9411677177527,3.10582425542209,18,132,133.048041469778,0,7,134.18007525,20,4559.90037000899
DTXSID80883636,NaN,1.55,[1.32:1.78],1,0.479,0.639,111-76-2,111-91-1,1007-36-9,116-06-3,19928-35-9,POAOYUHQDCAZBD-UHFFFAOYSA-N,NLXGURFLBLRZRO-UHFFFAOYSA-N,SQBHGDSDVWCPHN-UHFFFAOYSA-N,QGLZXHRNAYXIBU-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,DTXSID1024097|,DTXSID4023917|,DTXSID1074416|,DTXSID0039223|,DTXSID60860187|,1.83,1.79,1.29,1.5,1.3,1.23,2.17,1.67,1.79,2.32,0.6859,3,48.4125488197152,3.55873074462448,7,55,155.99903118355,0,9,71.1795882,4,4922.71357963121
DTXSID30893604,NaN,5.22,[4.6:5.84],0,0.186,0.416,69409-94-5,67485-29-4,70124-77-5,68085-85-8,64532-97-4,INISTDXBRIBGOC-UHFFFAOYSA-N,IQVNEKKDSLOHHK-UHFFFAOYSA-N,GBIHOLCMZGAKNG-UHFFFAOYSA-N,ZXQYGBMAQZUVMI-UHFFFAOYSA-N,LMCLPMXCYFSRNG-UHFFFAOYSA-N,DTXSID7024110|DTXSID7037555,DTXSID6023868|,DTXSID0022301|,DTXSID6023997|DTXSID7032559,DTXSID4025797|,5.71,5.86,5,5.26,4.06,5.05,4.78,5.2,4.76,5.06,5.8132,5,375.915219409521,12.4963593368268,80,1313,426.86074066149,1.65975023702622,20,119.456533558349,138,17759.9946523881
DTXSID90143117,NaN,1.35,[0.91:1.69],1,0.598,0.66,100-54-9,55-21-0,65-85-0,1464-53-5,95-14-7,GZPHSAQLYPIAIN-UHFFFAOYSA-N,KXDAEFPNCMNJSK-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,QRUDEWIWKLJBPS-UHFFFAOYSA-N,DTXSID1026665|,DTXSID0021709|,DTXSID6020143|,DTXSID0041307|,DTXSID6020147|,1.56,1.46,1.5,0.4,1.69,1.35,1.52,1.6,1.18,1.8,0.69522,2,15.5587685842925,2.14523889087457,12,60,92.0178354430279,0,4,114.188577,3,3297.98731827787
DTXSID7057606,NaN,1.83,[1.5:2.16],1,0.434,0.637,685-91-6,121-69-7,93-71-0,611-74-5,91-66-7,AJFDBNQQDYLMJN-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,MDBGGTQNNUOQRC-UHFFFAOYSA-N,IMNDHOCGZLYMRO-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,DTXSID9020459|,DTXSID2020507|,DTXSID2041591|,DTXSID4060602|,DTXSID8021800|,1.84,2.26,1.3,1.6,2.08,1.69,1.69,1.68,1.47,2.29,0.2869,2,23.138271708251,3.27114515088747,7,36,134.325886872333,2.30555555555556,5,56.6731310869565,0,4334.83720876472
DTXSID5021837,NaN,1.83,[1.5:2.16],1,0.453,0.645,685-91-6,121-69-7,93-71-0,611-74-5,91-66-7,AJFDBNQQDYLMJN-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,MDBGGTQNNUOQRC-UHFFFAOYSA-N,IMNDHOCGZLYMRO-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,DTXSID9020459|,DTXSID2020507|,DTXSID2041591|,DTXSID4060602|,DTXSID8021800|,1.84,2.26,1.3,1.6,2.08,1.69,1.69,1.68,1.47,2.29,0.3205,2,23.2990904988926,3.17912462644045,7,36,132.119353364728,2.18055555555556,5,59.7862185,0,4224.6376105327
DTXSID10143255,NaN,1.88,[1.45:2.56],0,0.177,0.419,74223-64-6,79277-27-3,23564-05-8,101200-48-0,111991-09-4,RSMUVYRMZCOLBH-UHFFFAOYSA-N,AHTPATJNIAFOLR-UHFFFAOYSA-N,QGHREAKMXXNCOA-UHFFFAOYSA-N,VLCQZHSMCYCDJL-UHFFFAOYSA-N,RTCOGUMHFFWOJV-UHFFFAOYSA-N,DTXSID6023864|,DTXSID1024124|,DTXSID1024338|,DTXSID8024101|,DTXSID6034764|,1.54,1.45,3.25,1.72,1.48,1.69,1.69,2.06,1.59,1.84,-5.47811,11,151.065092777074,6.6076211596931,36,271,307.527850515773,0,12,91.9800965000001,29,10130.3447165941
DTXSID3021437,NaN,2.48,[2.13:2.83],1,0.708,0.709,100-41-4,103-65-1,100-42-5,106-42-3,91-16-7,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,ABDKAPXRBAPSQN-UHFFFAOYSA-N,DTXSID3020596|,DTXSID3042219|,DTXSID2021284|,DTXSID2021868|,DTXSID7047065|,2.23,2.87,2.96,2.41,2.03,2.42,2.83,2.06,2.49,2.39,2.38108,0,22.09064166038,3.20790811898598,10,61,129.294959605333,0,5,64.9699012,4,4764.97461044086
DTXSID3020596,2.23,2.23,[2.18:2.28],1,1,0.932,100-41-4,100-42-5,106-42-3,100-66-3,106-44-5,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,RDOXTESZEPMUJZ-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,DTXSID3020596|,DTXSID2021284|,DTXSID2021868|,DTXSID4041608|,DTXSID7021869|,2.23,2.96,2.41,1.54,2.7,2.42,2.06,2.49,2.35,2.02,2.249,0,19.2870065267099,2.97134377430278,10,61,115.758500904534,0,5,70.8435471111111,4,4535.50137769982
DTXSID20143261,NaN,2.19,[1.73:2.6],1,0.689,0.643,2686-99-9,2655-14-3,99-77-4,33244-86-9,94-08-6,AUQAUAIUNJIIEP-UHFFFAOYSA-N,CVQODEWAPZVVBU-UHFFFAOYSA-N,PHWSCBWNPZDYRI-UHFFFAOYSA-N,IZBRKPDCFBAIKG-UHFFFAOYSA-N,NWPWRAWAUYIELB-UHFFFAOYSA-N,DTXSID1040322|,DTXSID7058042|,DTXSID1052666|,DTXSID20186895|,DTXSID5048211|,2.6,1.71,2.48,1.54,2.59,1.66,2.19,2.18,1.94,1.85,1.44791,2,49.0902718784535,4.30004355351078,21,177,178.782227347617,0,8,94.2501577692308,22,6429.15769458131
DTXSID2021284,2.96,2.95,[2.86:2.96],1,1,0.818,100-42-5,100-66-3,100-41-4,106-44-5,106-42-3,PPBRXRYQALVLMV-UHFFFAOYSA-N,RDOXTESZEPMUJZ-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,DTXSID2021284|,DTXSID4041608|,DTXSID3020596|,DTXSID7021869|,DTXSID2021868|,2.96,1.54,2.23,2.7,2.41,2.06,2.35,2.42,2.02,2.49,2.14689,0,17.7094303690891,2.60760702758163,10,61,113.122042203734,0,5,78.1856045,4,4306.02814495879
DTXSID9029302,NaN,2.32,[1.81:2.83],1,0.576,0.618,143-08-8,112-30-1,106-30-9,106-32-1,111-87-5,ZWRUINPWMLAQRD-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,TVQGDYNRXLTQAP-UHFFFAOYSA-N,YYZUSRORWSJGET-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,DTXSID6022008|,DTXSID7021946|,DTXSID1040112|,DTXSID8051542|,DTXSID7021940|,1.89,2.59,2.61,3.02,1.56,2.34,2.33,2.17,2.34,1.89,2.9753,1,53.4960222207122,4.95518619978152,10,66,190.306531660028,0,8,55.0286536875,5,6605.86419222614
DTXSID0051499,1.18,1.18,[1.12:1.24],1,1,0.854,100-43-6,100-61-8,100-51-6,98-86-2,104-94-9,KFDVPJUYSDEJTH-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,WVDDGKGOMKODPV-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,DTXSID0051499|,DTXSID9021841|,DTXSID5020152|,DTXSID6021828|,DTXSID7024532|,1.18,2.28,1.1,1.8,1.93,1.81,1.61,1.57,1.74,1.8,1.54189,1,17.269058158662,2.45733814040929,10,61,106.822817786034,0,5,85.7873664,4,3986.27848735372
DTXSID0020153,NaN,1.88,[1.5:2.41],1,0.727,0.638,98-95-3,150-19-6,90-05-1,100-66-3,100-42-5,LQNUZADURLCDLV-UHFFFAOYSA-N,ASHGTJPOSUFTGB-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,RDOXTESZEPMUJZ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,DTXSID3020964|,DTXSID0022012|,DTXSID0023113|,DTXSID4041608|,DTXSID2021284|,1.94,1.5,1.56,1.54,2.96,1.93,2.05,2,2.35,2.06,2.0859,0,18.8317832263959,3.06602071885351,10,61,113.6735840491,0,5,101.359227533333,4,4229.77053469825
DTXSID5021839,NaN,1.37,[1.1:1.76],1,0.754,0.705,100-51-6,100-43-6,98-85-1,100-61-8,60-12-8,WVDDGKGOMKODPV-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,WAPNOHKVXSQRPX-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,WRMNZCZEMHIOCP-UHFFFAOYSA-N,DTXSID5020152|,DTXSID0051499|,DTXSID1020859|,DTXSID9021841|,DTXSID9026342|,1.1,1.18,1.5,2.28,1.5,1.57,1.81,1.75,1.61,1.61,0.8058,1,18.5199005111816,2.6724852835801,10,61,109.459276486834,0,5,75.9455677647059,4,4262.71735777224
DTXSID7021491,NaN,1.68,[1.26:2.1],1,0.74,0.69,100-43-6,100-61-8,99-09-2,98-86-2,104-94-9,KFDVPJUYSDEJTH-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,DTXSID0051499|,DTXSID9021841|,DTXSID6025725|,DTXSID6021828|,DTXSID7024532|,1.18,2.28,1.73,1.8,1.93,1.81,1.61,1.87,1.74,1.8,1.62449,1,17.0042464389498,2.38429040027294,10,61,104.186359085234,0,5,95.2786433846153,4,3859.31177522996
DTXSID9041528,NaN,1.5,[1.37:1.56],1,0.855,0.846,100-54-9,65-85-0,55-21-0,100-43-6,100-51-6,GZPHSAQLYPIAIN-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,KXDAEFPNCMNJSK-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,WVDDGKGOMKODPV-UHFFFAOYSA-N,DTXSID1026665|,DTXSID6020143|,DTXSID0021709|,DTXSID0051499|,DTXSID5020152|,1.56,1.5,1.46,1.18,1.1,1.35,1.6,1.52,1.81,1.57,1.01949,2,16.6393604344812,2.23402151310059,10,61,97.8871346675336,0,5,106.205265666667,4,3539.56211762489
DTXSID1026661,NaN,1.77,[1.4:2.14],1,0.757,0.718,100-61-8,98-86-2,98-85-1,100-43-6,104-94-9,AFBPFSWMIHJQDM-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,WAPNOHKVXSQRPX-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,DTXSID9021841|,DTXSID6021828|,DTXSID1020859|,DTXSID0051499|,DTXSID7024532|,2.28,1.8,1.5,1.18,1.93,1.61,1.74,1.75,1.81,1.8,1.70168,1,21.8490116500127,3.03536208891763,10,61,120.789201680028,0,5,73.5046508888889,4,4414.71397802632
DTXSID5020152,1.1,1.1,[1.1:1.14],1,1,0.883,100-51-6,100-43-6,100-61-8,98-85-1,55-21-0,WVDDGKGOMKODPV-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,WAPNOHKVXSQRPX-UHFFFAOYSA-N,KXDAEFPNCMNJSK-UHFFFAOYSA-N,DTXSID5020152|,DTXSID0051499|,DTXSID9021841|,DTXSID1020859|,DTXSID0021709|,1.1,1.18,2.28,1.5,1.46,1.57,1.81,1.61,1.75,1.52,0.8394,1,18.6923787956594,2.58046475913307,10,61,107.252742979228,0,5,81.43059025,4,4152.51775954023
DTXSID8039241,NaN,1.51,[1.1:1.95],1,0.783,0.691,100-43-6,100-61-8,100-51-6,98-86-2,99-09-2,KFDVPJUYSDEJTH-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,WVDDGKGOMKODPV-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DTXSID0051499|,DTXSID9021841|,DTXSID5020152|,DTXSID6021828|,DTXSID6025725|,1.18,2.28,1.1,1.8,1.73,1.81,1.61,1.57,1.74,1.87,1.46749,1,17.4398991853768,2.43506099751329,10,61,104.616284278428,0,5,91.0468117142857,4,3955.76751254424
DTXSID6026664,NaN,2.15,[1.55:2.75],1,0.729,0.624,150-19-6,90-05-1,106-44-5,106-42-3,100-42-5,ASHGTJPOSUFTGB-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,DTXSID0022012|,DTXSID0023113|,DTXSID7021869|,DTXSID2021868|,DTXSID2021284|,1.5,1.56,2.7,2.41,2.96,2.05,2,2.02,2.49,2.06,1.7769,0,19.598020416768,3.21292029116675,10,61,116.971540336267,0,5,94.4992251875,4,4406.71102367895
DTXSID1026665,1.56,1.56,[1.54:1.56],1,1,0.938,100-54-9,65-85-0,55-21-0,100-43-6,100-51-6,GZPHSAQLYPIAIN-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,KXDAEFPNCMNJSK-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,WVDDGKGOMKODPV-UHFFFAOYSA-N,DTXSID1026665|,DTXSID6020143|,DTXSID0021709|,DTXSID0051499|,DTXSID5020152|,1.56,1.5,1.46,1.18,1.1,1.35,1.6,1.52,1.81,1.57,1.01949,2,16.1019448935384,2.23402151310059,10,61,97.8871346675336,0,5,106.205265666667,4,3539.56211762489
DTXSID9021841,2.28,2.28,[2.22:2.28],1,1,0.85,100-61-8,100-43-6,98-86-2,106-49-0,104-94-9,AFBPFSWMIHJQDM-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,RZXMPPFPUUCRFN-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,DTXSID9021841|,DTXSID0051499|,DTXSID6021828|,DTXSID6021872|,DTXSID7024532|,2.28,1.18,1.8,1.9,1.93,1.61,1.81,1.74,1.99,1.8,1.7283,1,17.2576952333607,2.66068360252296,10,61,109.459276486834,0,5,77.2374494117647,4,4187.98127862486
DTXSID4021842,NaN,2.37,[1.93:2.81],1,0.798,0.691,100-41-4,100-42-5,106-42-3,100-66-3,106-44-5,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,RDOXTESZEPMUJZ-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,DTXSID3020596|,DTXSID2021284|,DTXSID2021868|,DTXSID4041608|,DTXSID7021869|,2.23,2.96,2.41,1.54,2.7,2.42,2.06,2.49,2.35,2.02,2.15129,0,20.6093284433713,3.13071357893653,10,61,117.126435963128,0,5,73.4272983157894,4,4320.94951890039
DTXSID0034857,NaN,2.71,[2.65:2.77],1,0.998,0.806,76578-14-8,66441-23-4,69806-50-4,69806-40-2,52645-53-1,OSUHJPCHFDQAIT-UHFFFAOYSA-N,PQKBPHSEKWERTG-UHFFFAOYSA-N,VAIZTNZGPYBOGF-UHFFFAOYSA-N,MFSWTRQUCLNFOM-UHFFFAOYSA-N,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,DTXSID9023889|,DTXSID2032392|,DTXSID3034612|DTXSID0034855,DTXSID6024123|,DTXSID8022292|,2.71,3.98,3.62,1.88,4.8,3.85,3.35,4.17,3.56,4.89,6.04656,4,183.703496539,8.46217250998523,47,718,316.048157171679,0,17,110.176369177778,72,12591.9368532064
DTXSID4041608,1.54,1.55,[1.5:1.65],1,1,0.824,100-66-3,100-42-5,106-44-5,100-41-4,150-19-6,RDOXTESZEPMUJZ-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ASHGTJPOSUFTGB-UHFFFAOYSA-N,DTXSID4041608|,DTXSID2021284|,DTXSID7021869|,DTXSID3020596|,DTXSID0022012|,1.54,2.96,2.7,2.23,1.5,2.35,2.06,2.02,2.42,2.05,2.19599,0,17.7132853930309,2.52305603821875,10,61,107.252742979228,0,5,84.173088,4,4064.45334561177
DTXSID1026667,NaN,1.75,[1.34:2.16],1,0.764,0.698,100-61-8,100-43-6,106-49-0,98-86-2,108-44-1,AFBPFSWMIHJQDM-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,RZXMPPFPUUCRFN-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,JJYPMNFTHPTTDI-UHFFFAOYSA-N,DTXSID9021841|,DTXSID0051499|,DTXSID6021872|,DTXSID6021828|,DTXSID1026792|,2.28,1.18,1.9,1.8,1.53,1.61,1.81,1.99,1.74,2.05,1.94708,1,16.4602459515157,2.46740424715063,10,61,106.822817786034,0,5,85.7873664,4,3986.27848735372
