MoleculeID,LogKoc_exp,LogKoc_pred,Koc_predRange,AD_Koc,AD_index_Koc,Conf_index_Koc,Koc_CAS_neighbor_1,Koc_CAS_neighbor_2,Koc_CAS_neighbor_3,Koc_CAS_neighbor_4,Koc_CAS_neighbor_5,Koc_InChiKey_neighbor_1,Koc_InChiKey_neighbor_2,Koc_InChiKey_neighbor_3,Koc_InChiKey_neighbor_4,Koc_InChiKey_neighbor_5,Koc_DTXSID_neighbor_1,Koc_DTXSID_neighbor_2,Koc_DTXSID_neighbor_3,Koc_DTXSID_neighbor_4,Koc_DTXSID_neighbor_5,LogKoc_Exp_neighbor_1,LogKoc_Exp_neighbor_2,LogKoc_Exp_neighbor_3,LogKoc_Exp_neighbor_4,LogKoc_Exp_neighbor_5,LogKoc_pred_neighbor_1,LogKoc_pred_neighbor_2,LogKoc_pred_neighbor_3,LogKoc_pred_neighbor_4,LogKoc_pred_neighbor_5,CrippenLogP,nHBAcc,SpDiam_Dzi,VP_1,MPC3,TPC,VABC,SsssN,topoDiameter,AATS1m,MPC6,ATS1v
DTXSID6046555,NaN,3.07,[2.7:3.52],1,0.587,0.602,35554-44-0,43121-43-3,88671-89-0,55219-65-3,510-15-6,PZBPKYOVPCNPJY-UHFFFAOYSA-N,WURBVZBTWMNKQT-UHFFFAOYSA-N,HZJKXKUJVSEEFU-UHFFFAOYSA-N,BAZVSMNPJJMILC-UHFFFAOYSA-N,RAPBNVDSDCTNRC-UHFFFAOYSA-N,DTXSID8024151|,DTXSID3023897|,DTXSID8024315|,DTXSID0032493|,DTXSID9020299|,3.73,2.71,2.7,2.7,3.3,2.58,2.83,2.89,2.67,2.4,4.58278,3,92.5142292714487,6.69526738208309,35,386,260.449600070289,0,9,99.4858486842106,46,10007.9616190378
DTXSID3028001,NaN,5.21,[4.58:5.84],0,0.17,0.409,69409-94-5,70124-77-5,67485-29-4,64532-97-4,68085-85-8,INISTDXBRIBGOC-UHFFFAOYSA-N,GBIHOLCMZGAKNG-UHFFFAOYSA-N,IQVNEKKDSLOHHK-UHFFFAOYSA-N,LMCLPMXCYFSRNG-UHFFFAOYSA-N,ZXQYGBMAQZUVMI-UHFFFAOYSA-N,DTXSID7024110|DTXSID7037555,DTXSID0022301|,DTXSID6023868|,DTXSID4025797|,DTXSID6023997|DTXSID7032559,5.71,5,5.86,4.06,5.26,5.05,5.2,4.78,5.06,4.76,6.95557000000001,6,389.661315255583,12.0682918963002,90,1501,455.131704289558,0,22,111.9462734375,154,19480.0272082988
DTXSID9026053,NaN,1.72,[1.52:1.92],0,0.1,0.57,120162-55-2,126535-15-7,144740-54-5,97780-06-8,111991-09-4,MAHPNPYYQAIOJN-UHFFFAOYSA-N,IMEVJVISCHQJRM-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,ZINJLDJMHCUBIP-UHFFFAOYSA-N,RTCOGUMHFFWOJV-UHFFFAOYSA-N,DTXSID8041614|,DTXSID2032502|,DTXSID9058311|,DTXSID9034573|,DTXSID6034764|,1.89,1.84,1.46,1.93,1.48,1.68,1.53,1.83,1.84,1.84,-7.50786999999999,19,322.701712962034,12.4138156591409,87,1519,509.253425503103,0,15,93.6253580493827,162,18825.7794375288
DTXSID3042390,NaN,1.67,[1.13:2.21],1,0.607,0.606,108-46-3,98-95-3,150-19-6,90-05-1,95-57-8,GHMLBKRAJCXXBS-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,ASHGTJPOSUFTGB-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,ISPYQTSUDJAMAB-UHFFFAOYSA-N,DTXSID2021238|,DTXSID3020964|,DTXSID0022012|,DTXSID0023113|,DTXSID5021544|,0.98,1.94,1.5,1.56,2.6,1.84,1.93,2.05,2,2.4,1.21849,0,14.0998644448227,3.03752497491872,11,62,103.484787343661,0,4,115.683936785714,4,3745.44279515068
DTXSID2059932,NaN,0.65,[0.27:1],1,0.52,0.67,556-61-6,106-89-8,75-99-0,127-20-8,62-55-5,LGDSHSYDSCRFAB-UHFFFAOYSA-N,BRLQWZUYTZBJKN-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,DTXSID2027204|,DTXSID1020566|,DTXSID2021575|,DTXSID5024001|,DTXSID9021340|,0.97,1,0.4,0,0.78,0.87,1.03,0,0.4,0.85,0.56999,2,11.4004065889707,1.15284185804871,4,21,70.2275403534684,0,3,144.7436886672,0,1773.37979804065
DTXSID8047680,NaN,1.51,[0.95:2.07],1,0.625,0.583,609-66-5,2008-58-4,114-38-5,93-58-3,1967-27-7,RBGDLYUEXLWQBZ-UHFFFAOYSA-N,JHSPCUHPSIUQRB-UHFFFAOYSA-N,ASPIQYFYSMQBHA-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,PPCUBWWPGYHEJE-UHFFFAOYSA-N,DTXSID3052278|,DTXSID7022170|,DTXSID1074460|,DTXSID5025572|,DTXSID90173338|,1.51,0.53,1.61,2.1,2.01,1.65,1.97,1.85,1.59,1.67,1.88474,2,26.6731370764794,3.87608261212348,16,92,136.758527244995,0,5,112.056308421053,7,5100.43982255928
DTXSID5068077,NaN,1.94,[1.73:2.15],1,0.623,0.748,99-09-2,100-01-6,98-95-3,111-44-4,98-16-8,XJCVRTZCHMZPBD-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,VIUDTWATMPPKEL-UHFFFAOYSA-N,DTXSID6025725|,DTXSID8020961|,DTXSID3020964|,DTXSID9020168|,DTXSID9024512|,1.73,1.88,1.94,1.88,2.36,1.87,2.01,1.93,1.79,1.78,1.63962,1,18.5489000754772,3.10759812917934,11,60,104.803016694061,0,5,124.281820666667,3,3903.14538664608
DTXSID7059933,NaN,3.06,[2.21:3.91],0,0.173,0.325,27355-22-2,651-85-4,117-80-6,1897-45-6,632-58-6,NMWKWBPNKPGATC-UHFFFAOYSA-N,WFYROSQTNAJIIF-UHFFFAOYSA-N,SVPKNMBRVBMTLB-UHFFFAOYSA-N,CRQQGFGUEAVUIL-UHFFFAOYSA-N,WZHHYIOUKQNLQM-UHFFFAOYSA-N,DTXSID2058045|,DTXSID30215403|,DTXSID7020425|,DTXSID0020319|,DTXSID6060896|,3.3,1.46,3.98,3.26,3.3,3.1,3.13,2.64,3.57,2.57,3.2096,2,54.1734005658882,3.65787328526455,42,302,169.210057391432,-3.53125,5,204.869915565956,36,5427.61899933679
DTXSID8037708,NaN,3.22,[2.54:3.9],0,0.305,0.42,50-65-7,42576-02-3,62476-59-9,115-32-2,961-11-5,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,SUSRORUBZHMPCO-UHFFFAOYSA-N,NUFNQYOELLVIPL-UHFFFAOYSA-N,UOAMTSKGCBMZTC-UHFFFAOYSA-N,UBCKGWBNUIFUST-UHFFFAOYSA-N,DTXSID7040362|,DTXSID1040320|,DTXSID7023853|,DTXSID4020450|,DTXSID1021320|DTXSID1032648,3.35,4,2.05,3.7,3.01,3.32,3.14,4.02,3.99,2.9,4.67899,2,134.189143970351,5.01246449055111,60,325,252.881713162652,0,9,193.32604518112,33,7759.49328560013
DTXSID2057863,NaN,1.53,[0.67:2.39],1,0.359,0.385,57966-95-7,111-42-2,77182-82-2,108-65-6,111-76-2,XERJKGMBORTKEO-UHFFFAOYSA-N,ZBCBWPMODOFKDW-UHFFFAOYSA-N,IAJOBQBIJHVGMQ-UHFFFAOYSA-N,LLHKCFNBLRBOGN-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,DTXSID6032358|,DTXSID3021932|,DTXSID1024120|,DTXSID1026796|,DTXSID1024097|,2.09,0.6,2.63,0.36,1.83,1.17,0.72,1.15,1.75,1.23,-1.917,4,46.6854362399616,3.73071014330082,7,55,156.319407288667,0,9,61.9340821111111,4,5095.24943789028
DTXSID70865906,NaN,3.23,[2.84:3.61],1,0.469,0.603,84-65-1,723-62-6,1468-95-7,2439-01-2,22781-23-3,RZVHIXYEVGDQDX-UHFFFAOYSA-N,XGWFJBFNAQHLEF-UHFFFAOYSA-N,JCJNNHDZTLRSGN-UHFFFAOYSA-N,FBQQHUGEACOBDN-UHFFFAOYSA-N,XEGGRYVFLWGFHI-UHFFFAOYSA-N,DTXSID3020095|,DTXSID7049427|,DTXSID1049221|,DTXSID2032342|,DTXSID9032327|,3.57,2.74,3.61,3.36,2.75,3.19,3.72,3.42,3.32,2.35,2.4766,2,56.8158250648841,6.97790298252739,37,415,199.045430373389,0,6,114.274155375,59,8445.7900885023
DTXSID6073499,6.01,6.01,[5.98:6.04],1,1,0.96,38411-22-2,35694-04-3,38380-04-0,38380-07-3,35065-28-2,FZFUUSROAHKTTF-UHFFFAOYSA-N,AJKLKINFZLWHQE-UHFFFAOYSA-N,LKHLFUVHHXCNJH-UHFFFAOYSA-N,BTAGRXWGMYTPBY-UHFFFAOYSA-N,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,DTXSID6073499|,DTXSID4030045|,DTXSID1073498|,DTXSID50858932|,DTXSID8038300|,6.01,6.48,5.79,5.66,5.93,6.11,5.91,5.95,5.87,5.79,7.3224,0,60.2322726551255,6.97304746212896,38,412,245.0430112274,0,7,194.721809782609,52,8736.64163537925
