MoleculeID,LogHL_exp,LogHL_pred,HL_predRange,AD_HL,AD_index_HL,Conf_index_HL,HL_CAS_neighbor_1,HL_CAS_neighbor_2,HL_CAS_neighbor_3,HL_CAS_neighbor_4,HL_CAS_neighbor_5,HL_InChiKey_neighbor_1,HL_InChiKey_neighbor_2,HL_InChiKey_neighbor_3,HL_InChiKey_neighbor_4,HL_InChiKey_neighbor_5,HL_DTXSID_neighbor_1,HL_DTXSID_neighbor_2,HL_DTXSID_neighbor_3,HL_DTXSID_neighbor_4,HL_DTXSID_neighbor_5,LogHL_Exp_neighbor_1,LogHL_Exp_neighbor_2,LogHL_Exp_neighbor_3,LogHL_Exp_neighbor_4,LogHL_Exp_neighbor_5,LogHL_pred_neighbor_1,LogHL_pred_neighbor_2,LogHL_pred_neighbor_3,LogHL_pred_neighbor_4,LogHL_pred_neighbor_5,nHBDon,MLFER_S,GATS1e,ndssC,ATS3m,nHBint6,nHBAcc2,AATSC0i,SpAD_Dzm
DTXSID6032641,-6.44,-6.44,[-6.66:-6.22],1,1,0.777,84087-01-4,330-54-1,125300-42-7,15545-48-9,150-68-5,FFSSWMQPCJRCRV-UHFFFAOYSA-N,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,ZBCZIOIUHRRMLO-UHFFFAOYSA-N,JXCGFZXSOMJFOA-UHFFFAOYSA-N,BMLIZLVNXIYGCK-UHFFFAOYSA-N,DTXSID6032641,DTXSID0020446,DTXSID10154725,DTXSID8052853,DTXSID0020311,-6.44,-9.31,-3.15,-9.85,-9.24,-7.86,-7.39,-8.88,-8.15,-7.9,1,1.715,0.755762639863335,1,5485.743369,0,3,1.41660253986319,59.6579246604693
DTXSID001004378,NaN,-3.13,[-3.3:-2.96],1,0.738,0.835,123-29-5,110-42-9,103-11-7,1731-84-6,110-38-3,BYEVBITUADOIGY-UHFFFAOYSA-N,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,GOXQRTZXKQZDDN-UHFFFAOYSA-N,IJXHLVMUNBOGRR-UHFFFAOYSA-N,RGXWDWUGBIJHDO-UHFFFAOYSA-N,DTXSID1047651,DTXSID4026842,DTXSID9025297,DTXSID8061921,DTXSID0044363,-3.12,-3.1,-3.37,-2.85,-3.19,-3.1,-3.12,-3.02,-3.14,-3.03,0,0.591,0.692572434892071,1,3785.67275900001,0,2,1.24768996029012,100.043628847477
DTXSID80232968,NaN,-6.74,[-8.38:-5.1],1,0.499,0.535,90-30-2,1806-26-4,22224-92-6,104-40-5,5221-53-4,XQVWYOYUZDUNRW-UHFFFAOYSA-N,NTDQQZYCCIDJRK-UHFFFAOYSA-N,ZCJPOPBZHLUFHF-UHFFFAOYSA-N,IGFHQQFPSIBGKE-UHFFFAOYSA-N,CJHXCRMKMMBYJQ-UHFFFAOYSA-N,DTXSID2025892,DTXSID9022312,DTXSID3024102,DTXSID5033836,DTXSID8041874,-6.85,-5.21,-8.53,-4.56,-8.6,-6.88,-4.82,-8.08,-4.94,-7.81,1,1.399,1.11730666734347,0,4708.94461900001,0,2,1.48466307291165,118.436543557137
DTXSID4021135,NaN,-9.6,[-10.21:-8.99],1,0.616,0.616,76738-62-0,1689-82-3,55219-65-3,107534-96-3,5221-53-4,RMOGWMIKYWRTKW-UHFFFAOYSA-N,BEYOBVMPDRKTNR-UHFFFAOYSA-N,BAZVSMNPJJMILC-UHFFFAOYSA-N,PXMNMQRDXWABCY-UHFFFAOYSA-N,CJHXCRMKMMBYJQ-UHFFFAOYSA-N,DTXSID2024242,DTXSID3022160,DTXSID0032493,DTXSID9032113,DTXSID8041874,-9.63,-9.18,-10.46,-10.01,-8.6,-9.52,-7.1,-9.02,-9.88,-7.81,1,1.464,0.786844339745291,0,4810.179592,0,3,1.56530002934461,106.153791675401
DTXSID5023322,NaN,-7.59,[-9.1:-6.08],1,0.37,0.439,131807-57-3,112410-23-8,161050-58-4,78587-05-0,117-81-7,PCCSBWNGDMYFCW-UHFFFAOYSA-N,QYPNKSZPJQQLRK-UHFFFAOYSA-N,QCAWEPFNJXQPAN-UHFFFAOYSA-N,XGWIJUOSCAQSSV-UHFFFAOYSA-N,BJQHLKABXJIVAM-UHFFFAOYSA-N,DTXSID8034588,DTXSID4034948,DTXSID3032628,DTXSID7024299,DTXSID5020607,-7.34,-9.19,-8.79,-7.28,-4.77,-8.83,-8.35,-8.5,-8.94,-5.43,1,1.899,0.771207355733307,2,11239.592357,0,3,1.37226049511574,298.187908135406
DTXSID10233382,-5.27,-5.27,[-5.28:-5.27],1,1,0.992,106705-37-7,84418-68-8,112-05-0,57453-97-1,26761-42-2,YPIFGDQKSSMYHQ-UHFFFAOYSA-N,YPIFGDQKSSMYHQ-UHFFFAOYSA-N,FBUKVWPVBMHYJY-UHFFFAOYSA-N,KTCIQOVSDDBEIG-UHFFFAOYSA-N,WRPPDRMFGQJMAR-UHFFFAOYSA-N,DTXSID60598337,DTXSID10233382,DTXSID3021641,DTXSID90972929,DTXSID7067249,-5.27,-5.27,-5.59,-5.27,-5.27,-5.27,-5.27,-5.06,-5.27,-5.31,1,0.429,0.778311114540929,1,2096.423209,0,2,1.17634532843531,82.9651219430193
DTXSID60233397,NaN,-8.27,[-10.24:-6.3],1,0.551,0.384,161326-34-7,156052-68-5,129-43-1,1698-60-8,1982-47-4,LMVPQMGRYSRMIW-UHFFFAOYSA-N,SOUGWDPPRBKJEX-UHFFFAOYSA-N,BTLXPCBPYBNQNR-UHFFFAOYSA-N,KPDZMYAYZCKXQP-UHFFFAOYSA-N,IVUXTESCPZUGJC-UHFFFAOYSA-N,DTXSID2034590,DTXSID9032581,DTXSID1020722,DTXSID3034872,DTXSID7040287,-10.31,-7.19,-8.15,-4.37,-9.31,-7.98,-8.28,-7.37,-9.5,-8.72,1,2.216,0.739416482564397,2,6742.922367,0,4,1.45898110797567,122.230965738499
DTXSID40868808,NaN,-8.52,[-9:-8.04],1,0.56,0.648,103112-35-2,73250-68-7,470-90-6,24151-93-7,67747-09-5,GMBRUAIJEFRHFQ-UHFFFAOYSA-N,XIGAUIHYSDTJHW-UHFFFAOYSA-N,FSAVDKDHPDSCTO-UHFFFAOYSA-N,UNLYSVIDNRIVFJ-UHFFFAOYSA-N,TVLSRXXIMLFWEO-UHFFFAOYSA-N,DTXSID6041268,DTXSID7058173,DTXSID7034250,DTXSID8058031,DTXSID4024270,-8.4,-9.33,-8.55,-8.35,-7.79,-8.05,-7.87,-8.27,-8.05,-8.76,0,2.561,0.768246883287501,1,7942.534702294,0,3,1.41170054110265,118.727832085523
DTXSID50233407,NaN,-8.7,[-9.46:-7.94],1,0.309,0.509,112410-23-8,473798-59-3,78587-05-0,161050-58-4,5234-68-4,QYPNKSZPJQQLRK-UHFFFAOYSA-N,UDTTVIYRRGFDCK-UHFFFAOYSA-N,XGWIJUOSCAQSSV-UHFFFAOYSA-N,QCAWEPFNJXQPAN-UHFFFAOYSA-N,GYSSRZJIHXQEHQ-UHFFFAOYSA-N,DTXSID4034948,DTXSID2074742,DTXSID7024299,DTXSID3032628,DTXSID0023951,-9.19,-8.8,-7.28,-8.79,-9.5,-8.35,-9.76,-8.94,-8.5,-8.46,1,1.815,1.11713136221833,3,7155.378043,0,2,1.49387856136735,221.601241595185
DTXSID80233450,NaN,-8.61,[-9.44:-7.71],0,0.165,0.498,79-94-7,178928-70-6,26644-46-2,50-65-7,1420-04-8,VEORPZCZECFIRK-UHFFFAOYSA-N,MNHVNIJQQRJYDH-UHFFFAOYSA-N,RROQIUMZODEXOR-UHFFFAOYSA-N,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,DTXSID1026081,DTXSID4034869,DTXSID5032654,DTXSID7040362,DTXSID3020338,-7.39,-9.44,-7.73,-9.18,-9.42,-7.3,-8.82,-8.79,-9.42,-9.42,3,2.891,0.945377359976593,1,30873.744809,1,5,1.08514403679933,231.609747868448
