MoleculeID,LogHL_exp,LogHL_pred,HL_predRange,AD_HL,AD_index_HL,Conf_index_HL,HL_CAS_neighbor_1,HL_CAS_neighbor_2,HL_CAS_neighbor_3,HL_CAS_neighbor_4,HL_CAS_neighbor_5,HL_InChiKey_neighbor_1,HL_InChiKey_neighbor_2,HL_InChiKey_neighbor_3,HL_InChiKey_neighbor_4,HL_InChiKey_neighbor_5,HL_DTXSID_neighbor_1,HL_DTXSID_neighbor_2,HL_DTXSID_neighbor_3,HL_DTXSID_neighbor_4,HL_DTXSID_neighbor_5,LogHL_Exp_neighbor_1,LogHL_Exp_neighbor_2,LogHL_Exp_neighbor_3,LogHL_Exp_neighbor_4,LogHL_Exp_neighbor_5,LogHL_pred_neighbor_1,LogHL_pred_neighbor_2,LogHL_pred_neighbor_3,LogHL_pred_neighbor_4,LogHL_pred_neighbor_5,nHBDon,MLFER_S,GATS1e,ndssC,ATS3m,nHBint6,nHBAcc2,AATSC0i,SpAD_Dzm
DTXSID5020281,-5.31,-5.31,[-5.36:-5.26],1,1,0.923,100-00-5,121-73-3,88-73-3,585-79-5,88-72-2,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID3060409,DTXSID4025791,-5.31,-4.87,-5.03,-5.74,-4.9,-5.04,-5.21,-5.15,-5.02,-5.05,0,0.9,0.280093805571015,0,2588.098517,0,2,1.47849482566806,31.9302113063708
DTXSID8020961,-8.9,-8.9,[-8.97:-8.83],1,1,0.82,100-01-6,121-87-9,2581-34-2,100-02-7,99-30-9,TYMLOMAKGOJONV-UHFFFAOYSA-N,LOCWBQIWHWIRGN-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,DTXSID8020961,DTXSID4021973,DTXSID2062535,DTXSID0021834,DTXSID2020426,-8.9,-8.02,-7.79,-9.38,-7.08,-7.84,-7.91,-8.27,-7.67,-7.97,1,1.201,0.386766034916297,0,2078.194035,1,3,1.58592393241148,34.1425275955247
DTXSID0021834,-9.38,-9.37,[-9.38:-9.23],1,1,0.773,100-02-7,2581-34-2,121-87-9,100-01-6,3011-34-5,BTJIUGUIPKRLHP-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,LOCWBQIWHWIRGN-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,YTHJCZRFJGXPTL-UHFFFAOYSA-N,DTXSID0021834,DTXSID2062535,DTXSID4021973,DTXSID8020961,DTXSID80184195,-9.38,-7.79,-8.02,-8.9,-5.98,-7.67,-8.27,-7.91,-7.84,-7.9,1,1.065,0.51764270607723,0,2105.847555,1,3,1.49011639933755,33.6752499648641
DTXSID3032622,-8.86,-8.86,[-8.93:-8.79],1,1,0.889,10004-44-1,85-41-6,16752-77-5,127-17-3,79-41-4,KGVPNLBXJKTABS-UHFFFAOYSA-N,XKJCHHZQLQNZHY-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-N,CERQOIWHTDAKMF-UHFFFAOYSA-N,DTXSID3032622,DTXSID3026514,DTXSID1022267,DTXSID2021650,DTXSID3025542,-8.86,-7.96,-10.2,-8.49,-6.41,-8.42,-8.97,-8.59,-8.23,-7.92,1,0.909,0.647686382461316,2,944.157724,0,3,1.40792090060219,17.6556744952534
DTXSID2044347,NaN,-6.19,[-8.55:-3.99],1,0.778,0.407,759-94-4,93-89-0,140-11-4,93-71-0,93-58-3,GUVLYNGULCJVDO-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,QUKGYYKBILRGFE-UHFFFAOYSA-N,MDBGGTQNNUOQRC-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,DTXSID1024091,DTXSID3038696,DTXSID0020151,DTXSID2041591,DTXSID5025572,-10.31,-3.99,-4.96,-6.97,-4.48,-5.11,-6.1,-5.72,-6.18,-6.17,0,1.185,0.685665913650199,1,2343.413541,0,2,1.34261125118909,45.1883735201283
DTXSID9059204,NaN,-6.51,[-8.61:-4.51],1,0.751,0.431,93-71-0,2905-69-3,759-94-4,2212-67-1,1929-77-7,MDBGGTQNNUOQRC-UHFFFAOYSA-N,SPJQBGGHUDNAIC-UHFFFAOYSA-N,GUVLYNGULCJVDO-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,OKUGPJPKMAEJOE-UHFFFAOYSA-N,DTXSID2041591,DTXSID7022201,DTXSID1024091,DTXSID6024206,DTXSID7024376,-6.97,-4.79,-10.31,-5.39,-4.51,-6.18,-6.47,-5.11,-6.67,-5.7,0,1.342,0.672413188320398,1,2821.762959,0,2,1.30261613304387,42.3842337002926
DTXSID4059205,NaN,-8.28,[-9:-7.51],1,0.597,0.622,94-75-7,120-36-5|15165-67-0,29973-13-5,93-76-5,116-06-3,OVSKIKFHRZPJSS-UHFFFAOYSA-N,MZHCENGPTKEIGP-UHFFFAOYSA-N,HEZNVIYQEUHLNI-UHFFFAOYSA-N,SMYMJHWAQXWPDB-UHFFFAOYSA-N,QGLZXHRNAYXIBU-UHFFFAOYSA-N,DTXSID0020442,DTXSID0020440|DTXSID0034851,DTXSID3037545,DTXSID5021388,DTXSID0039223,-7.47,-9,-8.93,-7.24,-8.83,-8.13,-7.61,-8.35,-8.13,-8.56,1,1.095,0.85430350547708,1,2382.745117,1,3,1.33880132960529,44.1019044806025
DTXSID80889259,NaN,-8.7,[-9.18:-8.22],1,0.616,0.703,2935-44-6,6920-22-5,5343-92-0,625-69-4,42822-86-6,OHMBHFSEKCCCBW-UHFFFAOYSA-N,FHKSXSQHXQEMOK-UHFFFAOYSA-N,WCVRQHFDJLLWFE-UHFFFAOYSA-N,GTCCGKPBSJZVRZ-UHFFFAOYSA-N,LMXFTMYMHGYJEI-UHFFFAOYSA-N,DTXSID50871000,DTXSID40863959,DTXSID10863522,DTXSID9032878,DTXSID0035744,-9.15,-8.24,-8.15,-8.59,-9.37,-8.46,-8.84,-8.75,-8.47,-9.18,2,0.452,1.17102872503179,0,2124.40913,0,2,1.16369181799359,55.7062499684441
DTXSID7030698,NaN,-11.59,[-15.44:-7.74],0,0.012,0.1,2781-11-5,1071-83-6,208465-21-8,6334-25-4,173159-57-4,CCJKFLLIJCGHMO-UHFFFAOYSA-N,XDDAORKBJWWYJS-UHFFFAOYSA-N,NIFKBBMCXCMCAO-UHFFFAOYSA-N,OKRNLSUTBJUVKA-UHFFFAOYSA-N,PXDNXJSDGQBLKS-UHFFFAOYSA-N,DTXSID2029242,DTXSID1024122,DTXSID6034712,DTXSID40212726,DTXSID7034753,-6.8,-11.26,-16,-8.1,-16,-11.64,-9.18,-10.69,-9.73,-9.65,18,6.325,1.12270578358298,0,29333.4532260001,42,30,1.12200348050882,1015.05854138462
DTXSID2026652,NaN,-1.82,[-1.97:-1.67],1,0.786,0.842,2049-95-8,538-68-1,1077-16-3,104-51-8,105-05-5,QHTJSSMHBLGUHV-UHFFFAOYSA-N,PWATWSYOIIXYMA-UHFFFAOYSA-N,LTEQMZWBSYACLV-UHFFFAOYSA-N,OCKPCBLVNKHBMX-UHFFFAOYSA-N,DSNHSQKRULAAEI-UHFFFAOYSA-N,DTXSID7051848,DTXSID6022054,DTXSID8061476,DTXSID6022472,DTXSID4026711,-1.74,-1.79,-1.67,-1.88,-2.15,-1.98,-1.78,-2.16,-1.97,-1.99,0,0.451,1.20833333333333,0,2662.470231,0,0,1.31205904522776,59.7331384683807
DTXSID6026080,NaN,-10.66,[-12.37:-8.95],1,0.764,0.505,88-99-3,124-04-9,19147-16-1,111-16-0,110-15-6,XNGIFLGASWRNHJ-UHFFFAOYSA-N,WNLRTRBMVRJNCN-UHFFFAOYSA-N,WNLRTRBMVRJNCN-UHFFFAOYSA-N,WLJVNTCWHIRURA-UHFFFAOYSA-N,KDYFGRWQOYBRFD-UHFFFAOYSA-N,DTXSID8021484,DTXSID7021605,DTXSID60894861,DTXSID5021598,DTXSID6023602,-10.7,-11.33,-6.22,-12.91,-12.44,-11.01,-6.25,-6.25,-10.71,-11.47,2,1.291,0.879500501488639,2,2750.946103,0,4,1.35897702923558,52.2790927615089
DTXSID0021836,-4.31,-4.36,[-4.75:-4.31],1,1,0.713,100-25-4,99-65-0,528-29-0,619-15-8,121-14-2,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,IZUKQUVSCNEFMJ-UHFFFAOYSA-N,KZBOXYKTSUUBTO-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,DTXSID0021836,DTXSID9024065,DTXSID4024066,DTXSID8027248,DTXSID0020529,-4.31,-7.31,-7.28,-6.26,-7.27,-6.95,-6.18,-6.31,-6.52,-6.24,0,0.957,0.221795792565946,0,2798.421639,0,4,1.58967854393419,48.1538252172129
DTXSID80883636,NaN,-5.77,[-6.8:-4.74],1,0.776,0.617,111-96-6,112-36-7,123-63-7,1445-45-0,2426-08-6,SBZXBUIDTXKZTM-UHFFFAOYSA-N,RRQYJINTUHWNHW-UHFFFAOYSA-N,SQYNKIJPMDEDEG-UHFFFAOYSA-N,HDPNBNXLBDFELL-UHFFFAOYSA-N,YSUQLAYJZDEMOT-UHFFFAOYSA-N,DTXSID1024621,DTXSID3025047,DTXSID9023419,DTXSID8027400,DTXSID9024691,-6.28,-6.96,-4.4,-4.81,-4.6,-5,-5.04,-5.11,-4.89,-4.88,0,0.682,0.934346765614782,0,1582.270559,0,3,1.07847834359813,57.1507098246396
DTXSID30893604,NaN,-7.47,[-10.61:-4.33],0,0.202,0.125,119738-06-6,134098-61-6,139001-49-3,131860-33-8,84-77-5,BBKDWPHJZANJGB-UHFFFAOYSA-N,YYJNOYZRYGDPNH-UHFFFAOYSA-N,UQBHMWHKJIHQHK-UHFFFAOYSA-N,WFDXOXNFNRHQEC-UHFFFAOYSA-N,PGIBJVOPLXHHGS-UHFFFAOYSA-N,DTXSID3058290,DTXSID7032557,DTXSID5057969,DTXSID0032520,DTXSID3026512,-8.05,-5.75,-6.76,-13.15,-3.67,-8.18,-8.46,-6.94,-7.81,-4.72,0,2.792,0.547071026201167,2,11932.0793972352,0,11,3.35291871848347,485.905355295031
DTXSID90143117,NaN,-5.76,[-7.5:-4.02],1,0.608,0.445,25680-58-4,535-89-7,504-64-3,54-11-5,109-08-0,DPCILIMHENXHQX-UHFFFAOYSA-N,HJIUPFPIEBPYIE-UHFFFAOYSA-N,GNEVIACKFGQMHB-UHFFFAOYSA-N,SNICXCGAKADSCV-UHFFFAOYSA-N,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,DTXSID1067124,DTXSID0041800,DTXSID70198443,DTXSID1020930,DTXSID4047620,-4.83,-7.42,-3.12,-8.05,-5.66,-5.49,-4.96,-5.5,-5.07,-5.45,0,1.188,0.893678457083393,0,1288.423107,0,3,1.75690492081575,21.3747526157461
DTXSID7057606,NaN,-5.66,[-7.36:-4.29],1,0.672,0.463,142-84-7,124-02-7,100-60-7,108-91-8,111-49-9,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,DYUWTXWIYMHBQS-UHFFFAOYSA-N,XTUVJUMINZSXGF-UHFFFAOYSA-N,PAFZNILMFXTMIY-UHFFFAOYSA-N,ZSIQJIWKELUFRJ-UHFFFAOYSA-N,DTXSID2025185,DTXSID1024918,DTXSID3059216,DTXSID1023996,DTXSID1026879,-4.29,-4.52,-8.93,-5.38,-5.21,-6.53,-5.8,-5,-4.51,-6.31,1,0.523,1.37057010785824,0,1392.791847,0,2,1.18307525011089,34.2273242101737
DTXSID5021837,NaN,-5.92,[-6.24:-5.6],1,0.75,0.8,111-76-2,109-59-1,110-80-5,107-98-2,57018-52-7,POAOYUHQDCAZBD-UHFFFAOYSA-N,HCGFUIQPSOCUHI-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,ARXJGSRGQADJSQ-UHFFFAOYSA-N,GQCZPFJGIXHZMB-UHFFFAOYSA-N,DTXSID1024097,DTXSID4047466,DTXSID7024087,DTXSID8024284,DTXSID8025967,-5.8,-6.04,-6.33,-6.04,-5.33,-5.88,-5.94,-6.08,-6.18,-5.99,1,0.63,1.07595720145443,0,1410.570447,0,2,1.14113303481924,33.8029457668233
DTXSID10143255,NaN,-9.99,[-13.49:-6.68],0,0.096,0.1,1071-83-6,208465-21-8,2781-11-5,6334-25-4,2475-45-8,XDDAORKBJWWYJS-UHFFFAOYSA-N,NIFKBBMCXCMCAO-UHFFFAOYSA-N,CCJKFLLIJCGHMO-UHFFFAOYSA-N,OKRNLSUTBJUVKA-UHFFFAOYSA-N,JSFUMBWFPQSADC-UHFFFAOYSA-N,DTXSID1024122,DTXSID6034712,DTXSID2029242,DTXSID40212726,DTXSID7020188,-11.26,-16,-6.8,-8.1,-6.68,-9.18,-10.69,-11.64,-9.73,-9.45,8,3.342,1.11612347463532,0,7865.73326800001,8,11,1.07513284500602,200.322631613013
DTXSID3021437,-1.35,-1.35,[-1.4:-1.35],1,1,0.874,100-40-3,98-06-6,535-77-3,95-93-2,527-84-4,BBDKZWKEPDTENS-UHFFFAOYSA-N,YTZKOQUCBOVLHL-UHFFFAOYSA-N,XCYJPXQACVEIOS-UHFFFAOYSA-N,SQNZJJAZBFDUTD-UHFFFAOYSA-N,WWRCMNKATXZARA-UHFFFAOYSA-N,DTXSID3021437,DTXSID3047138,DTXSID2060206,DTXSID1029124,DTXSID1052165,-1.35,-1.91,-2.06,-1.6,-1.96,-1.92,-1.92,-2.05,-2.09,-2.03,0,0.378,1.1875,0,1352.997247,0,0,1.31205904522776,29.7164324787439
DTXSID3020596,-2.1,-2.11,[-2.13:-2.09],1,1,0.97,100-41-4,106-42-3,108-38-3,95-47-6,108-67-8,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,AUHZEENZYGFFBQ-UHFFFAOYSA-N,DTXSID3020596,DTXSID2021868,DTXSID6026298,DTXSID3021807,DTXSID6026797,-2.1,-2.16,-2.14,-2.29,-2.06,-2.19,-2.17,-2.18,-2.14,-2.21,0,0.553,1.0625,0,1250.044159,0,0,1.34985498480222,25.5362696769528
DTXSID20143261,NaN,-8.46,[-10.6:-6.32],1,0.398,0.34,52-51-7,34123-57-4,1568-70-3,67233-85-6,329-71-5,LVDKZNITIUWNER-UHFFFAOYSA-N,DOULWWSSZVEPIN-UHFFFAOYSA-N,YBUGOACXDPDUIR-UHFFFAOYSA-N,KXKCTSZYNCDFFG-UHFFFAOYSA-N,UWEZBKLLMKVIPI-UHFFFAOYSA-N,DTXSID8024652,DTXSID90891449,DTXSID80166133,DTXSID0035790,DTXSID9022021,-10.91,-10.45,-5.73,-8.35,-6.18,-8.1,-8.98,-5.54,-6.71,-6.21,2,1,0.565979979193007,0,3356.031818,0,4,1.41937660463718,71.0786501710744
DTXSID2021284,-2.56,-2.56,[-2.63:-2.49],1,1,0.958,100-42-5,496-11-7,544-25-2,71-43-2,108-88-3,PPBRXRYQALVLMV-UHFFFAOYSA-N,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,CHVJITGCYZJHLR-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,DTXSID2021284,DTXSID4052132,DTXSID5073909,DTXSID3039242,DTXSID7021360,-2.56,-3.7,-2.33,-2.26,-2.18,-2.64,-2.21,-2.29,-2.28,-2.26,0,0.593,0.9375,0,1209.658639,0,0,1.36672817211225,23.3431704160908
DTXSID9029302,NaN,-4.53,[-5.01:-4.05],1,0.818,0.776,143-08-8,112-30-1,111-87-5,1724-39-6,123-96-6,ZWRUINPWMLAQRD-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,SFVWPXMPRCIVOK-UHFFFAOYSA-N,SJWFXCIHNDVPSH-UHFFFAOYSA-N,DTXSID6022008,DTXSID7021946,DTXSID7021940,DTXSID1027429,DTXSID0027014,-4.3,-4.49,-4.61,-5.53,-3.91,-4.26,-4.89,-4.2,-4.6,-4.32,1,0.41,1.0563282383091,0,2039.108498,0,1,1.15548126688857,71.1633731757671
DTXSID0051499,NaN,-5.03,[-5.18:-4.88],1,0.899,0.903,100-71-0,536-78-7,536-75-4,108-99-6,108-89-4,NRGGMCIBEHEAIL-UHFFFAOYSA-N,MFEIKQPHQINPRI-UHFFFAOYSA-N,VJXRKZJMGVSXPX-UHFFFAOYSA-N,ITQTTZVARXURQS-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,DTXSID4021844,DTXSID6060212,DTXSID60873555,DTXSID9021897,DTXSID4021892,-4.78,-4.98,-5.07,-5.11,-5.22,-5.08,-5.02,-4.97,-5.11,-5.05,0,0.766,0.778225806451613,0,1211.410227,0,1,1.55125006651353,22.7570561028238
DTXSID0020153,-3.35,-3.31,[-3.35:-3.11],1,1,0.806,100-44-7,106-43-4,108-41-8,95-49-8,108-90-7,KCXMKQUNVWSEMD-UHFFFAOYSA-N,NPDACUSDTOMAMK-UHFFFAOYSA-N,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,IBSQPLPBRSHTTG-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,DTXSID0020153,DTXSID8024814,DTXSID4052841,DTXSID8023977,DTXSID4020298,-3.35,-2.47,-1.8,-2.45,-2.51,-2.29,-2.43,-2.68,-2.51,-2.52,0,0.71,0.472163813634708,0,1770.678169,0,0,1.29364012054704,22.7644470574946
DTXSID5021839,NaN,-5.66,[-5.78:-5.52],1,0.8,0.835,106-49-0,108-44-1,95-64-7,95-68-1,95-53-4,RZXMPPFPUUCRFN-UHFFFAOYSA-N,JJYPMNFTHPTTDI-UHFFFAOYSA-N,DOLQYFPDPKPQSS-UHFFFAOYSA-N,CZZZABOKJQXEBO-UHFFFAOYSA-N,RNVCVTLRINQCPJ-UHFFFAOYSA-N,DTXSID6021872,DTXSID1026792,DTXSID3026308,DTXSID8026305,DTXSID1026164,-5.69,-5.78,-5.73,-5.39,-5.7,-5.7,-5.67,-5.09,-5.19,-5.44,1,0.803,1.41740900992619,0,1283.852855,0,1,1.47861228597622,24.9286980079497
DTXSID7021491,-4.28,-4.29,[-4.33:-4.25],1,1,0.896,100-47-0,529-19-1,100-52-7,104-87-0,107-13-1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,NWPNXBQSRGKSJB-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,FXLOVSHXALFLKQ-UHFFFAOYSA-N,NLHHRLWOUZZQLW-UHFFFAOYSA-N,DTXSID7021491,DTXSID6022050,DTXSID8039241,DTXSID9041520,DTXSID5020029,-4.28,-4.89,-4.57,-4.77,-3.86,-4.7,-4.66,-4.82,-4.79,-4.32,0,1.052,0.473363037582333,0,1207.146071,0,1,1.60203301351455,22.469939438727
DTXSID9041528,-6.03,-6.06,[-6.21:-5.91],1,1,0.889,100-48-1,100-54-9,872-85-5,500-22-1,119-65-3,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,BGUWFUQJCDRPTL-UHFFFAOYSA-N,QJZUKDFHGGYHMC-UHFFFAOYSA-N,AWJUIBRHMBBTKR-UHFFFAOYSA-N,DTXSID9041528,DTXSID1026665,DTXSID1061237,DTXSID2022044,DTXSID2047644,-6.03,-6.56,-6.75,-6.82,-3.72,-6.41,-6.04,-6.56,-6.51,-5.35,0,1.225,0.65228121664888,0,1208.897659,0,2,1.85293565261089,22.2618835091094
DTXSID1026661,NaN,-4.54,[-4.98:-4.1],1,0.802,0.784,142-83-6,505-57-7,104-87-0,100-52-7,66-25-1,BATOPAZDIZEVQF-UHFFFAOYSA-N,MBDOYVRWFFCFHM-UHFFFAOYSA-N,FXLOVSHXALFLKQ-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,JARKCYVAAOWBJS-UHFFFAOYSA-N,DTXSID2025391,DTXSID7021609,DTXSID9041520,DTXSID8039241,DTXSID2021604,-5.01,-4.31,-4.77,-4.57,-3.67,-4.33,-3.91,-4.79,-4.82,-3.7,0,0.833,0.482303399372137,0,1426.570583,0,1,1.3012365060908,29.1768729027876
DTXSID5020152,-6.47,-6.46,[-6.47:-6.38],1,1,0.894,100-51-6,106-44-5,108-39-4,95-48-7,108-68-9,WVDDGKGOMKODPV-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,RLSSMJSEOOYNOY-UHFFFAOYSA-N,QWVGKYWNOKOFNN-UHFFFAOYSA-N,TUAMRELNJMMDMT-UHFFFAOYSA-N,DTXSID5020152,DTXSID7021869,DTXSID6024200,DTXSID8021808,DTXSID1025148,-6.47,-6,-6.07,-5.92,-6.21,-6.06,-6.18,-6.16,-6.19,-6.04,1,0.875,0.985442587613918,0,1317.565463,0,1,1.34790266197748,24.4766665525138
DTXSID8039241,-4.57,-4.58,[-4.62:-4.54],1,1,0.928,100-52-7,104-87-0,100-47-0,529-19-1,104-55-2,HUMNYLRZRPPJDN-UHFFFAOYSA-N,FXLOVSHXALFLKQ-UHFFFAOYSA-N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,NWPNXBQSRGKSJB-UHFFFAOYSA-N,KJPRLNWUNMBNBZ-UHFFFAOYSA-N,DTXSID8039241,DTXSID9041520,DTXSID7021491,DTXSID6022050,DTXSID1024835,-4.57,-4.77,-4.28,-4.89,-5.3,-4.82,-4.79,-4.7,-4.66,-4.51,0,1.048,0.464294496151432,0,1279.212071,0,1,1.370028239587,22.8557213151496
DTXSID6026664,NaN,-3.39,[-3.51:-3.26],1,0.704,0.814,108-98-5,92-52-4,91-57-6,1127-76-0,939-27-5,RMVRSNDYEFQCLF-UHFFFAOYSA-N,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,ZMXIYERNXPIYFR-UHFFFAOYSA-N,RJTJVVYSTUQWNI-UHFFFAOYSA-N,DTXSID7026811,DTXSID4020161,DTXSID4020878,DTXSID10870852,DTXSID9061330,-3.48,-3.51,-3.29,-3.16,-3.27,-3.1,-3.7,-3.35,-3.37,-3.35,0,1.271,0.952927009476471,0,1703.382805,0,0,1.54578262306936,22.9110068566071
DTXSID1026665,-6.56,-6.53,[-6.68:-6.38],1,1,0.87,100-54-9,100-48-1,872-85-5,500-22-1,119-65-3,GZPHSAQLYPIAIN-UHFFFAOYSA-N,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,BGUWFUQJCDRPTL-UHFFFAOYSA-N,QJZUKDFHGGYHMC-UHFFFAOYSA-N,AWJUIBRHMBBTKR-UHFFFAOYSA-N,DTXSID1026665,DTXSID9041528,DTXSID1061237,DTXSID2022044,DTXSID2047644,-6.56,-6.03,-6.75,-6.82,-3.72,-6.04,-6.41,-6.56,-6.51,-5.35,0,1.225,0.652281216648879,0,1230.859647,0,2,1.85293565261089,21.8460009597063
DTXSID9021841,-5.05,-5.05,[-5.07:-5.03],1,1,0.925,100-61-8,103-69-5,109-96-6,111-49-9,110-89-4,AFBPFSWMIHJQDM-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,JVQIKJMSUIMUDI-UHFFFAOYSA-N,ZSIQJIWKELUFRJ-UHFFFAOYSA-N,NQRYJNQNLNOLGT-UHFFFAOYSA-N,DTXSID9021841,DTXSID1025271,DTXSID4059380,DTXSID1026879,DTXSID6021165,-5.05,-5.01,-5.7,-5.21,-5.35,-5.32,-5.8,-5.26,-6.31,-5.89,1,0.864,1.2382285568847,0,1274.753639,0,1,1.47861228597622,23.9678050185272
DTXSID4021842,NaN,-7.12,[-7.96:-6.28],1,0.706,0.687,96-29-7,65-85-0,103-82-2,13749-94-5,1119-49-9,WHIVNJATOVLWBW-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WLJVXDMOQOGPHL-UHFFFAOYSA-N,TYEVWCPZVQACAE-UHFFFAOYSA-N,GYLDXXLJMRTVSS-UHFFFAOYSA-N,DTXSID1021821,DTXSID6020143,DTXSID2021656,DTXSID7027754,DTXSID2061511,-5.91,-7.24,-7.22,-7.2,-8.44,-6.07,-7.3,-7,-6.8,-7.28,1,0.75,0.657704878236516,1,1480.578591,0,2,1.29903079521388,27.8115691130251
DTXSID0034857,-9.18,-9.18,[-9.24:-9.12],1,1,0.858,100646-51-3,66441-23-4|71283-80-2,175013-18-0,55512-33-9,67747-09-5,OSUHJPCHFDQAIT-UHFFFAOYSA-N,PQKBPHSEKWERTG-UHFFFAOYSA-N,HZRSNVGNWUDEFX-UHFFFAOYSA-N,JTZCTMAVMHRNTR-UHFFFAOYSA-N,TVLSRXXIMLFWEO-UHFFFAOYSA-N,DTXSID0034857,DTXSID2032392|DTXSID2034598,DTXSID7032638,DTXSID2032639,DTXSID4024270,-9.18,-8.18,-10.28,-8.92,-7.79,-8.5,-8.82,-8.18,-8.44,-8.76,0,2.436,0.783567766080949,1,7493.24742000001,0,6,1.46069478242866,226.284070670461
DTXSID4041608,-3.5,-3.5,[-3.59:-3.41],1,1,0.849,100-66-3,103-73-1,108-75-8,104-90-5,100-71-0,RDOXTESZEPMUJZ-UHFFFAOYSA-N,DLRJIFUOBPOJNS-UHFFFAOYSA-N,BWZVCCNYKMEVEX-UHFFFAOYSA-N,NTSLROIKFLNUIJ-UHFFFAOYSA-N,NRGGMCIBEHEAIL-UHFFFAOYSA-N,DTXSID4041608,DTXSID7059278,DTXSID1051561,DTXSID7021861,DTXSID4021844,-3.5,-3.35,-3.76,-4.72,-4.78,-4.23,-4.28,-5.06,-4.59,-5.08,0,0.738,0.855342878494211,0,1299.358967,0,1,1.34790266197748,22.8059471474232
DTXSID1026667,NaN,-5.03,[-5.18:-4.88],1,0.899,0.903,108-99-6,108-89-4,100-71-0,536-78-7,536-75-4,ITQTTZVARXURQS-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,NRGGMCIBEHEAIL-UHFFFAOYSA-N,MFEIKQPHQINPRI-UHFFFAOYSA-N,VJXRKZJMGVSXPX-UHFFFAOYSA-N,DTXSID9021897,DTXSID4021892,DTXSID4021844,DTXSID6060212,DTXSID60873555,-5.11,-5.22,-4.78,-4.98,-5.07,-5.11,-5.05,-5.08,-5.02,-4.97,0,0.766,0.778225806451613,0,1226.305127,0,1,1.55125006651353,22.3708175428697
DTXSID0037495,-9.82,-9.82,[-9.82:-9.75],1,1,0.829,1007-28-9,6190-65-4,30125-63-4,1014-69-3,122-34-9,IVENSCMCQBJAKW-UHFFFAOYSA-N,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,LMKQNTMFZLAJDV-UHFFFAOYSA-N,HCRWJJJUKUVORR-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,DTXSID0037495,DTXSID5037494,DTXSID80184211,DTXSID6041842,DTXSID4021268,-9.82,-8.82,-8.35,-9.32,-9.26,-8.87,-9.05,-9.11,-8.42,-8.4,2,2.222,1.07193481483314,0,2681.507994,0,5,1.52816135645616,41.2285663368511
