MoleculeID,FUB_exp,FUB_pred,FUB_predRange,AD_FUB,AD_index_FUB,Conf_index_FUB,FUB_CAS_neighbor_1,FUB_CAS_neighbor_2,FUB_CAS_neighbor_3,FUB_CAS_neighbor_4,FUB_CAS_neighbor_5,FUB_InChiKey_neighbor_1,FUB_InChiKey_neighbor_2,FUB_InChiKey_neighbor_3,FUB_InChiKey_neighbor_4,FUB_InChiKey_neighbor_5,FUB_DTXSID_neighbor_1,FUB_DTXSID_neighbor_2,FUB_DTXSID_neighbor_3,FUB_DTXSID_neighbor_4,FUB_DTXSID_neighbor_5,FUB_Exp_neighbor_1,FUB_Exp_neighbor_2,FUB_Exp_neighbor_3,FUB_Exp_neighbor_4,FUB_Exp_neighbor_5,FUB_pred_neighbor_1,FUB_pred_neighbor_2,FUB_pred_neighbor_3,FUB_pred_neighbor_4,FUB_pred_neighbor_5,XLogP,CrippenLogP,nBase,ALogP,AATS2e,AATS1i,AATS4v,nAromBond,ATSC0m,nwHBa,nHBAcc,ATS5p,SpMax2_Bhv,AATS5p,piPC5,ETA_BetaP_ns,R_TpiPCTPC,nHBint3,naaN,ETA_Beta,nN,SpMax3_Bhv,ATSm5,nF8Ring
DTXSID1049433,NaN,0.48,[0.26:0.7],1,0.434,0.476,101-42-8,150-68-5,103-90-2,94-09-7,3440-28-6,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,BMLIZLVNXIYGCK-UHFFFAOYSA-N,RZVAJINKPMORJF-UHFFFAOYSA-N,BLFLLBZGZJTVJG-UHFFFAOYSA-N,CWXYHOHYCJXYFQ-UHFFFAOYSA-N,DTXSID7037551,DTXSID0020311,DTXSID2020006,DTXSID8021804,DTXSID0045626,0.56,0.46,0.85,0.34,0.17,0.48,0.42,0.39,0.29,0.34,0.906,1.68888,0,1.3266,7.76146594871795,149.811186019887,161.242903021195,6,761.159425090909,7,3,42.034209098792,3.46532048094967,1.20097740282263,4.59701199828663,0.625,3.625,0,0,15,2,2.72109168590258,10.8306377766739,0
DTXSID3020885,NaN,0.98,[0.96:1],1,0.27,0.696,111-46-6,23155-02-4,1596-84-5,106-65-0,60643-86-9,MTHSVFCYNBDYFN-UHFFFAOYSA-N,YMDXZJFXQJVXBF-UHFFFAOYSA-N,NOQGZXFMHARMLW-UHFFFAOYSA-N,MUXOBHXGJLMRAB-UHFFFAOYSA-N,PJDFLNIOAUIZSL-UHFFFAOYSA-N,DTXSID8020462,DTXSID4048480,DTXSID9020370,DTXSID5025152,DTXSID4041153,0.97,1,0.94,1,1,0.89,0.91,0.97,0.86,0.86,-0.57,-0.60152,0,-0.4888,8.20988294736842,156.617705164381,130.029663987942,0,562.142338357143,3,3,9.755049141396,2.91804836806786,0.812920761783,1.09861228866811,0.42857,1.46428571428571,0,0,7,1,2.38151911159754,4.10656101267351,0
DTXSID00888244,NaN,0.06,[0:0.13],1,0.377,0.688,CHEMBL426658,74150-27-9,1314883-11-8,CHEMBL335744,379247-46-8,OEIWNDGDGDPXIO-UHFFFAOYSA-N,MNWILJRMFGWJEX-UHFFFAOYSA-N,RTJQABCNNLMCJF-UHFFFAOYSA-N,MMCKTCYZCHRPQJ-UHFFFAOYSA-N,FSMZEHQTYAMEMO-UHFFFAOYSA-N,?,DTXSID8048280,?,?,?,0.01,0.05,0.19,0.02,0,0.06,0.04,0.07,0.04,0.05,4.147,4.20017,0,1.8709,7.94321643835617,146.572584241751,187.370482385177,16,2022.40966960976,12,5,133.70587680698,3.86891266278275,1.35056441219172,6.29307263836696,0.73958,16.4875726744186,1,2,32.5,3,3.54235573668472,48.2105960002588,0
DTXSID9025588,NaN,0.11,[0.02:0.2],1,0.436,0.663,91-64-5,140-10-3,65216-93-5,94-59-7,10441-27-7,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,WBYWAXJHAXSJNI-UHFFFAOYSA-N,PPGXDBJURPEKDZ-UHFFFAOYSA-N,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,BRQZHMHHZLRXOO-UHFFFAOYSA-N,DTXSID7020348,DTXSID5022489,DTXSID70215523,DTXSID0021254,DTXSID20419817,0.19,0.05,0.22,0.02,0.01,0.12,0.25,0.06,0.13,0.17,3.087,2.19879,0,2.7558,7.77054611764706,140.616853707057,164.103942941561,11,679.9522448,9,1,31.176785755094,3.36011967412031,1.15469576870719,5.12061014730483,0.75,5.87973484848485,0,0,16.25,0,2.84977680091561,10.9962759313977,0
DTXSID2027337,NaN,0.59,[0.34:0.84],1,0.383,0.446,4940-11-8,62571-86-2,125-64-4,1119-40-0,115-67-3,BDTOBOMFWCKGRG-UHFFFAOYSA-N,FAKRSMQSSFJEIM-UHFFFAOYSA-N,SIDLZWOQUZRBRU-UHFFFAOYSA-N,XTDYIOOONNVFMA-UHFFFAOYSA-N,VQASKUSHBVDKGU-UHFFFAOYSA-N,DTXSID5041516,DTXSID1037197,DTXSID7023306,DTXSID3025122,DTXSID8023420,0.61,0.27,0.4,0.7,1,0.68,0.45,0.4,0.94,0.85,1.255,1.13058,0,-0.589599999999999,7.94594547368421,147.696307832741,137.104121321092,0,954.929723333333,4,4,31.765010863641,3.36510431883468,0.992656589488781,3.29583686600433,0.375,1.87179487179487,0,0,11.25,0,2.96226020245034,10.9925518627954,0
DTXSID4020161,0.02,0.02,[0.02:0.02],1,1,0.995,92-52-4,90-43-7,86-73-7,6344-67-8,119-61-9,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,LLEMOWNGBBNAJR-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,PVUBSZGNXLNTLX-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,DTXSID4020161,DTXSID2021151,DTXSID8024105,DTXSID9047540,DTXSID0021961,0.02,0.04,0.02,0.02,0.07,0.03,0.02,0.03,0.03,0.02,3.962,3.402,0,3.3484,7.30558044444445,138.241395926044,175.201113327304,12,660.360049090909,12,0,45.911900818792,3.59799878039764,1.35035002408212,5.36422214143576,1,12.546875,0,0,18.5,0,2.88526494965087,10,0
DTXSID2046127,NaN,0.12,[0.03:0.23],1,0.424,0.645,131740-09-5|146426-40-6|,143322-58-1,59729-33-8,CHEMBL2017459,CHEMBL1938680,BIIVYFLTOXDAOV-UHFFFAOYSA-N,PWVXXGRKLHYWKM-UHFFFAOYSA-N,WSEQXVZVJXJVFP-UHFFFAOYSA-N,ZQXYAXCRCBTDIH-UHFFFAOYSA-N,CAIGVNVLJGDZSF-UHFFFAOYSA-N,DTXSID6048961| DTXSID20904970,DTXSID9046861,DTXSID8022826,?,?,0.06,0.15,0.32,0.04,0.03,0.22,0.19,0.18,0.04,0.05,3.555,3.55999,1,3.8639,7.75090277227724,145.012981785797,181.318812363283,16,1852.17642237037,15,3,187.117188776809,3.78947643334892,1.22298816193993,6.14055781691203,0.60714,7.7473443527001,0,0,35.25,2,3.50804954027352,45.8751970360772,0
DTXSID7027338,NaN,0.77,[0.62:0.91],0,0.23,0.534,637-92-3,78-93-3,994-05-8,1634-04-4,113-18-8,NUMQCACRALPSHD-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,HVZJRWJGKQPSFL-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,ZEHYJZXQEQOSON-UHFFFAOYSA-N,DTXSID0025604,DTXSID3021516,DTXSID8024521,DTXSID3020833,DTXSID2023010,0.76,0.87,0.81,0.91,0.46,0.72,0.78,0.74,0.78,0.46,1.95,2.29399,0,2.0319,7.68998677777778,144.650651156855,156.935284127605,0,1794.641196,2,0,7.028503649094,2.76651157264437,0.780944849899334,0,0.25,1.42857142857143,0,0,4.5,0,2.07301722010694,11.6647205472869,0
DTXSID4024640,NaN,0.02,[0.01:0.03],1,0.293,0.744,92-52-4,90-43-7,86-73-7,6344-67-8,92-84-2,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,LLEMOWNGBBNAJR-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,PVUBSZGNXLNTLX-UHFFFAOYSA-N,WJFKNYWRSNBZNX-UHFFFAOYSA-N,DTXSID4020161,DTXSID2021151,DTXSID8024105,DTXSID9047540,DTXSID5021126,0.02,0.04,0.02,0.02,0,0.03,0.02,0.03,0.03,0.02,4.76,4.1645,0,4.2242,7.40123277777778,137.36767350983,191.81702413173,12,5654.99325927272,12,0,49.891856508792,3.6243511041136,1.46740754437624,5.45478678459425,0.96154,12.6619604820628,0,0,19.5,0,2.94806614695051,16.6526754611446,0
DTXSID8074813,NaN,0.84,[0.78:0.9],0,0.304,0.666,637-92-3,994-05-8,1634-04-4,111-76-2,60-32-2,NUMQCACRALPSHD-UHFFFAOYSA-N,HVZJRWJGKQPSFL-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,SLXKOJJOQWFEFD-UHFFFAOYSA-N,DTXSID0025604,DTXSID8024521,DTXSID3020833,DTXSID1024097,DTXSID0020070,0.76,0.81,0.91,0.83,0.92,0.72,0.74,0.78,0.71,0.93,0.844,0.958,1,-0.00730000000000041,7.36743527272728,151.953156174317,73.6799902747819,0,530.835404105263,0,1,18.697886578188,2.9755456798669,0.7790786074245,0,0,1,0,0,3.25,1,2.40545458784129,2,0
