MoleculeID,BioDeg_exp,BioDeg_LogHalfLife_pred,BioDeg_predRange,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,BioDeg_CAS_neighbor_1,BioDeg_CAS_neighbor_2,BioDeg_CAS_neighbor_3,BioDeg_CAS_neighbor_4,BioDeg_CAS_neighbor_5,BioDeg_InChiKey_neighbor_1,BioDeg_InChiKey_neighbor_2,BioDeg_InChiKey_neighbor_3,BioDeg_InChiKey_neighbor_4,BioDeg_InChiKey_neighbor_5,BioDeg_DTXSID_neighbor_1,BioDeg_DTXSID_neighbor_2,BioDeg_DTXSID_neighbor_3,BioDeg_DTXSID_neighbor_4,BioDeg_DTXSID_neighbor_5,BioDeg_LogHalfLife_Exp_neighbor_1,BioDeg_LogHalfLife_Exp_neighbor_2,BioDeg_LogHalfLife_Exp_neighbor_3,BioDeg_LogHalfLife_Exp_neighbor_4,BioDeg_LogHalfLife_Exp_neighbor_5,BioDeg_LogHalfLife_pred_neighbor_1,BioDeg_LogHalfLife_pred_neighbor_2,BioDeg_LogHalfLife_pred_neighbor_3,BioDeg_LogHalfLife_pred_neighbor_4,BioDeg_LogHalfLife_pred_neighbor_5,BCUTp_1l,IC2,nF6Ring,nT6Ring,ATSC1p,VP_6
DTXSID5020281,NaN,0.68,[0.52:0.84],0,0.295,0.65,103-65-1|,100-41-4|,622-96-8|,1074-17-5|,141-93-5|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID4061466|,DTXSID1022003|,0.6,0.9,0.6,0.48,0.85,0.61,0.63,0.62,0.57,0.66,3.6547066016628,2.95021206491475,0,1,0.516515434285715,0.184610039237566
DTXSID8020961,NaN,0.82,[0.6:1.04],0,0.254,0.571,103-65-1|,100-41-4|,622-96-8|,141-93-5|,1640-89-7|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID1022003|,DTXSID5075109|,0.6,0.9,0.6,0.85,1.18,0.61,0.63,0.62,0.66,0.49,3.62764385594062,2.75,0,1,0.865603995000001,0.126914280576454
DTXSID0021834,NaN,0.61,[0.48:0.76],0,0.266,0.648,103-65-1|,1074-17-5|,622-96-8|,100-41-4|,620-14-4|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID9029194|,DTXSID3020596|,DTXSID6050386|,0.6,0.48,0.6,0.9,0.48,0.61,0.57,0.62,0.63,0.58,3.608283959837,3.10689059560852,0,1,0.763930990666666,0.113423261739291
DTXSID3032622,NaN,0.63,[0.48:0.87],0,0.357,0.603,103-65-1|,21964-49-8|,1074-17-5|,591-76-4|,592-27-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID5052256|,DTXSID2060460|,0.6,1.11,0.48,0.48,0.48,0.61,0.59,0.57,0.84,0.61,3.98255947691588,3.18872187554087,0,0,-0.158632533333333,0
DTXSID2044347,NaN,0.69,[0.48:0.93],1,0.388,0.619,103-65-1|,21964-49-8|,1074-17-5|,2213-23-2|,592-27-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID10862873|,DTXSID2060460|,0.6,1.11,0.48,0.78,0.48,0.61,0.59,0.57,0.52,0.61,4.47018766453766,3.36804242257272,0,1,-0.486413559999992,0.239426596523317
DTXSID9059204,NaN,0.66,[0.48:0.89],1,0.446,0.647,103-65-1|,21964-49-8|,1074-17-5|,622-96-8|,620-14-4|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID9029194|,DTXSID6050386|,0.6,1.11,0.48,0.6,0.48,0.61,0.59,0.57,0.62,0.58,4.73546853399547,3.23909791798879,0,1,-0.397758540666662,0.250423693268381
DTXSID4059205,NaN,0.55,[0.49:0.6],0,0.384,0.748,103-65-1|,1074-17-5|,620-14-4|,622-96-8|,611-14-3|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID6050386|,DTXSID9029194|,DTXSID2050403|,0.6,0.48,0.48,0.6,0.6,0.61,0.57,0.58,0.62,0.54,4.07668847749821,3.36609132911919,0,1,-0.100431209052624,0.194024472850711
DTXSID80889259,NaN,0.55,[0.49:0.6],1,0.56,0.804,1074-17-5|,620-14-4|,103-65-1|,611-14-3|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID3042219|,DTXSID2050403|,DTXSID0061246|,0.48,0.48,0.6,0.6,0.6,0.57,0.58,0.61,0.54,0.54,5.17079960484662,3.35764392601285,0,0,0.0954145423323728,0.234708048410644
DTXSID7030698,NaN,2.37,[2.15:2.55],0,0.194,0.576,189-55-9|,193-39-5|,2381-21-7|,50-32-8|,207-08-9|,TUGYIJVAYAHHHM-UHFFFAOYSA-N,SXQBHARYMNFBPS-UHFFFAOYSA-N,KBSPJIWZDWBDGM-UHFFFAOYSA-N,FMMWHPNWAFZXNH-UHFFFAOYSA-N,HAXBIWFMXWRORI-UHFFFAOYSA-N,DTXSID9059751|,DTXSID8024153|,DTXSID0025654|,DTXSID2020139|,DTXSID0023909|,2.47,2.52,1.96,2.35,2.55,2.66,2.65,2.13,2.17,2.19,4.56884572029111,3.40398944648526,0,6,0.663030471195926,3.96143568962978
DTXSID2026652,NaN,0.9,[0.62:1.18],1,0.725,0.712,583-57-3|,526-73-8|,95-63-6|,95-47-6|,108-38-3|,KVZJLSYJROEPSQ-UHFFFAOYSA-N,FYGHSUNMUKGBRK-UHFFFAOYSA-N,GWHJZXXIDMPWGX-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,DTXSID50858730|,DTXSID8047769|,DTXSID6021402|,DTXSID3021807|,DTXSID6026298|,1.26,0.6,0.6,0.78,1,0.82,0.81,0.69,0.73,0.82,6.14929908599411,2.47290559532006,0,1,1.73749903353837e-14,0.508594474354403
DTXSID6026080,NaN,0.82,[0.61:1.03],0,0.283,0.581,103-65-1|,100-41-4|,622-96-8|,141-93-5|,1640-89-7|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID1022003|,DTXSID5075109|,0.6,0.9,0.6,0.85,1.18,0.61,0.63,0.62,0.66,0.49,4.0930234375,2.72548055699787,0,1,0.826189790222227,0.209160904409653
DTXSID0021836,NaN,0.72,[0.42:1.02],0,0.263,0.529,103-65-1|,100-41-4|,1640-89-7|,1678-91-7|,622-96-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,IIEWJVIFRVWJOD-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID5075109|,DTXSID1051779|,DTXSID9029194|,0.6,0.9,1.18,0.3,0.6,0.61,0.63,0.49,0.7,0.62,3.61079612080519,2.5,0,1,0.750002010000002,0.202164357431371
DTXSID80883636,NaN,0.62,[0.48:0.81],0,0.179,0.584,591-76-4|,592-27-8|,589-81-1|,589-34-4|,3221-61-2|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID3044334|,DTXSID30863125|,0.48,0.48,0.48,0.95,0.7,0.84,0.61,0.65,0.74,0.56,4.22440841717093,2.67239910455646,0,0,-2.38322471814399,0.129806461318767
DTXSID30893604,NaN,0.53,[0.48:0.59],0,0.184,0.677,1074-17-5|,620-14-4|,874-41-9|,103-65-1|,1758-88-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,AXIUBBVSOWPLDA-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID0061246|,DTXSID3042219|,DTXSID0061951|,0.48,0.48,0.6,0.6,0.48,0.57,0.58,0.54,0.61,0.59,3.48525570544903,5.07739262555969,0,2,0.0176208045192919,2.35877779688246
DTXSID90143117,NaN,0.65,[0.48:0.89],1,0.356,0.599,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,21964-49-8|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,DTXSID80176373|,0.48,0.48,0.48,0.7,1.11,0.84,0.61,0.65,0.56,0.59,3.97724644607366,3.18872187554087,0,0,-0.721495888666666,0.024961269937144
DTXSID7057606,NaN,0.62,[0.48:0.81],0,0.435,0.666,591-76-4|,589-34-4|,589-81-1|,592-27-8|,2216-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DOGIHOCMZJUJNR-UHFFFAOYSA-N,DTXSID5052256|,DTXSID3044334|,DTXSID90862250|,DTXSID2060460|,DTXSID90862876|,0.48,0.95,0.48,0.48,0.7,0.84,0.74,0.65,0.61,0.5,4.88130672889265,2.68872187554087,0,0,-1.00261103548844,0
DTXSID5021837,NaN,0.62,[0.48:0.81],0,0.335,0.636,591-76-4|,592-27-8|,589-81-1|,589-34-4|,3221-61-2|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID3044334|,DTXSID30863125|,0.48,0.48,0.48,0.95,0.7,0.84,0.61,0.65,0.74,0.56,4.06830918955784,2.91401630350684,0,0,-1.08230882190363,0
DTXSID10143255,NaN,0.49,[0.38:0.6],0,0.256,0.676,1074-17-5|,103-65-1|,874-35-1|,620-14-4|,622-96-8|,YQZBFMJOASEONC-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,RFXBCGVZEJEYGG-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,DTXSID4061466|,DTXSID3042219|,DTXSID5061245|,DTXSID6050386|,DTXSID9029194|,0.48,0.6,0.3,0.48,0.6,0.57,0.61,0.44,0.58,0.62,4.082126953125,3.64697420724848,0,0,0.983593146167465,0.390636958553309
DTXSID3021437,NaN,0.59,[0.49:0.69],1,0.856,0.868,611-14-3|,933-98-2|,1758-88-9|,620-14-4|,874-41-9|,HYFLWBNQFMXCPA-UHFFFAOYSA-N,QUBBAXISAHIDNM-UHFFFAOYSA-N,AXIUBBVSOWPLDA-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID2050403|,DTXSID00865479|,DTXSID0061951|,DTXSID6050386|,DTXSID0061246|,0.6,0.78,0.48,0.48,0.6,0.54,0.53,0.59,0.58,0.54,5.53627744706638,3.24643934467101,0,1,6.0507154842071e-15,0.157134840263677
DTXSID3020596,0.9,0.9,[0.88:0.9],1,1,0.919,100-41-4|,141-93-5|,622-96-8|,103-65-1|,934-74-7|,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,LMAUULKNZLEMGN-UHFFFAOYSA-N,DTXSID3020596|,DTXSID1022003|,DTXSID9029194|,DTXSID3042219|,DTXSID1061316|,0.9,0.85,0.6,0.6,0.3,0.63,0.66,0.62,0.61,0.7,5.43995969029536,2.77440191928877,0,1,3.71924713249427e-15,0.12392834129449
DTXSID20143261,NaN,0.55,[0.49:0.6],0,0.281,0.712,1074-17-5|,620-14-4|,103-65-1|,611-14-3|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID3042219|,DTXSID2050403|,DTXSID0061246|,0.48,0.48,0.6,0.6,0.6,0.57,0.58,0.61,0.54,0.54,3.93365728657464,4.18083298720544,0,1,0.521237064769239,0.359742604936715
DTXSID2021284,NaN,0.81,[0.61:1],1,0.753,0.759,100-41-4|,141-93-5|,108-38-3|,622-96-8|,934-74-7|,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,LMAUULKNZLEMGN-UHFFFAOYSA-N,DTXSID3020596|,DTXSID1022003|,DTXSID6026298|,DTXSID9029194|,DTXSID1061316|,0.9,0.85,1,0.6,0.3,0.63,0.66,0.82,0.62,0.7,5.47908917421158,2.72721700146248,0,1,2.66453525910038e-15,0.0823979581996885
DTXSID9029302,NaN,0.73,[0.51:0.95],1,0.459,0.65,21964-49-8|,592-27-8|,3221-61-2|,2216-33-3|,103-65-1|,XMRSTLBCBDIKFI-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,SEEOMASXHIJCDV-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID80176373|,DTXSID2060460|,DTXSID30863125|,DTXSID30862875|,DTXSID3042219|,1.11,0.48,0.7,0.7,0.6,0.59,0.61,0.56,0.56,0.61,4.4835023706617,2.96774790684388,0,0,-0.215744515356194,0.423998547955364
DTXSID0051499,NaN,0.59,[0.48:0.7],1,0.576,0.771,611-14-3|,620-14-4|,933-98-2|,1758-88-9|,103-65-1|,HYFLWBNQFMXCPA-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,QUBBAXISAHIDNM-UHFFFAOYSA-N,AXIUBBVSOWPLDA-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID2050403|,DTXSID6050386|,DTXSID00865479|,DTXSID0061951|,DTXSID3042219|,0.6,0.48,0.78,0.48,0.6,0.54,0.58,0.53,0.59,0.61,5.45824428169739,3.24022392894185,0,1,-0.288513061999998,0.0638251839737777
DTXSID0020153,NaN,0.69,[0.43:0.95],1,0.691,0.708,108-88-3|,100-41-4|,108-38-3|,108-87-2|,95-63-6|,YXFVVABEGXRONW-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,UAEPNZWRGJTJPN-UHFFFAOYSA-N,GWHJZXXIDMPWGX-UHFFFAOYSA-N,DTXSID7021360|,DTXSID3020596|,DTXSID6026298|,DTXSID0047749|,DTXSID6021402|,0.3,0.9,1,0.6,0.6,0.78,0.63,0.82,0.61,0.69,5.55999905668611,2.5492553971685,0,1,2.77555756156289e-15,0.134448001800126
DTXSID5021839,NaN,0.9,[0.6:1.25],0,0.43,0.591,100-41-4|,103-65-1|,141-93-5|,622-96-8|,644-08-6|,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ZZLCFHIKESPLTH-UHFFFAOYSA-N,DTXSID3020596|,DTXSID3042219|,DTXSID1022003|,DTXSID9029194|,DTXSID4047177|,0.9,0.6,0.85,0.6,1.58,0.63,0.61,0.66,0.62,1.18,5.08658996634051,2.77190237203856,0,1,0.499967520000003,0.0907218423253029
DTXSID7021491,NaN,0.81,[0.51:1.11],0,0.38,0.564,1640-89-7|,1678-91-7|,109-66-0|,100-41-4|,110-54-3|,IFTRQJLVEBNKJK-UHFFFAOYSA-N,IIEWJVIFRVWJOD-UHFFFAOYSA-N,OFBQJSOFQDEBGM-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,DTXSID5075109|,DTXSID1051779|,DTXSID2025846|,DTXSID3020596|,DTXSID0021917|,1.18,0.3,0.7,0.9,0.95,0.49,0.7,0.92,0.63,0.78,4.14059097870117,2.28778371994107,0,1,8.88178419700125e-16,0.0569202147049769
DTXSID9041528,NaN,0.63,[0.48:0.87],0,0.392,0.613,103-65-1|,591-76-4|,592-27-8|,21964-49-8|,589-81-1|,ODLMAHJVESYWTB-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,DTXSID3042219|,DTXSID5052256|,DTXSID2060460|,DTXSID80176373|,DTXSID90862250|,0.6,0.48,0.48,1.11,0.48,0.61,0.84,0.61,0.59,0.65,4.11974693869988,2.91829583405449,0,1,-0.24475933,0.0440902087229852
DTXSID1026661,NaN,0.55,[0.49:0.6],0,0.352,0.737,103-65-1|,1074-17-5|,620-14-4|,622-96-8|,611-14-3|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID6050386|,DTXSID9029194|,DTXSID2050403|,0.6,0.48,0.48,0.6,0.6,0.61,0.57,0.58,0.62,0.54,3.85227898971211,3.39214722366453,0,1,4.05231403988182e-15,0.12392834129449
DTXSID5020152,NaN,0.82,[0.61:1.03],0,0.369,0.612,103-65-1|,100-41-4|,622-96-8|,141-93-5|,1640-89-7|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID1022003|,DTXSID5075109|,0.6,0.9,0.6,0.85,1.18,0.61,0.63,0.62,0.66,0.49,4.27359093559762,2.72721700146248,0,1,0.388302838000002,0.0804973396089668
DTXSID8039241,NaN,0.77,[0.52:1.02],0,0.337,0.579,100-41-4|,103-65-1|,1640-89-7|,591-76-4|,3221-61-2|,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID3020596|,DTXSID3042219|,DTXSID5075109|,DTXSID5052256|,DTXSID30863125|,0.9,0.6,1.18,0.48,0.7,0.63,0.61,0.49,0.84,0.56,3.79509128041466,2.49560292372901,0,1,6.66133814775094e-16,0.0632261770809832
DTXSID6026664,NaN,1.25,[0.88:1.62],0,0.409,0.55,3522-94-9|,1069-53-0|,68333-81-3|,540-84-1|,560-21-4|,HHOSMYBYIHNXNO-UHFFFAOYSA-N,ODGLTLJZCVNPBU-UHFFFAOYSA-N,DUPUVYJQZSLSJB-UHFFFAOYSA-N,NHTMVDHEPJAVLT-UHFFFAOYSA-N,OKVWYBALHQFVFP-UHFFFAOYSA-N,DTXSID0073326|,DTXSID70870833|,DTXSID5029429|,DTXSID7024370|,DTXSID2060333|,1.26,0.9,0.78,1.6,1.72,1.18,1.53,0.78,1.36,1.25,6.58845609014676,2.72721700146248,0,1,-0.711528554999996,0.150770176501597
DTXSID1026665,NaN,0.65,[0.48:0.88],0,0.375,0.628,103-65-1|,1074-17-5|,622-96-8|,620-14-4|,21964-49-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID9029194|,DTXSID6050386|,DTXSID80176373|,0.6,0.48,0.6,0.48,1.11,0.61,0.57,0.62,0.58,0.59,4.09890322556357,3.25162916738782,0,1,-0.24475933,0.0440902087229852
DTXSID9021841,NaN,0.77,[0.64:0.9],1,0.661,0.776,100-41-4|,141-93-5|,103-65-1|,622-96-8|,934-80-5|,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,SBUYFICWQNHBCM-UHFFFAOYSA-N,DTXSID3020596|,DTXSID1022003|,DTXSID3042219|,DTXSID9029194|,DTXSID6061317|,0.9,0.85,0.6,0.6,0.7,0.63,0.66,0.61,0.62,0.55,5.27140605872016,2.72749722485247,0,1,-0.0718604699999969,0.0876305705105348
DTXSID4021842,NaN,0.73,[0.6:0.86],0,0.337,0.676,103-65-1|,100-41-4|,622-96-8|,141-93-5|,934-80-5|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,SBUYFICWQNHBCM-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID1022003|,DTXSID6061317|,0.6,0.9,0.6,0.85,0.7,0.61,0.63,0.62,0.66,0.55,4.01093496871468,2.80004461847901,0,1,0.42151355357895,0.129056941504209
DTXSID0034857,NaN,0.69,[0.48:0.93],0,0.201,0.557,1074-17-5|,21964-49-8|,620-14-4|,2213-23-2|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID80176373|,DTXSID6050386|,DTXSID10862873|,DTXSID0061246|,0.48,1.11,0.48,0.78,0.6,0.57,0.59,0.58,0.52,0.54,4.40750312755401,4.32949127891768,0,3,-1.35794143561562,0.746604860054159
DTXSID4041608,NaN,0.56,[0.48:0.67],1,0.54,0.739,591-76-4|,589-81-1|,592-27-8|,3221-61-2|,2216-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DOGIHOCMZJUJNR-UHFFFAOYSA-N,DTXSID5052256|,DTXSID90862250|,DTXSID2060460|,DTXSID30863125|,DTXSID90862876|,0.48,0.48,0.48,0.7,0.7,0.84,0.65,0.61,0.56,0.5,4.65051780421614,2.55503653257727,0,1,-0.482480837999998,0.0715500612065977
DTXSID1026667,NaN,0.52,[0.48:0.58],1,0.562,0.802,1074-17-5|,620-14-4|,611-14-3|,1758-88-9|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,AXIUBBVSOWPLDA-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID2050403|,DTXSID0061951|,DTXSID0061246|,0.48,0.48,0.6,0.48,0.6,0.57,0.58,0.54,0.59,0.54,5.36677210452461,3.45656476213095,0,1,-0.288513061999998,0.0689374353319457
DTXSID0037495,NaN,0.52,[0.48:0.58],1,0.44,0.761,1074-17-5|,620-14-4|,611-14-3|,874-41-9|,1758-88-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,AXIUBBVSOWPLDA-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID2050403|,DTXSID0061246|,DTXSID0061951|,0.48,0.48,0.6,0.6,0.48,0.57,0.58,0.54,0.54,0.59,5.20492952606528,3.6818808028034,0,1,-0.461303789999995,0.207877654555541
