MoleculeID,BioDeg_exp,BioDeg_LogHalfLife_pred,BioDeg_predRange,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,BioDeg_CAS_neighbor_1,BioDeg_CAS_neighbor_2,BioDeg_CAS_neighbor_3,BioDeg_CAS_neighbor_4,BioDeg_CAS_neighbor_5,BioDeg_InChiKey_neighbor_1,BioDeg_InChiKey_neighbor_2,BioDeg_InChiKey_neighbor_3,BioDeg_InChiKey_neighbor_4,BioDeg_InChiKey_neighbor_5,BioDeg_DTXSID_neighbor_1,BioDeg_DTXSID_neighbor_2,BioDeg_DTXSID_neighbor_3,BioDeg_DTXSID_neighbor_4,BioDeg_DTXSID_neighbor_5,BioDeg_LogHalfLife_Exp_neighbor_1,BioDeg_LogHalfLife_Exp_neighbor_2,BioDeg_LogHalfLife_Exp_neighbor_3,BioDeg_LogHalfLife_Exp_neighbor_4,BioDeg_LogHalfLife_Exp_neighbor_5,BioDeg_LogHalfLife_pred_neighbor_1,BioDeg_LogHalfLife_pred_neighbor_2,BioDeg_LogHalfLife_pred_neighbor_3,BioDeg_LogHalfLife_pred_neighbor_4,BioDeg_LogHalfLife_pred_neighbor_5,BCUTp_1l,IC2,nF6Ring,nT6Ring,ATSC1p,VP_6
DTXSID40893655,NaN,2.33,[1.97:2.58],0,0.06,0.452,111-01-3|,14167-59-0|,630-05-7|,544-85-4|,630-04-6|,PRAKJMSDJKAYCZ-UHFFFAOYSA-N,GWVDBZWVFGFBCN-UHFFFAOYSA-N,SUJUOAZFECLBOA-UHFFFAOYSA-N,QHMGJGNTMQDRQA-UHFFFAOYSA-N,IUJAMGNYPWYUPM-UHFFFAOYSA-N,DTXSID0046513|,DTXSID7058622|,DTXSID5075444|,DTXSID5052202|,DTXSID0075443|,1.62,2.58,2.56,2.45,2.44,2.2,2.42,2.42,2.41,2.35,4.39062827281137,3.84651202211554,0,0,-2.7717810958479,14.4591410335419
DTXSID1040110,NaN,0.62,[0.48:0.81],0,0.319,0.63,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,589-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,DTXSID3044334|,0.48,0.48,0.48,0.7,0.95,0.84,0.61,0.65,0.56,0.74,3.87893330432979,2.9398290174664,0,0,-1.08005921261211,0
DTXSID5040752,NaN,0.57,[0.48:0.68],0,0.23,0.638,592-27-8|,591-76-4|,3221-61-2|,589-81-1|,2216-33-3|,JVSWJIKNEAIKJW-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,SEEOMASXHIJCDV-UHFFFAOYSA-N,DTXSID2060460|,DTXSID5052256|,DTXSID30863125|,DTXSID90862250|,DTXSID30862875|,0.48,0.48,0.7,0.48,0.7,0.61,0.84,0.56,0.65,0.56,4.581203125,2.53063906222957,0,0,-1.88922627571224,0.281649658092773
DTXSID9026716,NaN,0.62,[0.48:0.81],0,0.308,0.627,591-76-4|,592-27-8|,589-81-1|,589-34-4|,3221-61-2|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID3044334|,DTXSID30863125|,0.48,0.48,0.48,0.95,0.7,0.84,0.61,0.65,0.74,0.56,3.9191657922541,3.28063906222957,0,0,-1.01802441096225,0
DTXSID4091528,NaN,0.69,[0.48:0.93],0,0.206,0.559,1074-17-5|,21964-49-8|,620-14-4|,2213-23-2|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID80176373|,DTXSID6050386|,DTXSID10862873|,DTXSID0061246|,0.48,1.11,0.48,0.78,0.6,0.57,0.59,0.58,0.52,0.54,4.24604867979176,4.49689855545056,0,2,-1.28872942229986,0.5182996598231
DTXSID6032354,NaN,0.69,[0.48:0.93],0,0.206,0.559,1074-17-5|,21964-49-8|,620-14-4|,2213-23-2|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID80176373|,DTXSID6050386|,DTXSID10862873|,DTXSID0061246|,0.48,1.11,0.48,0.78,0.6,0.57,0.59,0.58,0.52,0.54,4.24604867979176,4.49689855545056,0,2,-1.28872942229986,0.5182996598231
DTXSID7021863,NaN,0.62,[0.48:0.81],0,0.249,0.607,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,589-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,DTXSID3044334|,0.48,0.48,0.48,0.7,0.95,0.84,0.61,0.65,0.56,0.74,4.094890625,2.97965869499932,0,0,-1.62547772980388,0.0980647246080531
DTXSID6040111,NaN,0.62,[0.48:0.81],0,0.312,0.628,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,589-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,DTXSID3044334|,0.48,0.48,0.48,0.7,0.95,0.84,0.61,0.65,0.56,0.74,4.03612017515611,3.24643934467101,0,0,-1.07215362926563,0.0721687836487032
DTXSID8020466,NaN,0.73,[0.51:0.95],1,0.688,0.735,2213-23-2|,2216-30-0|,15869-89-3|,589-34-4|,589-43-5|,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,HQZHQNKZOYIKQC-UHFFFAOYSA-N,HOAAQUNESXYFDT-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,HDGQICNBXPAKLR-UHFFFAOYSA-N,DTXSID10862873|,DTXSID70862874|,DTXSID70871244|,DTXSID3044334|,DTXSID60873237|,0.78,0.78,0.3,0.95,0.85,0.52,0.62,0.66,0.74,0.85,5.39656371039407,2.74643934467102,0,0,-0.575386870745635,0.0625
DTXSID6030607,NaN,0.62,[0.48:0.81],0,0.248,0.607,591-76-4|,589-34-4|,589-81-1|,592-27-8|,3221-61-2|,GXDHCNNESPLIKD-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID5052256|,DTXSID3044334|,DTXSID90862250|,DTXSID2060460|,DTXSID30863125|,0.48,0.95,0.48,0.48,0.7,0.84,0.74,0.65,0.61,0.56,4.752015625,2.52628048168362,0,0,-1.75979503740165,0.0481125224324688
