MoleculeID,ReadyBiodeg_exp,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg,ReadyBiodeg_CAS_neighbor_1,ReadyBiodeg_CAS_neighbor_2,ReadyBiodeg_CAS_neighbor_3,ReadyBiodeg_CAS_neighbor_4,ReadyBiodeg_CAS_neighbor_5,ReadyBiodeg_InChiKey_neighbor_1,ReadyBiodeg_InChiKey_neighbor_2,ReadyBiodeg_InChiKey_neighbor_3,ReadyBiodeg_InChiKey_neighbor_4,ReadyBiodeg_InChiKey_neighbor_5,ReadyBiodeg_DTXSID_neighbor_1,ReadyBiodeg_DTXSID_neighbor_2,ReadyBiodeg_DTXSID_neighbor_3,ReadyBiodeg_DTXSID_neighbor_4,ReadyBiodeg_DTXSID_neighbor_5,ReadyBiodeg_Exp_neighbor_1,ReadyBiodeg_Exp_neighbor_2,ReadyBiodeg_Exp_neighbor_3,ReadyBiodeg_Exp_neighbor_4,ReadyBiodeg_Exp_neighbor_5,ReadyBiodeg_pred_neighbor_1,ReadyBiodeg_pred_neighbor_2,ReadyBiodeg_pred_neighbor_3,ReadyBiodeg_pred_neighbor_4,ReadyBiodeg_pred_neighbor_5,GATS1m,MLFER_BO,BCUTp_1h,SpMax1_Bhs,GATS1p,MLFER_E,ATSC1e,ATS4m,hmax,ATSC2m
DTXSID6026080,2,1,1,0.759558987777935,0.879779493888967,100-21-0|,121-91-5|,99-06-9|,99-96-7|,88-99-3|,KKEYFWRCBNTPAC-UHFFFAOYSA-N,QQVIHTHCMHWDBS-UHFFFAOYSA-N,IJFXRHURBJZNAO-UHFFFAOYSA-N,FJKROLUGYXJWQN-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,DTXSID6026080|,DTXSID3021485|,DTXSID6021610|,DTXSID3026647|,DTXSID8021484|,1,1,1,1,1,1,1,1,1,1,0.723721139956403,0.788,8.1048612060304,4.71421247824744,0.825533373123361,0.896,-0.552871111111112,2102.173274,0.770961238662132,15.6524224691358
DTXSID0021836,1,0,1,0.747756492633551,0.873878246316776,100-25-4|,99-65-0|,528-29-0|,121-14-2|,610-39-9|,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,IZUKQUVSCNEFMJ-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,INYDMNPNDHRJQJ-UHFFFAOYSA-N,DTXSID0021836|,DTXSID9024065|,DTXSID4024066|,DTXSID0020529|,DTXSID8027240|,0,0,0,0,0,0,0,0,0,0,0.458340208227606,-0.326,7.60002222428042,4.76359170458488,0.775715234292695,1.218,1.188992,2109.740706,0.746306689342404,13.7061435
DTXSID80883636,NaN,0,1,0.494419877697971,0.553496995487589,111-96-6|,5332-73-0|,123-91-1|,2426-08-6|,110-91-8|,SBZXBUIDTXKZTM-UHFFFAOYSA-N,FAXDZWQIWUSWJH-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,YSUQLAYJZDEMOT-UHFFFAOYSA-N,YNAVUWVOSKDBBP-UHFFFAOYSA-N,DTXSID1024621|,DTXSID7027596|,DTXSID4020533|,DTXSID9024691|,DTXSID2025688|,0,0,0,1,0,0,0,1,0,0,1.07057533491508,0.742,6.12737970724357,3.7218231768704,2.07159313877258,0.082,-0.0273399999999984,1337.76503,0.601111111111111,-326.517534656805
DTXSID30893604,NaN,0,1,0.288308537761163,0.644154268880581,84-57-1|,82-49-5|,117-62-4|,28096-93-7|,2104-64-5|,KCEIVWKDBLAQKL-UHFFFAOYSA-N,JAJIPIAHCFBEPI-UHFFFAOYSA-N,YAIKCRUPEVOINQ-UHFFFAOYSA-N,REJHVSOVQBJEBF-UHFFFAOYSA-N,AIGRXSNSLVJMEA-UHFFFAOYSA-N,DTXSID8058906|,DTXSID8058877|,DTXSID0045040|,DTXSID60182371|,DTXSID7022174|,0,0,0,0,0,0,0,0,0,0,0.60540944598309,2.533,11.6905187857991,5.60205608352249,0.989003772066374,2.031,0.15063999626545,12643.3796574362,1.41859270977875,594.240848844161
DTXSID90143117,NaN,1,1,0.535414818865872,0.767707409432936,98-01-1|,674-82-8|,17747-43-2|,2549-51-1|,123-11-5|,HYBBIBNJHNGZAN-UHFFFAOYSA-N,WASQWSOJHCZDFK-UHFFFAOYSA-N,QZDWODWEESGPLC-UHFFFAOYSA-N,XJELOQYISYPGDX-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,DTXSID1020647|,DTXSID9027289|,DTXSID20170315|,DTXSID0062509|,DTXSID2026997|,1,1,1,1,1,1,1,1,1,1,0.60511245037411,0.377,7.15799342655421,4.35420186997521,1.23854517117592,0.585,-0.134244,677.909883,0.7925,182.047648333333
DTXSID7057606,NaN,0,1,0.509005670271008,0.754502835135504,108-00-9|,111-18-2|,6291-84-5|,10315-98-7|,373-44-4|,DILRJUIACXKSQE-UHFFFAOYSA-N,TXXWBTOATXBWDR-UHFFFAOYSA-N,QHJABUZHRJTCAR-UHFFFAOYSA-N,QKVSMSABRNCNRS-UHFFFAOYSA-N,PWGJDPKCLMLPJW-UHFFFAOYSA-N,DTXSID7059357|,DTXSID5033701|,DTXSID5064201|,DTXSID30145675|,DTXSID9073173|,0,0,1,0,1,0,0,1,0,1,1.43967017395003,1.205,8.18225462267525,3.72561649879886,1.7759753137707,0.345,-0.0251751111111084,1152.762117,0.451666666666667,-142.189677
DTXSID5021837,1,0,1,0.56659565332558,0.78329782666279,100-37-8|,4620-70-6|,102-81-8|,108-01-0|,7580-85-0|,BFSVOASYOCHEOV-UHFFFAOYSA-N,IUXYVKZUDNLISR-UHFFFAOYSA-N,IWSZDQRGNFLMJS-UHFFFAOYSA-N,UEEJHVSXFDXPFK-UHFFFAOYSA-N,BDLXTDLGTWNUFM-UHFFFAOYSA-N,DTXSID5021837|,DTXSID1044431|,DTXSID2024953|,DTXSID2020505|,DTXSID4073384|,0,0,0,1,0,0,0,0,1,0,1.3232871778158,1.03,8.02737939748165,4.28400245949468,1.81706995874912,0.35,-0.0667256635160656,1184.462757,0.672083333333333,-160.841140599243
DTXSID10143255,NaN,1,0,0.215907521900754,0.414240817588981,60-00-4|,2809-21-4|,NOCAS_859634|,50-99-7|,50-70-4|,KCXVZYZYPLLWCC-UHFFFAOYSA-N,DBVJJBKOTRCVKF-UHFFFAOYSA-N,OVRNDRQMDRJTHS-UHFFFAOYSA-N,WQZGKKKJIJFFOK-UHFFFAOYSA-N,FBPFZTCFMRRESA-UHFFFAOYSA-N,DTXSID6022977|,DTXSID6023028|,DTXSID80859634|,DTXSID7022910|,DTXSID5023588|,0,1,1,1,1,1,1,0,1,1,0.9370897371979,3.532,8.96904463950568,5.404083272394,1.4171494250428,1.49,-2.33872711111111,7520.14750600002,1.06221371882086,-646.238054799998
DTXSID3021437,1,0,1,0.684171141289198,0.623839734092745,100-40-3|,104-51-8|,1077-16-3|,141-93-5|,103-65-1|,BBDKZWKEPDTENS-UHFFFAOYSA-N,OCKPCBLVNKHBMX-UHFFFAOYSA-N,LTEQMZWBSYACLV-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID3021437|,DTXSID6022472|,DTXSID8061476|,DTXSID1022003|,DTXSID3042219|,0,0,1,0,1,0,1,0,0,0,1.1875,0.144,8.70277149592688,3.70142153945517,1.1875,0.496,1.81278603239576e-15,718.453515,0.380972222222222,-198.54825476
DTXSID3020596,NaN,1,1,0.780045615306614,0.671776971101453,95-47-6|,103-65-1|,108-38-3|,3454-07-7|,106-42-3|,CTQNGGLPUBDAKN-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,WHFHDVDXYKOSKI-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,DTXSID3021807|,DTXSID3042219|,DTXSID6026298|,DTXSID70188081|,DTXSID2021868|,1,1,1,0,1,0,0,1,1,1,1.0625,0.124,8.12963052365709,3.81737166258944,1.0625,0.664,1.52308721190764e-15,670.955547,0.433055555555556,-76.2267464074071
