MoleculeID,LogD55_pred,LogD55_predRange,LogD74_pred,LogD74_predRange,AD_LogD,AD_index_LogD,Conf_index_LogD,LogD_CAS_neighbor_1,LogD_CAS_neighbor_2,LogD_CAS_neighbor_3,LogD_CAS_neighbor_4,LogD_CAS_neighbor_5,LogD_InChiKey_neighbor_1,LogD_InChiKey_neighbor_2,LogD_InChiKey_neighbor_3,LogD_InChiKey_neighbor_4,LogD_InChiKey_neighbor_5,LogD_DTXSID_neighbor_1,LogD_DTXSID_neighbor_2,LogD_DTXSID_neighbor_3,LogD_DTXSID_neighbor_4,LogD_DTXSID_neighbor_5
DTXSID7025394,-1.36,[-1.4:-1.32],-1.26,[-1.3:-1.22],1,0.6505,0.7995,4719-04-4,NOCAS_874353,NOCAS_876145,17331-11-2,NOCAS_874618,HUHGPYXAVBJSJV-UHFFFAOYSA-N,KYNXDNIHRFFMJO-UHFFFAOYSA-N,DJSJPMYCFOTWKZ-UHFFFAOYSA-N,STSNDQHBDPAKRQ-UHFFFAOYSA-N,YQMWZWPRVZDBPJ-UHFFFAOYSA-N,DTXSID7025394,DTXSID90874353,DTXSID40876145,DTXSID70876956,DTXSID10874618
DTXSID3044679,-4.55,[-6.73:-2.37],-6.45,[-10.53:-2.37],1,0.6395,0.4965,4724-48-5,NOCAS_861946,NOCAS_875632,7027-11-4,5324-84-5,NJGCRMAPOWGWMW-UHFFFAOYSA-N,IZFHEQBZOYJLPK-UHFFFAOYSA-N,BKMHZNURDFOJGY-UHFFFAOYSA-N,JJDFVIDVSCYKDS-UHFFFAOYSA-N,WLGDAKIJYPIYLR-UHFFFAOYSA-N,DTXSID3044679,DTXSID50861946,DTXSID80875632,DTXSID8029284,DTXSID2027595
DTXSID00893777,8.53,[8.51:8.55],8.53,[6.65:10.41],1,0.355,0.218,SRC002-83-5,84-80-0,129453-61-8,28015-99-8,106685-40-9,WUIAKHXRKYVXSP-UHFFFAOYSA-N,MBWXNTAXLNYFJB-UHFFFAOYSA-N,VWUXBMIQPBEWFH-UHFFFAOYSA-N,WDNQRCVBPNOTNV-UHFFFAOYSA-N,LZCDAPDGXCYOEH-UHFFFAOYSA-N,,DTXSID8023472,DTXSID4022369,DTXSID30890810,DTXSID5046481
DTXSID9063584,4.74,[3.89:5.52],4.74,[3.89:5.52],0,0.3145,0.321,3101-60-8,1077-16-3,4904-61-4,1078-71-3,7493-57-4,HHRACYLRBOUBKM-UHFFFAOYSA-N,LTEQMZWBSYACLV-UHFFFAOYSA-N,ZOLLIQAKMYWTBR-FFWAUJBHSA-N,LBNXAWYDQUGHGX-UHFFFAOYSA-N,FMYCPRQGKSONCP-UHFFFAOYSA-N,DTXSID1024702,DTXSID8061476,DTXSID8027581,DTXSID3061477,DTXSID2052493
DTXSID7047356,1.09,[-3.78:5.96],-0.79,[-7.56:5.98],1,0.493,0.714,NOCAS_875318,NOCAS_875227,SRC002-71-1,NOCAS_875228,4780-24-9,KCZZMIMPRFKWKQ-UHFFFAOYSA-N,ZMVTZLBNPNKACC-UHFFFAOYSA-N,DUGJZCPHZYWQRZ-UHFFFAOYSA-N,AJEYDQVGANBCCE-UHFFFAOYSA-N,CHEBXWARWMFQKF-UHFFFAOYSA-N,DTXSID20875318,DTXSID70875227,,DTXSID30875228,DTXSID50197292
DTXSID2074742,2.8,[0.6:5],1.23,[-2.87:5.33],1,0.462,0.5495,100199-38-0,100199-27-7,83657-24-3,NOCAS_874831,75736-33-3,DTTKSGNEXPJWGG-UHFFFAOYSA-N,WRGKWWRFSUGDPX-UHFFFAOYSA-N,FBOUIAKEJMZPQG-UHFFFAOYSA-N,LWYBEDWITQSPEL-UHFFFAOYSA-N,URDNHJIVMYZFRT-UHFFFAOYSA-N,DTXSID00874526,DTXSID50874672,DTXSID2040363,DTXSID70874831,DTXSID2058178
DTXSID0057881,2.16,[1.11:3.21],2.16,[1.11:3.21],1,0.4665,0.4675,68902-57-8,NOCAS_878153,56518-41-3,3769-57-1,56518-45-7,HRZQMMXCASMDBP-UHFFFAOYSA-N,WTWVHQGWWMAZMO-UHFFFAOYSA-N,BFCRRLMMHNLSCP-UHFFFAOYSA-N,NBEXAEYARUBYDV-UHFFFAOYSA-N,BXQMPGPZRVOQMA-UHFFFAOYSA-N,DTXSID60218982,DTXSID30878153,DTXSID20205070,DTXSID3063178,DTXSID40496342
DTXSID2020260,2.78,[-2.65:8.21],1.26,[-6.07:8.59],1,0.9995,0.915,128-13-2|474-25-9,83-44-3,83-49-8,4651-67-6,1424-00-6,RUDATBOHQWOJDD-UHFFFAOYSA-N,KXGVEGMKQFWNSR-UHFFFAOYSA-N,DGABKXLVXPYZII-UHFFFAOYSA-N,DXOCDBGWDZAYRQ-UHFFFAOYSA-N,UXYRZJKIQKRJCF-UHFFFAOYSA-N,DTXSID6023731|DTXSID2020260,DTXSID0042662,DTXSID001018971,DTXSID501032263,DTXSID90878533
DTXSID40621591,2.3,[-2.16:6.76],2.19,[-4.17:8.55],1,0.66,0.7085,474510-57-1,955359-35-0,5836-29-3,34368-04-2,55994-23-5,PCKZAVNWRLEHIP-UHFFFAOYSA-N,GTIRDWBOUTYFQO-UHFFFAOYSA-N,KWYXQHDOIXLVKE-UHFFFAOYSA-N,JRWZLRBJNMZMFE-UHFFFAOYSA-N,RQMAGPLWBBHITD-UHFFFAOYSA-N,DTXSID40621591,DTXSID701019370,DTXSID8041799,DTXSID3022958,DTXSID30878395
DTXSID4023177,6.29,[1.1:11.48],5.89,[-1.2:12.98],1,0.8765,0.8265,302-79-4,120-95-6,132296-19-6,79-74-3,132296-18-5,SHGAZHPCJJPHSC-UHFFFAOYSA-N,WMVJWKURWRGJCI-UHFFFAOYSA-N,ISHOMFLIXRPGRA-UHFFFAOYSA-N,CZNRFEXEPBITDS-UHFFFAOYSA-N,IOTMRAJKTMPIRD-UHFFFAOYSA-N,DTXSID7021239,DTXSID9026974,DTXSID30509879,DTXSID5044992,DTXSID70509878
