MoleculeID,LogD55_pred,LogD55_predRange,LogD74_pred,LogD74_predRange,AD_LogD,AD_index_LogD,Conf_index_LogD,LogD_CAS_neighbor_1,LogD_CAS_neighbor_2,LogD_CAS_neighbor_3,LogD_CAS_neighbor_4,LogD_CAS_neighbor_5,LogD_InChiKey_neighbor_1,LogD_InChiKey_neighbor_2,LogD_InChiKey_neighbor_3,LogD_InChiKey_neighbor_4,LogD_InChiKey_neighbor_5,LogD_DTXSID_neighbor_1,LogD_DTXSID_neighbor_2,LogD_DTXSID_neighbor_3,LogD_DTXSID_neighbor_4,LogD_DTXSID_neighbor_5
DTXSID5020281,2.39,[2.39:2.41],2.39,[2.39:2.41],0,0.5,0.467,100-00-5,121-73-3,585-79-5,586-78-7,89-59-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,SQFLFRQWPBEDHM-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID3060409,DTXSID7060415,DTXSID4058994
DTXSID8020961,1.39,[1.34:1.44],1.39,[1.34:1.44],1,1,0.8305,100-01-6,99-09-2,75773-74-9,99-57-0,610-81-1,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,LVRPDWZNGAHIDM-UHFFFAOYSA-N,VLZVIIYRNMWPSN-UHFFFAOYSA-N,IQXUIDYRTHQTET-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID80878880,DTXSID6020062,DTXSID50209864
DTXSID0021834,1.9,[-3.38:7.18],1.41,[-5.77:8.59],1,1,0.9655,100-02-7,554-84-7,2581-34-2,2042-14-0,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BQEXDUKMTVYBRK-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID2062535,DTXSID90879085,DTXSID4063874
DTXSID3032622,0.45,[-3.94:4.84],0.25,[-6.04:6.54],1,0.756,0.697,10004-44-1,78-97-7,NOCAS_859699,306-44-5,822-89-9,KGVPNLBXJKTABS-UHFFFAOYSA-N,WOFDVDFSGLBFAC-UHFFFAOYSA-N,IADUEWIQBXOCDZ-UHFFFAOYSA-N,OVGLVOLWBBGQHS-UHFFFAOYSA-N,SNUSZUYTMHKCPM-UHFFFAOYSA-N,DTXSID3032622,DTXSID6025432,DTXSID80859699,DTXSID0073162,DTXSID70231622
DTXSID2044347,1.75,[1.74:1.79],1.75,[1.74:1.79],0,0.5,0.468,100-06-1,586-37-8,32723-67-4,10031-82-0,579-74-8,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,MYLBIQHZWFWSMH-UHFFFAOYSA-N,JRHHJNMASOIRDS-UHFFFAOYSA-N,DWPLEOPKBWNPQV-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID60186399,DTXSID7022251,DTXSID8060375
DTXSID9059204,2.33,[1.8:2.86],2.33,[1.8:2.86],0,0.343,0.3445,610-96-8,16766-30-6,1126-46-1,491-38-3,2905-65-9,JAVRNIFMYIJXIE-UHFFFAOYSA-N,FVZQMMMRFNURSH-UHFFFAOYSA-N,LXNFVVDCCWUUKC-UHFFFAOYSA-N,OTAFHZMPRISVEM-UHFFFAOYSA-N,XRDRKVPNHIWTBX-UHFFFAOYSA-N,DTXSID8044701,DTXSID0074974,DTXSID5022148,DTXSID40197680,DTXSID6027507
DTXSID4059205,0.78,[-4.61:6.17],-1.09,[-8.38:6.2],1,1,0.9695,100-09-4,586-38-9,579-75-9,119-36-8,99-76-3,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,XHQZJYCNDZAGLW-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,DTXSID4059205,DTXSID2060410,DTXSID3060376,DTXSID5025659,DTXSID4022529
DTXSID80889259,-2.81,[-2.9:-2.72],-0.91,[-1:-0.82],1,0.857,0.8675,1001354-72-8,15673-00-4,108-09-8,123-82-0,57224-50-7,AHZILZSKKSPIKM-UHFFFAOYSA-N,GPWHFPWZAPOYNO-UHFFFAOYSA-N,UNBMPKNTYKDYCG-UHFFFAOYSA-N,VSRBKQFNFZQRBM-UHFFFAOYSA-N,LPBSHGLDBQBSPI-UHFFFAOYSA-N,DTXSID80889259,DTXSID8075091,DTXSID4025113,DTXSID6048468,DTXSID50205846
DTXSID7030698,-1.12,[-4.56:2.32],-0.97,[-4.41:2.47],0,0.0705,0.3535,53784-84-2,585-88-6,547-25-1,99-20-7,57-50-1,ONWAJCGYJSVQSX-UHFFFAOYSA-N,VQHSOMBJVWLPSR-UHFFFAOYSA-N,RULSWEULPANCDV-UHFFFAOYSA-N,HDTRYLNUVZCQOY-UHFFFAOYSA-N,CZMRCDWAGMRECN-UHFFFAOYSA-N,DTXSID201021110,DTXSID0044444,DTXSID90876998,DTXSID3048102,DTXSID2021288
DTXSID2026652,5.23,[5.17:5.29],5.23,[5.17:5.29],0,0.5,0.451,100-18-5,99-62-7,2049-95-8,2855-27-8,92368-90-6,SPPWGCYEYAMHDT-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,QHTJSSMHBLGUHV-UHFFFAOYSA-N,KTRQRAQRHBLCSQ-UHFFFAOYSA-N,CGMOOAUESLSUKM-UHFFFAOYSA-N,DTXSID2026652,DTXSID8026640,DTXSID7051848,DTXSID80869516,DTXSID20869095
DTXSID6026080,-0.24,[-5.41:4.93],-2.14,[-9.21:4.93],1,0.7285,0.78,100-21-0,121-91-5,88-99-3,99-06-9,501-89-3,KKEYFWRCBNTPAC-UHFFFAOYSA-N,QQVIHTHCMHWDBS-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,IJFXRHURBJZNAO-UHFFFAOYSA-N,DMEDOWYXHVUPMO-UHFFFAOYSA-N,DTXSID6026080,DTXSID3021485,DTXSID8021484,DTXSID6021610,DTXSID50277381
DTXSID0021836,1.47,[1.47:1.5],1.47,[1.47:1.5],0,0.5,0.459,100-25-4,99-65-0,606-20-2,70-34-8,610-39-9,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,XTRDKALNCIHHNI-UHFFFAOYSA-N,LOTKRQAVGJMPNV-UHFFFAOYSA-N,INYDMNPNDHRJQJ-UHFFFAOYSA-N,DTXSID0021836,DTXSID9024065,DTXSID5020528,DTXSID8025331,DTXSID8027240
DTXSID80883636,0.36,[0.32:0.39],0.36,[0.32:0.39],0,0.5,0.454,1002-67-1,112-36-7,111-96-6,112-49-2,7778-85-0,CNJRPYFBORAQAU-UHFFFAOYSA-N,RRQYJINTUHWNHW-UHFFFAOYSA-N,SBZXBUIDTXKZTM-UHFFFAOYSA-N,YFNKIDBQEZZDLK-UHFFFAOYSA-N,LEEANUDEDHYDTG-UHFFFAOYSA-N,DTXSID80883636,DTXSID3025047,DTXSID1024621,DTXSID8026224,DTXSID60871197
DTXSID30893604,4.63,[3.59:5.67],4.72,[3.68:5.76],1,0.3585,0.573,55290-62-5,15301-48-1,NOCAS_875517,68385-96-6,119126-15-7,CYBSOZQIUIYJCP-UHFFFAOYSA-N,FLKWNFFCSSJANB-UHFFFAOYSA-N,IHKXLAGGBFNSGG-UHFFFAOYSA-N,NSLHLMXJNOITEZ-UHFFFAOYSA-N,AOQMRUTZEYVDIL-UHFFFAOYSA-N,DTXSID90886133,DTXSID90165197,DTXSID40875517,DTXSID6071459,DTXSID7057943
DTXSID90143117,-0.09,[-0.29:0.11],-0.09,[-0.29:0.11],1,0.5445,0.71,98-97-5,2036-41-1,289-95-2,114-33-0,22047-25-2,NIPZZXUFJPQHNH-UHFFFAOYSA-N,TWGNOYAGHYUFFR-UHFFFAOYSA-N,CZPWVGJYEJSRLH-UHFFFAOYSA-N,ZYVXHFWBYUDDBM-UHFFFAOYSA-N,DBZAKQWXICEWNW-UHFFFAOYSA-N,DTXSID30243367,DTXSID2062115,DTXSID1051228,DTXSID00870467,DTXSID5047085
DTXSID7057606,-5.08,[-5.12:-5.04],-3.18,[-3.22:-3.14],1,1,0.8815,100-36-7,111-74-0,104-78-9,109-55-7,123-00-2,UDGSVBYJWHOHNN-UHFFFAOYSA-N,CJKRXEBLWJVYJD-UHFFFAOYSA-N,QOHMWDJIBGVPIF-UHFFFAOYSA-N,IUNMPGNGSSIWFP-UHFFFAOYSA-N,UIKUBYKUYUSRSM-UHFFFAOYSA-N,DTXSID7057606,DTXSID0059409,DTXSID7059303,DTXSID5025102,DTXSID4041521
DTXSID5021837,-4.03,[-4.05:-4.01],-2.13,[-2.15:-2.11],1,1,0.962,100-37-8,NOCAS_878853,7005-47-2,15521-18-3,108-16-7,BFSVOASYOCHEOV-UHFFFAOYSA-N,GVFZJCJJUNBFNM-UHFFFAOYSA-N,XRIBIDPMFSLGFS-UHFFFAOYSA-N,PBKGYWLWIJLDGZ-UHFFFAOYSA-N,NCXUNZWLEYGQAH-UHFFFAOYSA-N,DTXSID5021837,DTXSID10878853,DTXSID6044721,DTXSID20871239,DTXSID5031210
DTXSID10143255,-1.84,[-3:-0.68],-1.56,[-2.72:-0.4],0,0.1605,0.416,94134-01-7,857035-95-1,155601-30-2,70643-20-8,54381-16-7,MGFYIUFZLHCRTH-UHFFFAOYSA-N,BNAQKCLPJYBAHJ-UHFFFAOYSA-N,KDBUTNSQYYLYOY-UHFFFAOYSA-N,WCPGNFONICRLCL-UHFFFAOYSA-N,ISCYHXYLVTWDJT-UHFFFAOYSA-N,DTXSID30240694,DTXSID90235006,DTXSID20165928,DTXSID70892454,DTXSID5020075
DTXSID3021437,3.93,[3.91:3.95],3.93,[3.91:3.95],0,0.5,0.4865,100-40-3,NOCAS_876054,3048-65-5,16219-75-3,111-78-4,BBDKZWKEPDTENS-UHFFFAOYSA-N,LCFNGHBHWMMCBD-PGNVZPTMSA-N,UFERIGCCDYCZLN-UHFFFAOYSA-N,OJOWICOBYCXEKR-UHFFFAOYSA-N,VYXHVRARDIDEHS-QGTKBVGQSA-N,DTXSID3021437,DTXSID90876054,DTXSID0027515,DTXSID1025306,DTXSID0026888
DTXSID3020596,3.15,[3.14:3.16],3.15,[3.14:3.16],0,0.5,0.4755,100-41-4,300-57-2,98-83-9,2038-62-2,496-11-7,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,HJWLCRVIBGQPNF-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,RIIGIRHGFWXGPN-UHFFFAOYSA-N,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,DTXSID3020596,DTXSID00861855,DTXSID9025661,DTXSID30473006,DTXSID4052132
DTXSID20143261,1.37,[-2.1:4.84],0.81,[-4.56:6.18],1,0.711,0.633,100418-33-5,4926-55-0,616-86-4,96-96-8,7413-36-7,SCZQUWZLEIYDBD-UHFFFAOYSA-N,LFOUYKNCQNVIGI-UHFFFAOYSA-N,ISFYBUAVOZFROB-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,UAORFCGRZIGNCI-UHFFFAOYSA-N,DTXSID20143261,DTXSID0063650,DTXSID8022084,DTXSID3044750,DTXSID9048693
DTXSID2021284,2.95,[2.92:2.98],2.95,[2.92:2.98],0,0.5,0.493,100-42-5,367-23-7,367-11-3,98-83-9,4265-25-2,PPBRXRYQALVLMV-UHFFFAOYSA-N,PEBWOGPSYUIOBP-UHFFFAOYSA-N,GOYDNIKZWGIXJT-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,GBGPVUAOTCNZPT-UHFFFAOYSA-N,DTXSID2021284,DTXSID30190140,DTXSID2075390,DTXSID9025661,DTXSID40863353
DTXSID9029302,4.16,[-0.57:8.89],4.16,[-2.47:10.79],1,0.75,0.6665,10042-59-8,106-21-8,112-30-1,81782-77-6,2430-22-0,YLQLIQIAXYRMDL-UHFFFAOYSA-N,PRNCMAKCNVRZFX-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,WSTQLNQRVZNEDV-UHFFFAOYSA-N,QDTDKYHPHANITQ-UHFFFAOYSA-N,DTXSID9029302,DTXSID5044360,DTXSID7021946,DTXSID8052560,DTXSID2058675
DTXSID0051499,0.97,[0.95:0.99],1.35,[1.33:1.37],1,1,0.962,100-43-6,100-69-6,108-99-6,108-89-4,372-47-4,KFDVPJUYSDEJTH-UHFFFAOYSA-N,KGIGUEBEKRSTEW-UHFFFAOYSA-N,ITQTTZVARXURQS-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,CELKOWQJPVJKIL-UHFFFAOYSA-N,DTXSID0051499,DTXSID1026667,DTXSID9021897,DTXSID4021892,DTXSID10190688
DTXSID0020153,2.3,[2.3:2.35],2.3,[2.3:2.35],0,0.5,0.438,100-44-7,95-13-6,2039-87-4,2687-12-9,622-24-2,KCXMKQUNVWSEMD-UHFFFAOYSA-N,YBYIRNPNPLQARY-UHFFFAOYSA-N,ISRGONDNXBCDBM-UHFFFAOYSA-N,IWTYTFSSTWXZFU-UHFFFAOYSA-N,MNNZINNZIQVULG-UHFFFAOYSA-N,DTXSID0020153,DTXSID8042052,DTXSID3024811,DTXSID6062591,DTXSID3060748
DTXSID5021839,-2.87,[-2.9:-2.84],-0.97,[-1:-0.94],1,1,0.907,100-46-9,348-54-9,64-04-0,104-84-7,622-42-4,WGQKYBSKWIADBV-UHFFFAOYSA-N,FTZQXOJYPFINKJ-UHFFFAOYSA-N,BHHGXPLMPWCGHP-UHFFFAOYSA-N,HMTSWYPNXFHGEP-UHFFFAOYSA-N,VLZLOWPYUQHHCG-UHFFFAOYSA-N,DTXSID5021839,DTXSID8059843,DTXSID5058773,DTXSID2059306,DTXSID7074294
DTXSID7021491,1.56,[1.54:1.58],1.56,[1.54:1.58],0,0.5,0.492,100-47-0,403-54-3,529-19-1,24964-64-5,611-20-1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,JZTPKAROPNTQQV-UHFFFAOYSA-N,NWPNXBQSRGKSJB-UHFFFAOYSA-N,HGZJJKZPPMFIBU-UHFFFAOYSA-N,CHZCERSEMVWNHL-UHFFFAOYSA-N,DTXSID7021491,DTXSID0059954,DTXSID6022050,DTXSID30179677,DTXSID3041661
DTXSID9041528,0.46,[0.42:0.5],0.46,[0.42:0.5],1,1,0.848,100-48-1,100-54-9,1620-75-3,100-70-9,271-63-6,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,CMADFEQMYFNYCF-UHFFFAOYSA-N,FFNVQNRYTPFDDP-UHFFFAOYSA-N,MVXVYAKCVDQRLW-UHFFFAOYSA-N,DTXSID9041528,DTXSID1026665,DTXSID60167284,DTXSID9021843,DTXSID3075046
DTXSID1026661,1.19,[0.7:1.68],1.19,[0.7:1.68],0,0.321,0.3585,113-18-8,930-68-7,108-94-1,141-79-7,109-49-9,ZEHYJZXQEQOSON-UHFFFAOYSA-N,FWFSEYBSWVRWGL-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,SHOJXDKTYKFBRD-UHFFFAOYSA-N,RNDVGJZUHCKENF-UHFFFAOYSA-N,DTXSID2023010,DTXSID1024881,DTXSID6020359,DTXSID1029170,DTXSID0059372
DTXSID5020152,1.09,[-0.74:2.92],1.1,[0.85:1.35],1,0.851,0.5125,100-51-6,446-51-5,459-56-3,367-12-4,19064-18-7,WVDDGKGOMKODPV-UHFFFAOYSA-N,QEHXDOJPVIHUDO-UHFFFAOYSA-N,GEZMEIHVFSWOCA-UHFFFAOYSA-N,HFHFGHLXUCOHLN-UHFFFAOYSA-N,LVICICZQETYOGS-UHFFFAOYSA-N,DTXSID5020152,DTXSID10196241,DTXSID4075409,DTXSID0047745,DTXSID40172558
DTXSID8039241,1.47,[1.41:1.53],1.47,[1.41:1.53],0,0.5,0.479,100-52-7,539-80-0,459-57-4,122-78-1,529-20-4,HUMNYLRZRPPJDN-UHFFFAOYSA-N,QVWDCTQRORVHHT-UHFFFAOYSA-N,UOQXIWFBQSVDPP-UHFFFAOYSA-N,DTUQWGWMVIHBKE-UHFFFAOYSA-N,BTFQKIATRPGRBS-UHFFFAOYSA-N,DTXSID8039241,DTXSID60202169,DTXSID0038756,DTXSID3021483,DTXSID1022051
DTXSID6026664,2.29,[-2.65:7.23],1.83,[-5.01:8.67],1,0.807,0.732,70-11-1,345-35-7,1805-32-9,532-27-4,15258-73-8,LIGACIXOYTUXAW-UHFFFAOYSA-N,MOBRMRJUKNQBMY-UHFFFAOYSA-N,FVJIUQSKXOYFKG-UHFFFAOYSA-N,IMACFCSSMIZSPP-UHFFFAOYSA-N,WKKHCCZLKYKUDN-UHFFFAOYSA-N,DTXSID2049426,DTXSID9059838,DTXSID70170966,DTXSID9020293,DTXSID30165075
DTXSID1026665,0.36,[0.33:0.39],0.36,[0.33:0.39],1,1,0.8985,100-54-9,100-70-9,100-48-1,4513-94-4,1620-75-3,GZPHSAQLYPIAIN-UHFFFAOYSA-N,FFNVQNRYTPFDDP-UHFFFAOYSA-N,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,BQMPGKPTOHKYHS-UHFFFAOYSA-N,CMADFEQMYFNYCF-UHFFFAOYSA-N,DTXSID1026665,DTXSID9021843,DTXSID9041528,DTXSID30196400,DTXSID60167284
DTXSID9021841,1.59,[1.56:1.62],1.66,[1.63:1.69],1,1,0.943,100-61-8,623-08-5,696-44-6,611-21-2,103-69-5,AFBPFSWMIHJQDM-UHFFFAOYSA-N,QCIFLGSATTWUQJ-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,DTXSID9021841,DTXSID6060763,DTXSID2061014,DTXSID4060600,DTXSID1025271
DTXSID4021842,0.83,[-2.15:3.81],0.42,[-4.46:5.3],1,0.7825,0.5795,100-64-1,1002-57-9,929-17-9,105-44-2,542-54-1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,UQXNEWQGGVUVQA-UHFFFAOYSA-N,XDOLZJYETYVRKV-UHFFFAOYSA-N,ZKALVNREMFLWAN-UHFFFAOYSA-N,DUJMVKJJUANUMQ-UHFFFAOYSA-N,DTXSID4021842,DTXSID00143007,DTXSID10239182,DTXSID6044771,DTXSID2060256
DTXSID0034857,4.28,[4.24:4.32],4.28,[4.24:4.32],1,0.656,0.733,76578-14-8|100646-51-3,NOCAS_878385,NOCAS_875128,NOCAS_875218,119738-06-6,OSUHJPCHFDQAIT-UHFFFAOYSA-N,JQSUKFONXCOFOY-UHFFFAOYSA-N,QJYILTQZWOXFNJ-UHFFFAOYSA-N,JHJVXOWCJVJTIX-UHFFFAOYSA-N,BBKDWPHJZANJGB-UHFFFAOYSA-N,DTXSID9023889|DTXSID0034857,DTXSID80878385,DTXSID90875128,DTXSID80875218,DTXSID3058290
DTXSID4041608,2.11,[2.11:2.14],2.11,[2.11:2.14],0,0.5,0.448,100-66-3,321-28-8,578-58-5,100-84-5,104-93-8,RDOXTESZEPMUJZ-UHFFFAOYSA-N,JIXDOBAQOWOUPA-UHFFFAOYSA-N,DTFKRVXLBCAIOZ-UHFFFAOYSA-N,OSIGJGFTADMDOB-UHFFFAOYSA-N,CHLICZRVGGXEOD-UHFFFAOYSA-N,DTXSID4041608,DTXSID50185891,DTXSID9060368,DTXSID2051500,DTXSID9026710
DTXSID1026667,1.52,[1.5:1.54],1.54,[1.52:1.56],1,1,0.897,100-69-6,100-43-6,273-53-0,109-06-8,108-89-4,KGIGUEBEKRSTEW-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,BCMCBBGGLRIHSE-UHFFFAOYSA-N,BSKHPKMHTQYZBB-UHFFFAOYSA-N,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,DTXSID1026667,DTXSID0051499,DTXSID8059768,DTXSID9021899,DTXSID4021892
DTXSID0037495,1.15,[1.11:1.19],1.15,[1.09:1.21],1,0.7355,0.539,1007-28-9,37019-16-2,6190-65-4,60010-81-3,66753-06-8,IVENSCMCQBJAKW-UHFFFAOYSA-N,NNHOMQSKHVOGSK-UHFFFAOYSA-N,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,ZSHJCTQANTWDDG-UHFFFAOYSA-N,NUISVCFZNCYUIM-UHFFFAOYSA-N,DTXSID0037495,DTXSID50878978,DTXSID5037494,DTXSID50878938,DTXSID60216887
DTXSID5025312,-2.57,[-2.61:-2.53],-0.74,[-0.78:-0.7],1,1,0.9365,100-74-3,109-02-4,4079-68-9,4318-37-0,1002-67-1,HVCNXQOWACZAFN-UHFFFAOYSA-N,SJRJJKPEHAURKC-UHFFFAOYSA-N,JZJXKEWVUBVOEH-UHFFFAOYSA-N,FXHRAKUEZPSMLJ-UHFFFAOYSA-N,CNJRPYFBORAQAU-UHFFFAOYSA-N,DTXSID5025312,DTXSID9029146,DTXSID5063287,DTXSID80281294,DTXSID80883636
DTXSID9034650,-0.02,[-0.1:0.06],-0.02,[-0.1:0.06],0,0.577,0.5875,100784-20-1,93697-74-6,111991-09-4,97780-06-8,94593-91-6,FMGZEUWROYGLAY-UHFFFAOYSA-N,BGNQYGRXEXDAIQ-UHFFFAOYSA-N,RTCOGUMHFFWOJV-UHFFFAOYSA-N,ZINJLDJMHCUBIP-UHFFFAOYSA-N,WMLPCIHUFDKWJU-UHFFFAOYSA-N,DTXSID9034650,DTXSID9058496,DTXSID6034764,DTXSID9034573,DTXSID5058220
DTXSID9021845,-0.6,[-3.92:2.72],-0.6,[-5.82:4.62],1,0.711,0.741,100-79-8,5187-23-5,108-61-2,106-62-7,110-98-5,RNVYQYLELCKWAN-UHFFFAOYSA-N,BGFBWRWYROQISE-UHFFFAOYSA-N,VMKMZRBPOSNUMX-UHFFFAOYSA-N,DUFKCOQISQKSAV-UHFFFAOYSA-N,AZUXKVXMJOIAOF-UHFFFAOYSA-N,DTXSID9021845,DTXSID0044949,DTXSID30274176,DTXSID30861722,DTXSID7026863
DTXSID0027721,7.83,[7.75:7.91],7.9,[7.82:7.98],1,0.794,0.7415,10081-67-1,700863-48-5,787582-75-6,1198395-24-2,713127-22-1,UJAWGGOCYUPCPS-UHFFFAOYSA-N,FPBFSPUIZMRERG-UHFFFAOYSA-N,BQIXNVNLJJIBQL-UHFFFAOYSA-N,OBARUOOPPWHZRQ-UHFFFAOYSA-N,KZTKTOUDRRNTNB-UHFFFAOYSA-N,DTXSID0027721,DTXSID501104446,DTXSID001108700,DTXSID60735801,DTXSID901335742
DTXSID1047601,0.71,[-1.63:3.05],1.8,[1.24:2.36],1,0.8395,0.465,100-86-7,2416-94-6,527-60-6,103-05-9,1006-59-3,RIWRBSMFKVOJMN-UHFFFAOYSA-N,QQOMQLYQAXGHSU-UHFFFAOYSA-N,BPRYUXCVCCNUFE-UHFFFAOYSA-N,YXVSKJDFNJFXAJ-UHFFFAOYSA-N,METWAQRCMRWDAW-UHFFFAOYSA-N,DTXSID1047601,DTXSID6022187,DTXSID7022049,DTXSID3021851,DTXSID5061401
DTXSID20884445,3.94,[2.75:5.13],5.72,[4.53:6.91],0,0.343,0.4235,24271-12-3,13276-08-9,25088-57-7,105-62-4,6297-03-6,GAQPWOABOQGPKA-UHFFFAOYSA-N,DJWFNQUDPJTSAD-UHFFFAOYSA-N,OOFYMDXMQHPCQO-UHFFFAOYSA-N,UMHYVXGZRGOICM-UHFFFAOYSA-N,HBXWUCXDUUJDRB-UHFFFAOYSA-N,DTXSID3066974,DTXSID6065393,DTXSID801021087,DTXSID8026721,DTXSID10864175
DTXSID6020692,-2.27,[-2.35:-2.19],-2.18,[-2.26:-2.1],1,1,0.863,100-97-0,52338-87-1,4080-31-3,NOCAS_876145,90-89-1,VKYKSIONXSXAKP-UHFFFAOYSA-N,FCQPNTOQFPJCMF-UHFFFAOYSA-N,LDLCEGCJYSDJLX-UHFFFAOYSA-N,DJSJPMYCFOTWKZ-UHFFFAOYSA-N,RCKMWOKWVGPNJF-UHFFFAOYSA-N,DTXSID6020692,DTXSID4068741,DTXSID5024760,DTXSID40876145,DTXSID1022928
DTXSID3041584,5.94,[5.2:6.68],5.94,[5.2:6.68],0,0.2645,0.291,70124-77-5,129332-29-2,68085-85-8|91465-08-6,947701-81-7,69409-94-5,GBIHOLCMZGAKNG-UHFFFAOYSA-N,USGKHYXJISAYPE-UHFFFAOYSA-N,ZXQYGBMAQZUVMI-UHFFFAOYSA-N,ZMIFHAGGIBCROR-UHFFFAOYSA-N,INISTDXBRIBGOC-UHFFFAOYSA-N,DTXSID0022301,DTXSID801035854,DTXSID6023997|DTXSID7032559,DTXSID001036660,DTXSID7024110
DTXSID0026252,5.17,[4.59:5.78],5.17,[4.59:5.78],0,0.274,0.3065,115-86-6,78-30-8,28108-99-8,597-82-0,56803-37-3,XZZNDPSIHUTMOC-UHFFFAOYSA-N,YSMRWXYRXBRSND-UHFFFAOYSA-N,PLBFTNYDDQQDME-UHFFFAOYSA-N,IKXFIBBKEARMLL-UHFFFAOYSA-N,NIAVXHWAURFNOW-UHFFFAOYSA-N,DTXSID1021952,DTXSID6032192,DTXSID6025484,DTXSID4029191,DTXSID6024701
DTXSID9020089,3.88,[3.8:3.96],3.88,[3.8:3.96],1,0.7325,0.597,101-05-3,4886-26-4,68157-60-8,57-68-1,68475-42-3,IMHBYKMAHXWHRP-UHFFFAOYSA-N,QWBOUWUYHMQMSW-UHFFFAOYSA-N,GPXLRLUVLMHHIK-UHFFFAOYSA-N,ASWVTGNCAZCNNR-UHFFFAOYSA-N,CUCMIJQKFCWAPD-UHFFFAOYSA-N,DTXSID9020089,DTXSID801021106,DTXSID1034634,DTXSID6021290,DTXSID4048305
DTXSID9034232,0.79,[-3.4:4.98],-1.1,[-7.19:4.99],1,0.7305,0.755,3307-39-9,94-74-6,NOCAS_879301,93-65-2,588-32-9,DKHJWWRYTONYHB-UHFFFAOYSA-N,WHKUVVPPKQRRBV-UHFFFAOYSA-N,UZUNPUFAQCUAJX-UHFFFAOYSA-N,WNTGYJSOUMFZEP-UHFFFAOYSA-N,XSBUXVWJQVTYLC-UHFFFAOYSA-N,DTXSID90875865,DTXSID4024195,DTXSID70879301,DTXSID9024194,DTXSID90207526
DTXSID5020865,3.82,[3.77:3.87],3.91,[3.86:3.96],1,0.727,0.692,101-14-4,91-94-1,139-65-1,NOCAS_877394,NOCAS_877683,IBOFVQJTBBUKMU-UHFFFAOYSA-N,HUWXDEQWWKGHRV-UHFFFAOYSA-N,ICNFHJVPAJKPHW-UHFFFAOYSA-N,QEXIQGCBAFBJNW-UHFFFAOYSA-N,BWKDZWYZDFTGJK-UHFFFAOYSA-N,DTXSID5020865,DTXSID6020432,DTXSID9021344,DTXSID40877394,DTXSID50877683
