MoleculeID,LogVP_exp,LogVP_pred,VP_predRange,AD_VP,AD_index_VP,Conf_index_VP,LogVP_CAS_neighbor_1,LogVP_CAS_neighbor_2,LogVP_CAS_neighbor_3,LogVP_CAS_neighbor_4,LogVP_CAS_neighbor_5,LogVP_InChiKey_neighbor_1,LogVP_InChiKey_neighbor_2,LogVP_InChiKey_neighbor_3,LogVP_InChiKey_neighbor_4,LogVP_InChiKey_neighbor_5,LogVP_DTXSID_neighbor_1,LogVP_DTXSID_neighbor_2,LogVP_DTXSID_neighbor_3,LogVP_DTXSID_neighbor_4,LogVP_DTXSID_neighbor_5,LogVP_Exp_neighbor_1,LogVP_Exp_neighbor_2,LogVP_Exp_neighbor_3,LogVP_Exp_neighbor_4,LogVP_Exp_neighbor_5,LogVP_pred_neighbor_1,LogVP_pred_neighbor_2,LogVP_pred_neighbor_3,LogVP_pred_neighbor_4,LogVP_pred_neighbor_5,MLFER_S,SHBd,TopoPSA,nHBDon_Lipinski,MLFER_L,MLFER_E,AATSC0v,nssO,MDEC_23,nHBAcc_Lipinski,piPC7,EE_Dt
DTXSID40988358,-2,-1.68,[-1.97:-2],1,1,0.677,68672-66-2,1594-08-7,446292-07-5,28173-59-3,69563-51-5,RACSQPAUTPPMLG-UHFFFAOYSA-N,NTZOUXAZCADJBZ-UHFFFAOYSA-N,CKFVSMPWXAASIQ-UHFFFAOYSA-N,GLLYQJVICPAIGW-UHFFFAOYSA-N,ZUWHJJGOYZUNDW-UHFFFAOYSA-N,DTXSID40988358,DTXSID6061810,DTXSID10467923,DTXSID8067361,DTXSID8071986,-2,-5,-9,-12,-13,-10,-11,-7,-8,-10,3.2,0.7074719482541,138.35,2,19.431,3.175,51.5459382824811,2,25.1353948598756,8,6.88314235071689,389.853661990297
DTXSID80880100,NaN,-6.33,[-8.15:-5],0,0.276,0.342,57520-17-9,69-79-4,78491-02-8,89182-60-5,13007-85-7,RONFGUROBZGJKP-UHFFFAOYSA-N,DKXNBNKWCZZMJT-UHFFFAOYSA-N,SOROIESOUPGGFO-UHFFFAOYSA-N,ILXGPMLOFSWMBU-UHFFFAOYSA-N,KWMLJOLKUYYJFJ-UHFFFAOYSA-N,DTXSID6058427,DTXSID1023233,DTXSID0029559,DTXSID50893828,DTXSID50892018,-6,-5,-10,-5,-7,-7,-5,-4,-5,-4,2.182,3.26835034013605,161.66,8,8.447,2.23,40.8183786872549,0,4.16016764610381,10,5.15905529921453,178.903123402434
DTXSID2032500,-6,-5.85,[-5.91:-5.79],1,1,0.964,68694-11-1,112281-77-3,174514-07-9,161596-47-0,97-16-5,HSMVPDGQOIQYSR-UHFFFAOYSA-N,LQDARGUHUSPFNL-UHFFFAOYSA-N,FKLQIONHGSFYJY-UHFFFAOYSA-N,DUILGEYLVHGSEE-UHFFFAOYSA-N,OZFAFGSSMRRTDW-UHFFFAOYSA-N,DTXSID2032500,DTXSID8034956,DTXSID7057999,DTXSID80352110,DTXSID5020447,-6,-6,-7,-5,-4,-6,-5,-4,-4,-5,1.49,0,39.41,0,9.085,1.151,47.0637872264396,1,10.6731555574238,4,6.03151124116049,161.714260016369
DTXSID1028813,NaN,-2.87,[-4.82:-1],1,0.741,0.531,2215-35-2,53378-51-1,33619-92-0,93819-94-4,53378-52-2,KGYKKBGZPGVFOS-UHFFFAOYSA-N,SYFIMIPHNTZHIN-UHFFFAOYSA-N,YJNALOLHXQQOIK-UHFFFAOYSA-N,LPEQNMKNSKSCGZ-UHFFFAOYSA-N,JOVBTVIBOUJCPQ-UHFFFAOYSA-N,DTXSID2027460,DTXSID2068846,DTXSID90894036,DTXSID80891711,DTXSID7068847,-4,-1,-1,-6,-4,-4,-2,-2,-3,-2,2.344,0.320685031214132,99.16,0,8.359,1.147,56.6794573256333,2,2.53694805873027,2,1.94591014905531,56.4658518119848
DTXSID8058162,NaN,-7.2,[-8.62:-6],1,0.507,0.495,220899-03-6,126-07-8,56-72-4,135186-78-6,13593-03-8,AMSPWOYQQAWRRM-UHFFFAOYSA-N,DDUHZTYCFQRHIY-UHFFFAOYSA-N,BXNANOICGRISHX-UHFFFAOYSA-N,RRKHIAYNPVQKEF-UHFFFAOYSA-N,JYQUHIFYBATCCY-UHFFFAOYSA-N,DTXSID9058020,DTXSID8020674,DTXSID2020347,DTXSID5057961,DTXSID7024291,-6,-8,-7,-10,-6,-6,-7,-7,-6,-6,2.988,0,66.88,0,12.224,1.644,49.9036026321294,4,6.31062276267727,6,6.27717201506085,191.106841697534
DTXSID30889981,NaN,-8.13,[-10.96:-6],0,0.202,0.216,180898-37-7,70209-99-3,2580-78-1,6227-20-9,70210-40-1,LYLOSUMZZKYEDT-UHFFFAOYSA-N,KWPQTIBXONETGA-UHFFFAOYSA-N,VGPIJNLQDSYRBZ-UHFFFAOYSA-N,MVHCRZFTWQKEEH-UHFFFAOYSA-N,TVHLNSDGFQLBQK-UHFFFAOYSA-N,DTXSID001021219,DTXSID20889995,DTXSID5025992,DTXSID70881404,DTXSID60890065,-6,-7,-7,-14,-8,-7,-7,-6,-7,-5,6.858,2.77949422961745,297.95,9,22.409,5.68,44.5650971973751,0,29.9856366728243,16,7.80561469288554,624.055734564213
DTXSID3027293,-1,-1.31,[-1.4:-1.22],1,1,0.95,688-84-6,150-84-5|67601-05-2,105-85-1,103-11-7,22471-55-2,WDQMWEYDKDCEHT-UHFFFAOYSA-N,JOZKFWLRHCDGJA-UHFFFAOYSA-N,DZNVIZQPWLDQHI-UHFFFAOYSA-N,GOXQRTZXKQZDDN-UHFFFAOYSA-N,TUEUDXZEBRMJEV-UHFFFAOYSA-N,DTXSID3027293,DTXSID5051739|DTXSID101015025,DTXSID1044772,DTXSID9025297,DTXSID4051875,-1,-2,-2,-1,-1,-1,-0,-1,-1,-1,0.535,0,26.3,0,5.994,0.2,49.3303123331754,1,4.92238663877417,2,2.39789527279837,53.5633862347519
DTXSID7071810,NaN,-4.65,[-6.27:-3.03],1,0.612,0.527,36756-79-3,1369500-14-0,85785-20-2,66246-88-6,134-62-3,PHSUVQBHRAWOQD-UHFFFAOYSA-N,FGFGFQIDCXGUTD-UHFFFAOYSA-N,BXEHUCNTIZGSOJ-UHFFFAOYSA-N,WKBPZYKAUNRMKP-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,DTXSID6034425,DTXSID001035905,DTXSID2058201,DTXSID8042260,DTXSID2021995,-3,-7,-5,-6,-3,-5,-5,-5,-7,-3,1.495,0,34.14,0,9.151,0.942,52.5118041018396,0,10.7733793216968,2,4.52653274047102,110.109079742036
DTXSID20988619,NaN,2.03,[1.93:2],1,0.998,0.824,107-13-1,107-14-2,107-12-0,109-74-0,109-75-1,NLHHRLWOUZZQLW-UHFFFAOYSA-N,RENMDAKOXSCIGH-UHFFFAOYSA-N,FVSKHRXBFJPNKK-UHFFFAOYSA-N,KVNRLNFWIYMESJ-UHFFFAOYSA-N,SJNALLRHIVGIBI-UHFFFAOYSA-N,DTXSID5020029,DTXSID7021524,DTXSID1021879,DTXSID1026823,DTXSID6021905,2,1,2,1,1,1,2,2,1,1,0.97,0,23.79,0,1.932,0.311,49.019884951588,0,0,1,0,5.17311653995551
DTXSID20867758,NaN,-1.5,[-1.99:-1.01],1,0.809,0.731,102-13-6,94-46-2,35836-72-7,103-48-0,68555-58-8,RJASFPFZACBKBE-UHFFFAOYSA-N,MLLAPOCBLWUFAP-UHFFFAOYSA-N,AWNOGHRWORTNEI-UHFFFAOYSA-N,JDQVBGQWADMTAM-UHFFFAOYSA-N,BZBDNWAYWNEHTQ-UHFFFAOYSA-N,DTXSID6051512,DTXSID8047185,DTXSID40189368,DTXSID7044764,DTXSID0052415,-2,-1,-2,-1,-2,-1,-2,-1,-2,-2,0.945,0,26.3,0,6.776,0.689,51.9555387039376,1,8.29752188565555,2,4.10573774605154,79.1960833869198
DTXSID6040747,-5,-5.12,[-5:-5.12],1,1,0.833,68-96-2,66212-25-7,77881-13-1,65928-65-6,604-26-2,DBPWSSGDRRHUNT-UHFFFAOYSA-N,PJERKBARHKFJRD-UHFFFAOYSA-N,JYCSLUASXDFIEL-UHFFFAOYSA-N,WFQBBPSNJXAJGD-UHFFFAOYSA-N,KROXBRXHRBCDNO-UHFFFAOYSA-N,DTXSID6040747,DTXSID001036389,DTXSID10999072,DTXSID601036387,DTXSID00209152,-5,-5,-5,-5,-5,-6,-6,-6,-6,-7,1.618,0.101189989789151,54.37,1,11.427,1.351,51.9584329139612,0,18.5677378424933,3,5.52146091786225,329.039612762379
DTXSID60890020,NaN,-7.01,[-8.09:-6],0,0.07,0.392,2041206-19-1,28706-25-4,92339-11-2,93951-21-4,17095-24-8,XLMQMQBXGAIJKE-UHFFFAOYSA-N,UPTHZACOSZQKJN-UHFFFAOYSA-N,NBQNWMBBSKPBAY-UHFFFAOYSA-N,ZUALWZZTVZJCFI-UHFFFAOYSA-N,OTKRGWXWWWNPKU-UHFFFAOYSA-N,DTXSID101023799,DTXSID50889701,DTXSID2045523,DTXSID30890431,DTXSID4027787,-7,-6,-7,-9,-6,-8,-7,-8,-7,-8,18.409,6.29104804719646,589.36,14,51.868,12.188,44.7424854011848,0,0,34,7.89217183990389,709.782712893384
DTXSID7024827,NaN,-6.01,[-9.48:-2.54],1,0.561,0.287,82799-44-8,5495-84-1,90-93-7,71598-17-9,1474-02-8,BTJPUDCSZVCXFQ-UHFFFAOYSA-N,KTALPKYXQZGAEG-UHFFFAOYSA-N,VYHBFRJRBHMIQZ-UHFFFAOYSA-N,MPEMFGXDTAQHHU-UHFFFAOYSA-N,POQDXIFVWVZVML-UHFFFAOYSA-N,DTXSID2072883,DTXSID1044691,DTXSID7059014,DTXSID6072394,DTXSID00163705,-7,-6,-10,1,-7,-6,-6,-8,-5,-9,1.698,0,31.78,0,11.437,2.153,56.373469756327,0,16.8988089018509,2,5.91155854883929,235.309841463821
DTXSID8047476,NaN,-3.39,[-5.81:-0.97],0,0.416,0.328,882-33-7,149-30-4,2492-26-4,150-50-5,622-20-8,GUUVPOWQJOLRAS-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,KLAPGAOQRZTCBI-UHFFFAOYSA-N,MHCVYAFXPIMYRD-UHFFFAOYSA-N,DTXSID6022131,DTXSID1020807,DTXSID1026035,DTXSID6024173,DTXSID1024625,-4,-6,1,-5,-4,-4,1,1,-6,-4,1.157,0,107.08,0,8.404,1.908,61.146422101577,0,4.42083779836847,0,4.40671924726425,64.1491842749428
DTXSID3061001,2,2.43,[2.43:2],1,1,1,691-37-2,763-29-1,691-38-3|674-76-0,4461-48-7,4461-48-7,WSSSPWUEQFSQQG-UHFFFAOYSA-N,WWUVJRULCWHUSA-UHFFFAOYSA-N,LGAQJENWWYGFSN-UHFFFAOYSA-N,LGAQJENWWYGFSN-UHFFFAOYSA-N,LGAQJENWWYGFSN-UHFFFAOYSA-N,DTXSID3061001,DTXSID901017356,DTXSID90880651|DTXSID101015956,DTXSID4074302,DTXSID4074302,2,2,2,2,2,2,2,2,2,2,0.128,0,0,0,2.433,0.152,50.0283140976051,0,1.4142135623731,0,0,11.0588231277466
DTXSID0027640,-7,-7.47,[-7:-7.22],1,1,0.71,6915-15-7,93-62-9,135-37-5,150-25-4,139-41-3,BJEPYKJPYRNKOW-UHFFFAOYSA-N,JYXGIOKAKDAARW-UHFFFAOYSA-N,JYXGIOKAKDAARW-UHFFFAOYSA-N,FSVCELGFZIQNCK-UHFFFAOYSA-N,FSVCELGFZIQNCK-UHFFFAOYSA-N,DTXSID0027640,DTXSID4042177,DTXSID8042008,DTXSID3041669,DTXSID3059686,-7,1,-3,-5,-4,-3,-3,-3,-4,-4,1.01,2.42152777777778,94.83,3,4.185,0.443,38.2019965249459,0,2.3811015779523,5,0,22.0627027494717
DTXSID40863959,-2,-2.36,[-2:-2.32],1,1,0.977,6920-22-5,584-03-2,107-88-0,2163-42-0,126-30-7,FHKSXSQHXQEMOK-UHFFFAOYSA-N,BMRWNKZVCUKKSR-UHFFFAOYSA-N,PUPZLCDOIYMWBV-UHFFFAOYSA-N,QWGRWMMWNDWRQN-UHFFFAOYSA-N,SLCVBVWXLSEKPL-UHFFFAOYSA-N,DTXSID40863959,DTXSID6040375,DTXSID8026773,DTXSID3029231,DTXSID8027036,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,0.717,1.2857029478458,40.46,2,4.268,0.341,44.7533266687626,0,2.55577241698509,2,0,19.7627983193327
DTXSID9034816,-6,-5.66,[-5.74:-5.58],1,1,0.743,6923-22-4,31218-83-4,67656-24-0,77-93-0,141-66-2,KRTSDMXIXPKRQR-UHFFFAOYSA-N,BZNDWPRGXNILMS-UHFFFAOYSA-N,XAULISWKJQTUOD-UHFFFAOYSA-N,DOOTYTYQINUNNV-UHFFFAOYSA-N,VEENJGZXVHKXNB-UHFFFAOYSA-N,DTXSID9034816,DTXSID7032470,DTXSID70987016,DTXSID0040701,DTXSID9023914,-6,-5,-5,-3,-4,-3,-4,-4,-1,-4,2.427,0.54799995100921,83.67,1,7.94,0.553,46.331771360058,3,2,6,3.04452243772342,49.1475528624051
DTXSID4064507,NaN,-8.87,[-10:-7.72],1,0.417,0.505,138401-24-8,5836-29-3,82-66-6,73570-52-2,4657-00-5,KWEQEHOPDHARIA-UHFFFAOYSA-N,KWYXQHDOIXLVKE-UHFFFAOYSA-N,JYGLAHSAISAEAL-UHFFFAOYSA-N,,VEIQMIFGPISKCW-UHFFFAOYSA-N,DTXSID20431716,DTXSID8041799,DTXSID4032378,DTXSID1072767,DTXSID90884098,-9,-10,-10,-7,-8,-9,-8,-9,-8,-6,2.577,0,32.67,0,10.72,2.486,49.1780418927527,0,23.9926692676595,3,6.85695528395508,335.930832031948
DTXSID30219340,NaN,-5.36,[-8.16:-2.56],0,0.359,0.249,13654-09-6,1163-19-5,2136-99-4,52663-73-7,40186-71-8,AQPHBYQUCKHJLT-UHFFFAOYSA-N,WHHGLZMJPXIBIX-UHFFFAOYSA-N,JPOPEORRMSDUIP-UHFFFAOYSA-N,HHXNVASVVVNNDG-UHFFFAOYSA-N,LJQOBQLZTUSEJA-UHFFFAOYSA-N,DTXSID9065572,DTXSID9020376,DTXSID0074132,DTXSID2074166,DTXSID4074148,-9,-1,-5,-5,-5,-7,-11,-6,-6,-6,2.398,0,0,0,16.853,4.3,21.6197665129311,0,4.53065962589558,0,6.74253048605324,145.047408842465
DTXSID1024047,-2,-2.23,[-2.29:-2.17],1,1,0.827,693-21-0,6423-43-4,628-96-6,2921-92-8,55-63-0,LYAGTVMJGHTIDH-UHFFFAOYSA-N,PSXCGTLGGVDWFU-UHFFFAOYSA-N,UQXKXGWGFRWILX-UHFFFAOYSA-N,YZZCJYJBCUJISI-UHFFFAOYSA-N,SNIOPGDIGTZGOP-UHFFFAOYSA-N,DTXSID1024047,DTXSID7027627,DTXSID6027264,DTXSID40183467,DTXSID1021407,-2,-0,-1,-4,-3,-3,-2,-1,-4,-3,0.62,0,113.97,0,4.752,0.608,33.2396042026986,3,0,9,2.19722457733622,54.7387737569421
DTXSID3027297,-10,-7.23,[-9.74:-4.72],1,1,0.508,693-23-2,85030-08-6,1852-04-6,505-52-2,111-20-6,TVIDDXQYHWJXFK-UHFFFAOYSA-N,TVIDDXQYHWJXFK-UHFFFAOYSA-N,LWBHHRRTOZQPDM-UHFFFAOYSA-N,DXNCZXXFRKPEPY-UHFFFAOYSA-N,CXMXRPHRNRROMY-UHFFFAOYSA-N,DTXSID3027297,DTXSID80234088,DTXSID0044862,DTXSID9021683,DTXSID7026867,-10,-5,-1,-9,-7,-5,-5,-8,-5,-6,0.889,1.44427755947694,74.6,2,7.964,0.264,47.3895653875595,0,4.41625042641202,4,2.484906649788,84.6670360857348
DTXSID8034401,-5,-5.03,[-5.13:-4.93],1,1,0.824,69327-76-0,2425-06-1,133-06-2,32809-16-8,89269-64-7,PRLVTUNWOQKEAI-UHFFFAOYSA-N,JHRWWRDRBPCWTF-UHFFFAOYSA-N,LDVVMCZRFWMZSG-UHFFFAOYSA-N,QXJKBPAVAHBARF-UHFFFAOYSA-N,XCCNVESKBNCNEA-UHFFFAOYSA-N,DTXSID8034401,DTXSID4020242,DTXSID9020243,DTXSID9033923,DTXSID1058210,-5,-5,-7,-4,-8,-6,-6,-5,-6,-7,1.111,0,61.21,0,11.296,1.868,52.7809355756113,0,6.86852591037723,4,5.26333764765201,143.472905144598
