MoleculeID,Clint_exp,Clint_pred,Clint_predRange,AD_Clint,AD_index_Clint,Conf_index_Clint,Clint_CAS_neighbor_1,Clint_CAS_neighbor_2,Clint_CAS_neighbor_3,Clint_CAS_neighbor_4,Clint_CAS_neighbor_5,Clint_InChiKey_neighbor_1,Clint_InChiKey_neighbor_2,Clint_InChiKey_neighbor_3,Clint_InChiKey_neighbor_4,Clint_InChiKey_neighbor_5,Clint_DTXSID_neighbor_1,Clint_DTXSID_neighbor_2,Clint_DTXSID_neighbor_3,Clint_DTXSID_neighbor_4,Clint_DTXSID_neighbor_5,Clint_Exp_neighbor_1,Clint_Exp_neighbor_2,Clint_Exp_neighbor_3,Clint_Exp_neighbor_4,Clint_Exp_neighbor_5,Clint_pred_neighbor_1,Clint_pred_neighbor_2,Clint_pred_neighbor_3,Clint_pred_neighbor_4,Clint_pred_neighbor_5,maxHBint2,minHBint2,SHBd,nN,BCUTp_1h,minHBa,MLFER_A,ndO,nBase,GATS5e,SRW4,MDEO_12,AATS1i,MLFER_BO,SpMax4_Bhm,maxHBint9,ETA_dBetaP,ATSC0p,ATS3p,XLogP,maxHssNH,minHBint10,khs_ssNH,nssNH,mindssS,nTG12Ring,ATS4i,SRW6,MPC5,khs_ddsN,SdCH2,nF6Ring,nHBint7
DTXSID6025355,NaN,14.87,[0.85:44.16],1,0.205,0.338,108-44-1,4940-11-8,108-95-2,1119-40-0,111-76-2,JJYPMNFTHPTTDI-UHFFFAOYSA-N,BDTOBOMFWCKGRG-UHFFFAOYSA-N,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,XTDYIOOONNVFMA-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,DTXSID1026792,DTXSID5041516,DTXSID5021124,DTXSID3025122,DTXSID1024097,32.9,81,5.5,46.3,0.85,81.49,103.6,23.61,312.19,8.23,0,0,0,0,6.53350929795073,9.56375,0.003,2,0,1.99413050156718,3.49650756146648,0,145.631747349514,0.766,1.86852588054845,0,-0.07143,3.20558042130293,26.866349902188,0.476,0,0,0,0,0,0,3572.29462217599,4.57471097850338,2,0,0,0,0
DTXSID6026872,NaN,19.64,[0.85:333.92],1,0.216,0.205,108-44-1,111-76-2,142-04-1,95-87-4,111-11-5,JJYPMNFTHPTTDI-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,NKTOLZVEWDHZMU-UHFFFAOYSA-N,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,DTXSID1026792,DTXSID1024097,DTXSID3020091,DTXSID6025145,DTXSID2026864,32.9,0.85,4.41,33.8,817,81.49,8.23,16.42,45.96,79.34,0,0,0,1,6.51026043003622,9.38801303854875,0.003,1,0,1.70149627903306,3.49650756146648,0,149.27639857074,0.605,1.90139391931787,0,-0.10714,3.28894124734294,28.694652677886,2.904,0,0,0,0,0,0,4130.48117917269,4.57471097850338,2,0,0,0,0
DTXSID2025050,NaN,5.46,[3:9.21],1,0.133,0.541,75438-57-2,25606-41-1,1131-64-2,51481-61-9,23422-53-9,WPNJAUFVNXKLIM-UHFFFAOYSA-N,WZZLDXDUQPOXNW-UHFFFAOYSA-N,JWPGJSVJDAJRLW-UHFFFAOYSA-N,AQIXAKUUQRKLND-UHFFFAOYSA-N,RMFNNCGOSPBBAD-UHFFFAOYSA-N,DTXSID5045170,DTXSID6034849,DTXSID7022885,DTXSID4020329,DTXSID4032405,3,5.81,3.98,5.45,13.72,5.44,2.14,6.38,3.81,2.65,0,0,1.31,3,6.5850074236477,3.03472222222222,0.134,0,3,0.838977321980045,3.49650756146648,0,164.284634254458,1.579,2.08317755668891,0,-0.57143,3.17759633506295,33.89327959698,-1.728,0.338888888888889,0,1,1,0,0,5823.62060507898,4.57471097850338,2,0,0,0,0
DTXSID80149648,NaN,3.41,[0.35:14.77],1,0.456,0.504,4536-23-6,97-61-0,142-62-1,99-66-1,149-57-5,CVKMFSAVYPAZTQ-UHFFFAOYSA-N,OVBFMEVBMNZIBR-UHFFFAOYSA-N,FUZZWVXGSFPDMH-UHFFFAOYSA-N,NIJJYAXOARWZEE-UHFFFAOYSA-N,OBETXYAYXDNJHR-UHFFFAOYSA-N,DTXSID9044241,DTXSID9021633,DTXSID7021607,DTXSID6023733,DTXSID9025293,3.95,10.2,33.6,0.35,0.55,2.82,3.13,3.49,0.11,0.09,7.52911237937378,7.52911237937378,0.750510046611237,0,7.26953623030009,8.27000417296548,0.591,1,0,0.902777777777778,4.00733318523247,0,147.050785673986,0.402,2.56272235368763,0,-0.35,5.44084931968615,57.5820188960741,3.018,0,0,0,0,0,0,9055.07579081458,5.19849703126583,5,0,0,0,0
DTXSID7025423,NaN,2.36,[0.85:4.08],1,0.145,0.537,25606-41-1,111-76-2,1596-84-5,16752-77-5,3600-87-1,WZZLDXDUQPOXNW-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,NOQGZXFMHARMLW-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,VFRCNXKYZVQYLX-UHFFFAOYSA-N,DTXSID6034849,DTXSID1024097,DTXSID9020370,DTXSID1022267,?,5.81,0.85,2.29,2.05,3,2.14,8.23,2.5,2.08,7,0,0,1.59555555555556,2,6.50645672333192,2.90972222222222,0.213,0,2,1.03576387049742,3.49650756146648,0,161.166392716847,1.404,2.02404751899037,0,-0.57143,3.09590948333242,31.165300849282,-1.661,0.370138888888889,0,1,1,0,0,5233.37231909904,4.57471097850338,2,0,0,0,0
DTXSID0037497,NaN,NaN,NA,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,15.1180129220184,NaN,0.521,4,0,1.13085383159886,6.24804287450843,10.561461086361,138.237878643879,4.47,NaN,0,-0.51471,8.27289098039216,254.620252,-0.683,0,0,0,0,0,2,20612.2282292625,7.96241568012106,390,0,0,1,0
DTXSID3021932,NaN,2.99,[0.85:7.34],0,0.16,0.49,111-76-2,25606-41-1,1596-84-5,16752-77-5,116-25-6,POAOYUHQDCAZBD-UHFFFAOYSA-N,WZZLDXDUQPOXNW-UHFFFAOYSA-N,NOQGZXFMHARMLW-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,SIQZJFKTROUNPI-UHFFFAOYSA-N,DTXSID1024097,DTXSID6034849,DTXSID9020370,DTXSID1022267,DTXSID6035152,0.85,5.81,2.29,2.05,13.1,8.23,2.14,2.5,2.08,9.43,0,0,1.88111111111111,1,6.25878619106036,2.78472222222222,0.292,0,1,1.16374878470462,3.49650756146648,0,157.681299233635,1.229,1.96424584098913,0,-0.57143,3.01410002274295,28.437322101584,-1.594,0.401388888888889,0,1,1,0,0,4643.12403311909,4.57471097850338,2,0,0,0,0
DTXSID3073056,NaN,105.73,[19.1:346.98],0,0.2,0.318,13071-79-9,298-04-4,54593-83-8,51-03-6,2687-96-9,XLNZEKHULJKQBA-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,XFDJMIHUAHSGKG-UHFFFAOYSA-N,FIPWRIJSWJWJAI-UHFFFAOYSA-N,NJPQAIBZIHNJDO-UHFFFAOYSA-N,DTXSID2022254,DTXSID0022018,DTXSID2032344,DTXSID1021166,DTXSID4042206,32.5,412,617,76.01,19.1,192.48,75.64,27.47,30.64,28.65,0,0,0,0,8.77650528945829,5.67478395061728,0.003,0,0,0.969786816798115,4.4188406077966,0,142.877429794539,0.556,2.79239524549849,0,-0.58333,26.8458700174157,133.914765103886,2.828,0,0,0,0,0,0,16887.9389957414,5.93224518744801,8,0,0,0,0
DTXSID9020168,NaN,1.43,[0.69:5.5],1,0.307,0.518,110-54-3,111-76-2,111-65-9,78-87-5,1634-04-4,VLKZOEOYAKHREP-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,TVMXDCGIABBOFY-UHFFFAOYSA-N,KNKRKFALVUDBJE-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,DTXSID0021917,DTXSID1024097,DTXSID0026882,DTXSID0020448,DTXSID3020833,1.1,0.85,0.69,11.33,0.92,1.15,8.23,1.81,1.14,0.65,0,0,0,0,6.66215260292669,1.14484739368999,0.003,0,0,0.835156781135667,3.49650756146648,0,148.378182777943,0.29,2.32065738702884,0,-0.57143,5.1920543583696,25.039107382792,1.55,0,0,0,0,0,0,2383.4841540682,4.57471097850338,2,0,0,0,0
DTXSID8020462,NaN,0.39,[0.05:0.73],1,0.205,0.575,111-76-2,67-63-0,123-91-1,872-50-4,1634-04-4,POAOYUHQDCAZBD-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,DTXSID1024097,DTXSID7020762,DTXSID4020533,DTXSID6020856,DTXSID3020833,0.85,0.22,0.69,0.04,0.92,8.23,4,0.81,2.7,0.65,0,0,1.54222222222222,0,5.57821341832524,4.63194444444444,0.515,0,0,0.959267039125351,3.49650756146648,0.666666666666667,153.894435058469,0.912,1.96424584098913,0,-0.57143,2.93214631643706,23.158972606188,-1.398,0,0,0,0,0,0,3508.17116420949,4.57471097850338,2,0,0,0,0
