MoleculeID,LogKM_exp,LogKM_pred,KM_predRange,AD_KM,AD_index_KM,Conf_index_KM,KM_CAS_neighbor_1,KM_CAS_neighbor_2,KM_CAS_neighbor_3,KM_CAS_neighbor_4,KM_CAS_neighbor_5,KM_InChiKey_neighbor_1,KM_InChiKey_neighbor_2,KM_InChiKey_neighbor_3,KM_InChiKey_neighbor_4,KM_InChiKey_neighbor_5,KM_DTXSID_neighbor_1,KM_DTXSID_neighbor_2,KM_DTXSID_neighbor_3,KM_DTXSID_neighbor_4,KM_DTXSID_neighbor_5,LogKM_Exp_neighbor_1,LogKM_Exp_neighbor_2,LogKM_Exp_neighbor_3,LogKM_Exp_neighbor_4,LogKM_Exp_neighbor_5,LogKM_pred_neighbor_1,LogKM_pred_neighbor_2,LogKM_pred_neighbor_3,LogKM_pred_neighbor_4,LogKM_pred_neighbor_5,MAXDP,nCl,nHBDon,nHBa,SpMax_Dt,SaasC,ATS5e,VAdjMat,nF9HeteroRing,GATS8c,GATS1v,SpMax_Dzv
DTXSID4026713,NaN,-0.81,[-1.29:-0.33],1,0.406,0.579,2212-67-1,298-04-4,2497-06-5,78-40-0,314-40-9,DEDOPGXGGQYYMW-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,DQWPFSLDHJDLRL-UHFFFAOYSA-N,OSOBMCTWSONQHC-UHFFFAOYSA-N,DTXSID6024206,DTXSID0022018,DTXSID8041901,DTXSID8026228,DTXSID4022020,-1.08,0.03,-0.67,-1.09,-1.33,-1.19,0.02,-0.44,-1.06,-0.51,3.96069349962207,0,0,3,47.3733590108844,0,534.665352,4.70043971814109,0,0.709137101356217,1.46093898775395,54.9635603121802
DTXSID60864286,NaN,0.02,[-0.56:0.6],1,0.38,0.532,100-17-4,2980-71-4,872-05-9,821-95-4,124-11-8,BNUHAJGCKIQFGE-UHFFFAOYSA-N,YLZQHQUVNZVGOK-UHFFFAOYSA-N,AFFLGGQVNFXPEV-UHFFFAOYSA-N,DCTOHCCUXLBQMS-UHFFFAOYSA-N,JRZJOMJEPLMPRA-UHFFFAOYSA-N,DTXSID9059208,DTXSID40183942,DTXSID8027329,DTXSID5061168,DTXSID2059562,-0.95,-0.06,0.65,0.09,0.52,-0.48,0.52,0.19,0.35,0.36,3.44580585474931,0,0,1,39.9915290406295,0,364.354448,4.4594316186373,0,1.34652376944534,1.39859568942426,36.8159696885897
DTXSID40893655,NaN,0.88,[-0.17:1.93],0,0.192,0.251,78-42-2,117-81-7,107-50-6,1544-19-0,67614-33-9,GTVWRXDRKAHEAD-UHFFFAOYSA-N,BJQHLKABXJIVAM-UHFFFAOYSA-N,GSANOGQCVHBHIF-UHFFFAOYSA-N,NILNWNGNABYYHH-UHFFFAOYSA-N,NYPJDWWKZLNGGM-UHFFFAOYSA-N,DTXSID0021414,DTXSID5020607,DTXSID8059348,DTXSID20165620,DTXSID3020621,-0.29,0.44,1.48,2.79,0.69,0.8,0.27,1.68,0.21,0.44,4.37660416299792,0,0,7,285.268200755242,0,2155.343432,6.12928301694497,0,0.662700069275105,1.38509064606144,252.752380786354
DTXSID1040110,NaN,-0.9,[-1.27:-0.53],1,0.446,0.586,79-46-9,1634-04-4,142-96-1,78-59-1,60-29-7,FGLBSLMDCBOPQK-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,DURPTKYDGMDSBL-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,RTZKZFJDLAIYFH-UHFFFAOYSA-N,DTXSID6020981,DTXSID3020833,DTXSID1022007,DTXSID8020759,DTXSID3021720,-1.2,-0.88,-0.25,-1.29,-0.7,-0.37,-0.44,0.46,-0.86,-0.64,3.18958333333333,0,0,2,14.8635786886326,0,134.004196,3.8073549220576,0,0,1.50825689847067,16.7897525715737
DTXSID5040752,NaN,-0.32,[-0.82:0.18],1,0.437,0.538,2497-06-5,121-75-5,1634-78-2,298-04-4,3761-42-0,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,JXSJBGJIGXNWCI-UHFFFAOYSA-N,WSORODGWGUUOBO-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,ZDHYERRNXRANLI-UHFFFAOYSA-N,DTXSID8041901,DTXSID4020791,DTXSID9020790,DTXSID0022018,DTXSID6041975,-0.67,0.29,-1.04,0.03,-0.03,-0.44,-0.68,-0.1,0.02,-0.47,4.0543537414966,0,0,6,60.0166325225399,0,690.359184000001,5,0,1.32564272102039,1.33930215585227,68.7843462541646
DTXSID9026716,NaN,-1.1,[-1.26:-0.94],1,0.428,0.662,108-60-1,78-59-1,79-46-9,111-44-4,579-10-2,QCFYJCYNJLBDRT-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,FGLBSLMDCBOPQK-UHFFFAOYSA-N,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,LMTGCJANOQOGPI-UHFFFAOYSA-N,DTXSID4020167,DTXSID8020759,DTXSID6020981,DTXSID9020168,DTXSID8060373,-1.07,-1.29,-1.2,-0.81,-1.12,-0.89,-0.86,-0.37,-0.76,-0.89,3.17916666666667,0,0,3,18.3964411766852,0,136.065088,4,0,0,1.34586577149477,19.2784851161137
DTXSID4091528,NaN,-0.65,[-1.08:-0.11],1,0.434,0.52,69806-40-2,61949-76-6,85-68-7,119-12-0,115-86-6,MFSWTRQUCLNFOM-UHFFFAOYSA-N,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,IRIAEXORFWYRCZ-UHFFFAOYSA-N,CXJSOEPQXUCJSA-UHFFFAOYSA-N,XZZNDPSIHUTMOC-UHFFFAOYSA-N,DTXSID6024123,DTXSID0038338,DTXSID3020205,DTXSID2042355,DTXSID1021952,-1.08,0.37,-1.03,-0.7,-0.76,0.16,0.15,-0.4,-0.29,-0.45,5.72662841777831,1,0,6,187.994429967087,1.12556576871021,524.765254,5.58496250072116,0,0.57840548327499,0.896721655331838,145.608156029369
DTXSID6032354,NaN,-0.65,[-1.08:-0.11],1,0.434,0.52,69806-40-2,61949-76-6,85-68-7,119-12-0,115-86-6,MFSWTRQUCLNFOM-UHFFFAOYSA-N,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,IRIAEXORFWYRCZ-UHFFFAOYSA-N,CXJSOEPQXUCJSA-UHFFFAOYSA-N,XZZNDPSIHUTMOC-UHFFFAOYSA-N,DTXSID6024123,DTXSID0038338,DTXSID3020205,DTXSID2042355,DTXSID1021952,-1.08,0.37,-1.03,-0.7,-0.76,0.16,0.15,-0.4,-0.29,-0.45,5.72662841777831,1,0,6,187.994429967087,1.12556576871021,524.765254,5.58496250072116,0,0.57840548327499,0.896721655331838,145.608156029369
DTXSID7021863,NaN,-1.12,[-1.2:-1.07],1,0.461,0.739,78-40-0,2212-67-1,579-10-2,78-59-1,108-60-1,DQWPFSLDHJDLRL-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,LMTGCJANOQOGPI-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,QCFYJCYNJLBDRT-UHFFFAOYSA-N,DTXSID8026228,DTXSID6024206,DTXSID8060373,DTXSID8020759,DTXSID4020167,-1.09,-1.08,-1.12,-1.29,-1.07,-1.06,-1.19,-0.89,-0.86,-0.89,3.60523526077098,0,0,4,34.8542407671681,0,265.438136,4.4594316186373,0,0.0593472167602819,1.40048213988559,40.2040994069778
DTXSID6040111,NaN,-0.94,[-1.29:-0.55],1,0.432,0.58,79-46-9,142-96-1,78-59-1,78-40-0,1634-04-4,FGLBSLMDCBOPQK-UHFFFAOYSA-N,DURPTKYDGMDSBL-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,DQWPFSLDHJDLRL-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,DTXSID6020981,DTXSID1022007,DTXSID8020759,DTXSID8026228,DTXSID3020833,-1.2,-0.25,-1.29,-1.09,-0.88,-0.37,0.46,-0.86,-1.06,-0.44,3.42083333333333,0,0,2,19.5420230500814,0,191.254088,4,0,0.000186057889387709,1.50594952767392,21.7085491896527
DTXSID8020466,NaN,-1.1,[-1.35:-0.85],1,0.342,0.616,3296-90-0,122-34-9,1912-24-9,479-27-6,144-19-4,CHUGKEQJSLOLHL-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,JCTXKRPTIMZBJT-UHFFFAOYSA-N,DTXSID9020164,DTXSID4021268,DTXSID9020112,DTXSID6044432,DTXSID8027113,-1.4,-0.94,-1.05,-0.73,-1.34,-0.65,-0.91,-0.86,-0.8,-1.01,0.730133744855967,0,2,2,19.5420230500814,0,180.321032,4,0,0,1.24198954825303,22.9448034656782
